TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAWPP
635350 ,54.6 ,48 ,74.7 ,60.2 ,27.5,-22.3 ,-48.3 ,36.8
635470 ,52.9 ,50 ,73.8 ,52.6 ,24.6,-22.4 ,-48.4 ,37.0
635560 ,50.4 ,50 ,73.8 ,50.5 ,21.7,-22.6 ,-48.7 ,38.0
635650 ,50.4 ,50 ,73.8 ,49.4 ,20.2,-22.9 ,-49.0 ,38.7
635740 ,47.0 ,49 ,74.7 ,49.4 ,23.1,-23.1 ,-49.0 ,38.7
635860 ,42.8 ,53 ,74.7 ,49.4 ,21.7,-23.5 ,-48.9 ,38.5
635950 ,33.6 ,57 ,76.5 ,49.4 ,20.2,-24.2 ,-48.8 ,38.7
636040 ,28.5 ,57 ,75.6 ,48.3 ,18.8,-24.6 ,-48.8 ,39.3
636160 ,25.2 ,57 ,76.5 ,48.3 ,18.8,-25.0 ,-48.7 ,39.7
636250 ,25.2 ,57 ,76.5 ,49.4 ,17.3,-25.1 ,-48.7 ,39.9
636340 ,25.2 ,54 ,75.6 ,48.3 ,17.3,-25.1 ,-48.6 ,40.1
636460 ,23.5 ,43 ,74.7 ,48.3 ,17.3,-25.2 ,-48.6 ,40.3
636550 ,21.8 ,37 ,74.7 ,48.3 ,18.8,-25.2 ,-48.6 ,40.3
636640 ,21.0 ,34 ,73.8 ,48.3 ,18.8,-25.1 ,-48.5 ,40.3
636760 ,21.0 ,29 ,72.9 ,49.4 ,18.8,-25.0 ,-48.5 ,40.1
636850 ,21.0 ,20 ,72.0 ,48.3 ,18.8,-24.7 ,-48.4 ,39.8
636940 ,42.0 ,17 ,72.0 ,48.3 ,18.8,-23.8 ,-47.7 ,39.6
637060 ,55.4 ,15 ,70.2 ,46.2 ,18.8,-23.2 ,-47.2 ,39.9
637150 ,58.8 ,15 ,69.3 ,46.2 ,18.8,-23.2 ,-47.1 ,39.8
637240 ,58.8 ,14 ,69.3 ,45.1 ,17.3,-23.2 ,-47.0 ,40.1
637360 ,55.4 ,13 ,67.5 ,46.2 ,18.8,-23.7 ,-47.0 ,40.4
637450 ,50.4 ,12 ,63.9 ,44.0 ,20.2,-24.2 ,-47.1 ,40.6
637540 ,47.0 ,12 ,61.2 ,43.0 ,21.7,-24.4 ,-47.1 ,40.5
637660 ,47.0 ,11 ,61.2 ,41.9 ,20.2,-24.5 ,-47.1 ,40.4
637750 ,44.5 ,10 ,60.3 ,40.8 ,20.2,-24.4 ,-47.1 ,40.3
637840 ,42.8 ,11 ,60.3 ,40.8 ,20.2,-24.4 ,-47.1 ,40.3
637960 ,26.0 ,13 ,54.9 ,35.4 ,20.2,-23.9 ,-46.9 ,40.9
638050 ,20.1 ,13 ,51.3 ,34.4 ,21.7,-23.6 ,-46.3 ,41.2
638140 ,19.3 ,13 ,48.6 ,32.2 ,24.6,-23.8 ,-46.1 ,41.4
638260 ,18.4 ,13 ,46.8 ,30.1 ,23.1,-24.0 ,-46.2 ,41.5
638350 ,20.1 ,14 ,45.9 ,30.1 ,23.1,-24.2 ,-46.2 ,41.5
638440 ,20.1 ,13 ,45.9 ,29.0 ,24.6,-24.2 ,-46.3 ,41.6
638530 ,19.3 ,14 ,45.9 ,30.1 ,23.1,-24.0 ,-46.3 ,41.5
638650 ,19.3 ,14 ,48.6 ,30.1 ,26.0,-23.8 ,-46.4 ,41.6
638740 ,21.0 ,16 ,55.8 ,30.1 ,24.6,-23.4 ,-46.7 ,41.7
638830 ,25.2 ,20 ,59.4 ,26.8 ,23.1,-23.0 ,-47.0 ,41.8
638950 ,28.5 ,23 ,57.6 ,23.6 ,21.7,-22.8 ,-47.6 ,40.3
639040 ,31.9 ,21 ,57.6 ,23.6 ,17.3,-21.7 ,-47.2 ,40.3
639130 ,34.4 ,20 ,55.8 ,23.6 ,20.2,-21.4 ,-47.0 ,40.2
639250 ,35.2 ,20 ,55.8 ,24.7 ,20.2,-21.4 ,-46.8 ,39.7
639340 ,36.1 ,20 ,54.9 ,25.8 ,18.8,-21.3 ,-46.7 ,39.6
639430 ,35.2 ,20 ,54.9 ,25.8 ,18.8,-21.3 ,-46.6 ,39.5
639550 ,36.1 ,20 ,54.0 ,24.7 ,20.2,-21.4 ,-46.6 ,39.4
639640 ,36.9 ,20 ,54.0 ,26.8 ,21.7,-21.4 ,-46.6 ,39.3
639730 ,36.1 ,20 ,54.9 ,25.8 ,24.6,-21.6 ,-46.5 ,39.0
639850 ,39.4 ,20 ,54.0 ,27.9 ,39.1,-22.2 ,-46.3 ,37.9
639940 ,40.3 ,20 ,54.9 ,32.2 ,40.5,-22.6 ,-46.8 ,36.1
640030 ,39.4 ,20 ,54.0 ,31.1 ,46.3,-21.6 ,-46.4 ,35.4
640150 ,40.3 ,20 ,54.0 ,31.1 ,50.7,-21.6 ,-46.2 ,34.9
640220 ,37.8 ,20 ,56.7 ,32.2 ,50.7,-21.7 ,-46.4 ,34.2
640330 ,36.1 ,24 ,61.2 ,31.1 ,50.7,-21.1 ,-46.1 ,33.7
640450 ,32.7 ,24 ,59.4 ,31.1 ,47.8,-20.8 ,-46.2 ,33.0
640540 ,31.0 ,24 ,59.4 ,30.1 ,47.8,-20.7 ,-46.3 ,32.4
640630 ,33.6 ,25 ,60.3 ,30.1 ,47.8,-20.7 ,-46.4 ,32.8
640750 ,35.2 ,29 ,68.4 ,31.1 ,46.3,-20.5 ,-46.8 ,34.9
640840 ,22.6 ,43 ,72.9 ,30.1 ,39.1,-20.1 ,-47.9 ,35.4
640930 ,16.8 ,56 ,78.3 ,30.1 ,28.9,-22.0 ,-47.9 ,36.6
641050 ,15.1 ,51 ,76.5 ,27.9 ,26.0,-25.1 ,-47.2 ,38.1
641140 ,13.4 ,49 ,76.5 ,29.0 ,23.1,-25.7 ,-47.1 ,38.7
641230 ,14.2 ,44 ,74.7 ,27.9 ,21.7,-25.8 ,-46.9 ,39.1
641350 ,13.4 ,39 ,72.9 ,26.8 ,23.1,-25.1 ,-47.0 ,39.5
641440 ,12.6 ,37 ,74.7 ,27.9 ,21.7,-25.3 ,-47.1 ,39.8
641530 ,11.7 ,35 ,73.8 ,27.9 ,23.1,-25.4 ,-47.1 ,39.8
641650 ,12.6 ,27 ,72.9 ,26.8 ,20.2,-25.5 ,-47.2 ,39.8
641740 ,12.6 ,23 ,71.1 ,25.8 ,20.2,-25.5 ,-47.2 ,39.8
641830 ,13.4 ,16 ,68.4 ,26.8 ,20.2,-25.2 ,-47.2 ,39.7
641920 ,22.6 ,13 ,64.8 ,24.7 ,20.2,-23.0 ,-47.1 ,39.5
642040 ,47.8 ,12 ,64.8 ,23.6 ,20.2,-22.4 ,-46.6 ,39.8
642130 ,52.1 ,10 ,64.8 ,23.6 ,21.7,-21.8 ,-46.7 ,40.0
642220 ,50.4 ,11 ,63.9 ,22.5 ,21.7,-21.9 ,-46.7 ,40.1
642340 ,47.0 ,10 ,64.8 ,23.6 ,20.2,-22.1 ,-46.9 ,40.6
642430 ,43.6 ,9 ,60.3 ,22.5 ,21.7,-22.7 ,-46.9 ,40.8
642520 ,43.6 ,10 ,57.6 ,21.5 ,20.2,-22.9 ,-46.9 ,40.9
642640 ,41.1 ,9 ,56.7 ,21.5 ,21.7,-23.0 ,-46.8 ,40.8
