a,a,a,a,a,a,a,a,a
a,56.3,66,75.6,41.9,22,-8.8,-51.5,37.1
a,54.6,69,77.4,40.8,20.5,-8.5,-51.2,37.4
a,50.4,65,75.6,40.8,20.5,-8.7,-51.4,37.3
a,51.2,61,74.7,39.7,19.1,-8.8,-51.2,37.2
a,47.8,57,74.7,40.8,19.1,-9.3,-51.1,37.1
a,44.5,51,74.7,40.8,19.1,-9.8,-51.3,37.3
a,44.5,52,73.8,38.7,19.1,-10,-51.6,37.5
a,45.3,56,73.8,40.8,19.1,-10.1,-51.8,37.5
a,44.5,58,73.8,38.7,19.1,-10,-52,37.5
a,45.3,56,74.7,40.8,19.1,-10.4,-51.8,37.9
a,54.6,48,74.7,60.2,27.5,-22.3,-48.3,36.8
a,52.9,50,73.8,52.6,24.6,-22.4,-48.4,37
a,50.4,50,73.8,50.5,21.7,-22.6,-48.7,38
a,50.4,50,73.8,49.4,20.2,-22.9,-49,38.7
a,47,49,74.7,49.4,23.1,-23.1,-49,38.7
a,42.8,53,74.7,49.4,21.7,-23.5,-48.9,38.5
a,33.6,57,76.5,49.4,20.2,-24.2,-48.8,38.7
a,28.5,57,75.6,48.3,18.8,-24.6,-48.8,39.3
a,25.2,57,76.5,48.3,18.8,-25,-48.7,39.7
a,25.2,57,76.5,49.4,17.3,-25.1,-48.7,39.9
a,31,45,72,33.3,13,-11.9,-40.6,29.8
a,30.2,45,72,32.2,13,-11.7,-40.8,29.7
a,31,48,72,33.3,13,-11.5,-40.8,29.7
a,30.2,47,71.1,32.2,14.4,-11.3,-40.8,29.7
a,31.9,48,72,32.2,13,-11.1,-40.9,29.6
a,30.2,49,72,32.2,14.4,-10.9,-41,29.6
a,30.2,48,71.1,31.1,13,-10.9,-41,29.5
a,31.9,39,70.2,32.2,14.4,-11.1,-40.9,29.3
a,51.2,21,69.3,33.3,14.4,-10.6,-40.3,29.2
a,62.1,19,68.4,32.2,14.4,-10.4,-40.1,29.2
a,31,46,73.8,31.1,21.7,-12.1,-42.5,8.3
a,30.2,46,73.8,30.1,21.7,-12.1,-42.4,8.4
a,31,46,72.9,31.1,23.1,-12,-42.3,8.3
a,30.2,45,72.9,31.1,21.7,-12,-42.2,8.2
a,30.2,45,72,30.1,21.7,-11.9,-42.2,8.2
a,29.4,44,72.9,31.1,20.2,-11.9,-42.2,8.2
a,29.4,42,72.9,31.1,21.7,-11.8,-42.2,8.2
a,29.4,38,71.1,30.1,21.7,-11.8,-42.2,8.1
a,30.2,36,72,30.1,21.7,-11.8,-42.2,8.1
a,29.4,35,71.1,29,21.7,-11.8,-42.2,8.1
a,56.3,60,74.7,41.9,35.2,-10.8,-54.1,34.6
a,57.1,63,74.7,39.7,26.4,-11,-54.6,36.2
a,53.7,60,74.7,39.7,25,-11.8,-54.9,37.1
a,52.1,58,73.8,39.7,23.5,-12.3,-54.7,37.5
a,49.5,56,74.7,40.8,25,-12.9,-54.6,37.8
a,50.4,56,72.9,39.7,26.4,-13.2,-54.5,37.8
a,48.7,57,72.9,40.8,26.4,-13.2,-54.6,37.7
a,50.4,58,73.8,41.9,26.4,-13.3,-54.6,37.6
a,49.5,57,73.8,44,25,-13.4,-54.6,37.5
a,51.2,35,71.1,41.9,29.4,-13.7,-54.2,37.7
a,36.1,24,61.2,31.1,50.7,-21.1,-46.1,33.7
a,32.7,24,59.4,31.1,47.8,-20.8,-46.2,33
a,31,24,59.4,30.1,47.8,-20.7,-46.3,32.4
a,33.6,25,60.3,30.1,47.8,-20.7,-46.4,32.8
a,35.2,29,68.4,31.1,46.3,-20.5,-46.8,34.9
a,22.6,43,72.9,30.1,39.1,-20.1,-47.9,35.4
a,16.8,56,78.3,30.1,28.9,-22,-47.9,36.6
a,15.1,51,76.5,27.9,26,-25.1,-47.2,38.1
a,13.4,49,76.5,29,23.1,-25.7,-47.1,38.7
a,14.2,44,74.7,27.9,21.7,-25.8,-46.9,39.1
a,23.5,56,76.5,34.4,21.7,-5.9,-41.4,24.4
a,23.5,57,75.6,33.3,20.2,-5.9,-41.5,24.3
a,23.5,57,75.6,33.3,21.7,-5.6,-41.6,24.3
a,23.5,56,75.6,33.3,21.7,-5.5,-41.6,24.2
a,23.5,56,74.7,33.3,20.2,-5.1,-41.5,24.1
a,23.5,56,75.6,33.3,18.8,-5,-41.4,24
a,23.5,55,74.7,33.3,17.3,-4.9,-41.4,23.9
a,28.5,32,74.7,33.3,17.3,-4.2,-41.3,24
a,52.1,21,73.8,34.4,17.3,-3,-40.9,24.4
a,60.5,18,71.1,32.2,18.8,-2.8,-40.8,24.5
a,26,42,70.2,59.1,47.8,-10.7,-41.2,3.3
a,24.3,59,72.9,54.8,42,-12.4,-41.4,4.3
a,21.8,61,73.8,54.8,37.6,-12,-41.1,4
a,18.4,61,73.8,52.6,34.7,-11.5,-41.5,4.5
a,19.3,61,72.9,49.4,31.8,-11.7,-41.6,4.9
a,18.4,59,73.8,50.5,30.4,-12,-41.8,5.2
a,18.4,59,73.8,48.3,28.9,-12.2,-41.8,5.5
a,16.8,56,73.8,48.3,28.9,-12.4,-41.8,6.2
a,17.6,51,73.8,46.2,28.9,-13,-41.7,6.6
a,16.8,45,73.8,47.3,28.9,-13.1,-41.6,6.7
