a,a,a,a,a,a,a,a,a
a,52.1,32,69.3,33.3,22,-11.5,-51.6,39.9
a,47,30,67.5,35.4,23.5,-11.9,-51.7,40.2
a,47,28,66.6,35.4,26.4,-11.9,-51.9,40.2
a,47.8,29,66.6,34.4,23.5,-11.9,-52,40.1
a,47.8,29,64.8,34.4,25,-11.8,-52.2,40.1
a,47,29,66.6,35.4,23.5,-11.8,-52.4,40.1
a,48.7,30,66.6,36.5,22,-12.1,-52.5,40.1
a,47,31,67.5,35.4,23.5,-12.2,-52.6,40.1
a,50.4,37,70.2,35.4,22,-12.5,-52.7,40
a,55.4,46,75.6,38.7,22,-12.7,-52.8,39.4
a,55.4,13,67.5,46.2,18.8,-23.7,-47,40.4
a,50.4,12,63.9,44,20.2,-24.2,-47.1,40.6
a,47,12,61.2,43,21.7,-24.4,-47.1,40.5
a,47,11,61.2,41.9,20.2,-24.5,-47.1,40.4
a,44.5,10,60.3,40.8,20.2,-24.4,-47.1,40.3
a,42.8,11,60.3,40.8,20.2,-24.4,-47.1,40.3
a,26,13,54.9,35.4,20.2,-23.9,-46.9,40.9
a,20.1,13,51.3,34.4,21.7,-23.6,-46.3,41.2
a,19.3,13,48.6,32.2,24.6,-23.8,-46.1,41.4
a,18.4,13,46.8,30.1,23.1,-24,-46.2,41.5
a,22.6,19,54.9,31.1,15.9,-9,-40.4,29.8
a,22.6,19,54,31.1,17.3,-8.8,-40.5,29.9
a,21.8,20,53.1,29,18.8,-8.7,-40.5,29.8
a,22.6,20,55.8,30.1,15.9,-8.5,-40.5,29.8
a,22.6,20,56.7,30.1,15.9,-7.9,-41,29.6
a,23.5,20,57.6,30.1,15.9,-7.6,-41.2,29.4
a,22.6,20,58.5,29,15.9,-7.3,-41.3,29
a,24.3,20,57.6,27.9,15.9,-7.1,-41.4,28.8
a,28.5,21,62.1,27.9,17.3,-6.3,-42,28.3
a,30.2,27,63,30.1,17.3,-5,-42.3,27.4
a,25.2,17,58.5,27.9,23.1,-12,-41.8,8.5
a,20.1,16,56.7,29,23.1,-12.5,-41.5,9
a,19.3,17,55.8,26.8,21.7,-12.9,-41.4,9
a,20.1,17,54.9,26.8,21.7,-13.2,-41.4,9
a,19.3,17,54.9,26.8,20.2,-13.1,-41.5,8.9
a,19.3,17,54.9,27.9,20.2,-13.2,-41.5,8.9
a,19.3,17,55.8,26.8,21.7,-13.2,-41.6,8.8
a,19.3,17,55.8,27.9,23.1,-13,-41.7,8.9
a,19.3,17,54.9,25.8,23.1,-12.9,-41.7,9
a,24.3,22,59.4,25.8,21.7,-11.6,-42.3,9
a,41.1,22,61.2,31.1,32.3,-15.7,-53.8,38.4
a,41.1,22,63,30.1,32.3,-15.9,-53.5,38.5
a,42,21,62.1,30.1,33.8,-15.9,-53.7,38.5
a,43.6,21,62.1,32.2,32.3,-15.9,-53.8,38.6
a,42,21,62.1,32.2,33.8,-15.8,-53.9,38.6
a,43.6,22,60.3,31.1,33.8,-15.9,-54,38.8
a,42.8,21,62.1,32.2,33.8,-15.9,-54.1,38.7
a,42,21,62.1,32.2,33.8,-15.7,-54.2,38.7
a,41.1,21,65.7,32.2,36.7,-15.6,-54.4,38.3
a,42.8,28,68.4,34.4,35.2,-14.7,-54.3,37.8
a,47,10,64.8,23.6,20.2,-22.1,-46.9,40.6
a,43.6,9,60.3,22.5,21.7,-22.7,-46.9,40.8
a,43.6,10,57.6,21.5,20.2,-22.9,-46.9,40.9
a,41.1,9,56.7,21.5,21.7,-23,-46.8,40.8
a,36.9,8,56.7,22.5,23.1,-23.2,-46.8,40.7
a,23.5,9,54.9,22.5,20.2,-24.1,-47.1,40.4
a,17.6,10,53.1,21.5,21.7,-24.5,-46.1,41.3
a,15.9,9,50.4,19.3,23.1,-24.4,-46,41.7
a,15.9,9,49.5,18.2,24.6,-24.6,-46,41.6
a,16.8,10,49.5,19.3,21.7,-24.7,-45.8,41.6
a,28.5,13,66.6,31.1,23.1,-5.4,-40.6,23.9
a,26.8,14,63,30.1,23.1,-5.5,-40.4,23.9
a,27.7,14,64.8,31.1,21.7,-5.3,-40.4,24.1
a,26,15,66.6,31.1,24.6,-4.7,-40.6,24.1
a,26.8,14,68.4,33.3,23.1,-4.4,-40.6,24.3
a,26.8,15,67.5,32.2,23.1,-4.1,-40.6,24.3
a,26.8,15,67.5,32.2,23.1,-3.6,-40.6,24.4
a,26.8,17,68.4,30.1,23.1,-3,-40.9,24.3
a,27.7,17,68.4,30.1,20.2,-2.1,-40.8,23.9
a,28.5,16,66.6,33.3,21.7,-1.2,-40.5,23.6
a,22.6,13,71.1,41.9,27.5,-13.8,-41.1,7.4
a,19.3,13,70.2,41.9,26,-13.8,-41.2,7.6
a,13.4,14,69.3,40.8,26,-14.5,-40.9,7.5
a,12.6,13,70.2,37.6,24.6,-14.8,-40.6,7.6
a,12.6,13,67.5,36.5,26,-14.8,-40.6,7.6
a,12.6,13,67.5,36.5,26,-15.2,-40.6,7.5
a,12.6,13,67.5,35.4,24.6,-15.2,-40.6,7.5
a,13.4,14,69.3,35.4,24.6,-14.9,-40.7,7.5
a,12.6,13,68.4,34.4,24.6,-14.6,-40.7,7.6
a,15.1,15,66.6,32.2,26,-12.4,-41.4,7
