a,a,a,a,a,a,a,a,a
a,56.3,39,73.8,39.7,19.1,-10.4,-51.7,38.3
a,76.4,26,75.6,33.3,19.1,-9.4,-51.4,39.3
a,78.1,23,74.7,32.2,22,-9.6,-51.3,39.6
a,78.9,22,75.6,33.3,22,-9.7,-51.3,39.9
a,78.1,22,74.7,33.3,20.5,-10.3,-51.5,40.2
a,77.3,23,74.7,33.3,20.5,-10.6,-51.6,40.2
a,76.4,22,74.7,33.3,20.5,-10.9,-51.6,40.1
a,75.6,22,74.7,33.3,20.5,-11.1,-51.5,40
a,73.9,21,73.8,33.3,22,-11.3,-51.6,40
a,68.9,27,70.2,34.4,22,-11.5,-51.6,39.6
a,25.2,54,75.6,48.3,17.3,-25.1,-48.6,40.1
a,23.5,43,74.7,48.3,17.3,-25.2,-48.6,40.3
a,21.8,37,74.7,48.3,18.8,-25.2,-48.6,40.3
a,21,34,73.8,48.3,18.8,-25.1,-48.5,40.3
a,21,29,72.9,49.4,18.8,-25,-48.5,40.1
a,21,20,72,48.3,18.8,-24.7,-48.4,39.8
a,42,17,72,48.3,18.8,-23.8,-47.7,39.6
a,55.4,15,70.2,46.2,18.8,-23.2,-47.2,39.9
a,58.8,15,69.3,46.2,18.8,-23.2,-47.1,39.8
a,58.8,14,69.3,45.1,17.3,-23.2,-47,40.1
a,66.3,18,67.5,32.2,15.9,-10.1,-40,29.3
a,65.5,17,67.5,32.2,14.4,-10,-40.1,29.5
a,63.8,17,66.6,33.3,15.9,-10.1,-40.1,29.6
a,63.8,17,66.6,32.2,15.9,-10.1,-40.1,29.6
a,63.8,16,65.7,31.1,14.4,-10.2,-40.1,29.5
a,60.5,16,65.7,32.2,15.9,-10.2,-40.2,29.5
a,59.6,16,66.6,32.2,14.4,-10.1,-40.2,29.4
a,57.1,15,66.6,33.3,14.4,-10,-40.3,29.4
a,45.3,17,61.2,32.2,14.4,-10.4,-40.4,29.3
a,26,17,55.8,32.2,15.9,-10,-40.3,29.7
a,29.4,24,70.2,29,21.7,-11.6,-42.1,8
a,32.7,19,67.5,27.9,23.1,-11.2,-41.9,8.2
a,34.4,17,66.6,29,21.7,-11.1,-41.7,8.1
a,33.6,16,66.6,29,23.1,-11.2,-41.7,8.1
a,34.4,17,65.7,29,21.7,-11.4,-41.7,8.2
a,33.6,15,65.7,29,23.1,-11.7,-41.6,8.3
a,32.7,15,65.7,30.1,21.7,-11.8,-41.6,8.4
a,31.9,15,63.9,29,21.7,-11.8,-41.6,8.5
a,31.9,15,63.9,27.9,21.7,-11.7,-41.6,8.5
a,31,14,62.1,26.8,23.1,-11.6,-41.7,8.6
a,52.9,26,68.4,41.9,27.9,-13.7,-54.1,38.1
a,54.6,23,67.5,40.8,26.4,-14,-54,38.3
a,54.6,21,66.6,39.7,26.4,-14.3,-54,38.5
a,54.6,20,65.7,40.8,27.9,-14.5,-54,38.6
a,53.7,20,65.7,40.8,27.9,-14.7,-54.1,38.6
a,54.6,20,65.7,39.7,27.9,-14.8,-54.1,38.6
a,53.7,20,65.7,41.9,27.9,-14.8,-54.1,38.6
a,54.6,20,64.8,39.7,27.9,-14.9,-54.2,38.4
a,53.7,21,63.9,35.4,29.4,-15,-54.3,38.3
a,44.5,24,59.4,31.1,30.8,-15.8,-54.1,38.1
a,13.4,39,72.9,26.8,23.1,-25.1,-47,39.5
a,12.6,37,74.7,27.9,21.7,-25.3,-47.1,39.8
a,11.7,35,73.8,27.9,23.1,-25.4,-47.1,39.8
a,12.6,27,72.9,26.8,20.2,-25.5,-47.2,39.8
a,12.6,23,71.1,25.8,20.2,-25.5,-47.2,39.8
a,13.4,16,68.4,26.8,20.2,-25.2,-47.2,39.7
a,22.6,13,64.8,24.7,20.2,-23,-47.1,39.5
a,47.8,12,64.8,23.6,20.2,-22.4,-46.6,39.8
a,52.1,10,64.8,23.6,21.7,-21.8,-46.7,40
a,50.4,11,63.9,22.5,21.7,-21.9,-46.7,40.1
a,61.3,17,74.7,33.3,18.8,-2.6,-40.8,24.4
a,60.5,17,72.9,33.3,18.8,-2.7,-40.8,24.5
a,57.1,17,72,32.2,18.8,-2.9,-40.9,24.6
a,55.4,15,72,33.3,18.8,-3.2,-41.1,24.7
a,53.7,14,72,32.2,18.8,-3.3,-41.1,24.7
a,53.7,14,70.2,32.2,20.2,-3.5,-41.1,24.6
a,47,13,70.2,32.2,20.2,-3.7,-41.1,24.5
a,37.8,13,68.4,32.2,20.2,-4.5,-41.2,24.5
a,34.4,13,65.7,32.2,21.7,-4.8,-40.9,24.1
a,31.9,13,66.6,31.1,23.1,-5,-40.8,24
a,16.8,31,71.1,46.2,27.5,-12.7,-41.6,6.5
a,16.8,23,69.3,46.2,26,-12.1,-41.5,6.1
a,21.8,20,67.5,41.9,26,-11.5,-41.1,6
a,23.5,18,68.4,41.9,26,-11.1,-41.3,6.3
a,26,17,68.4,41.9,26,-11.1,-41.2,6.4
a,26,17,67.5,41.9,26,-11.6,-41.3,6.6
a,24.3,15,66.6,41.9,26,-12.3,-41.5,6.9
a,23.5,15,67.5,40.8,26,-12.4,-41.5,7
a,23.5,14,67.5,40.8,26,-12.5,-41.4,7
a,23.5,13,67.5,41.9,27.5,-12.9,-41.3,7.1
