a,a,a,a,a,a,a,a,a
a,47,43,71.1,59.1,42.6,-14.1,-53.1,34.3
a,45.3,44,71.1,59.1,50,-13.7,-53.2,32.9
a,41.1,43,71.1,56.9,54.4,-13.4,-53.2,31.8
a,40.3,46,70.2,54.8,55.8,-12.9,-53.2,31.1
a,50.4,56,71.1,54.8,52.9,-11.7,-52.9,31.3
a,52.1,56,71.1,52.6,51.4,-11.4,-52.9,31.4
a,52.1,56,72,52.6,51.4,-11.4,-53,31.9
a,54.6,55,72,50.5,50,-11.3,-53.2,32.3
a,57.1,57,74.7,50.5,50,-11.3,-53.2,32.8
a,56.3,55,72.9,48.3,50,-11.1,-53.4,33.1
a,36.1,20,54.9,25.8,18.8,-21.3,-46.7,39.6
a,35.2,20,54.9,25.8,18.8,-21.3,-46.6,39.5
a,36.1,20,54,24.7,20.2,-21.4,-46.6,39.4
a,36.9,20,54,26.8,21.7,-21.4,-46.6,39.3
a,36.1,20,54.9,25.8,24.6,-21.6,-46.5,39
a,39.4,20,54,27.9,39.1,-22.2,-46.3,37.9
a,40.3,20,54.9,32.2,40.5,-22.6,-46.8,36.1
a,39.4,20,54,31.1,46.3,-21.6,-46.4,35.4
a,40.3,20,54,31.1,50.7,-21.6,-46.2,34.9
a,37.8,20,56.7,32.2,50.7,-21.7,-46.4,34.2
a,38.6,27,68.4,40.8,52.1,-5.9,-40.8,23
a,37.8,27,68.4,41.9,53.6,-5.7,-40.7,22.5
a,35.2,26,67.5,39.7,52.1,-5.1,-40.4,21.5
a,62.1,27,69.3,38.7,49.2,-3.4,-39.9,19.9
a,59.6,28,71.1,39.7,47.8,-3.1,-40,19.7
a,56.3,29,72,38.7,46.3,-3.1,-40.1,19.8
a,52.9,29,72,39.7,46.3,-3.1,-40.4,19.9
a,49.5,34,72.9,37.6,40.5,-2.6,-40.8,20.3
a,30.2,55,76.5,35.4,27.5,-4.5,-40.8,22.3
a,28.5,57,76.5,33.3,24.6,-5.1,-41,23.2
a,39.4,35,64.8,34.4,26,-11.3,-41.2,7.5
a,36.9,35,64.8,48.3,39.1,-11.7,-41.2,6.2
a,35.2,35,64.8,49.4,43.4,-11.8,-41,5.1
a,33.6,35,65.7,46.2,44.9,-11.2,-40.7,3.7
a,31,36,66.6,44,43.4,-10.2,-40.4,2.7
a,30.2,39,67.5,44,43.4,-10.1,-40.5,2.3
a,29.4,40,67.5,44,42,-10.4,-40.6,2.3
a,28.5,40,68.4,46.2,43.4,-10.7,-40.7,2.5
a,27.7,42,69.3,45.1,43.4,-10.9,-40.7,2.4
a,27.7,42,69.3,44,43.4,-10.8,-40.7,2.6
a,39.4,26,65.7,58,48.5,-14.1,-53.9,29.6
a,39.4,27,66.6,55.9,51.4,-13.2,-53.4,28.3
a,36.9,27,66.6,54.8,50,-13.6,-53.9,28.3
a,36.9,27,66.6,54.8,48.5,-13.6,-54,28.4
a,36.1,27,65.7,51.6,48.5,-13.4,-54,28.4
a,36.9,27,64.8,49.4,50,-13,-53.9,28.5
a,42.8,28,66.6,49.4,48.5,-12.5,-53.9,28.6
a,48.7,31,66.6,48.3,45.5,-12.2,-54.1,29.1
a,52.1,33,65.7,47.3,44.1,-12,-54.3,29.7
a,27.7,12,52.2,21.5,21.7,-20.3,-45.8,38.9
a,28.5,13,51.3,21.5,23.1,-20.5,-45.9,38.9
a,27.7,13,53.1,21.5,21.7,-20.6,-45.8,39
a,27.7,13,52.2,22.5,23.1,-20.7,-45.7,38.8
a,31.9,13,53.1,26.8,37.6,-20.9,-45.3,36.6
a,30.2,12,50.4,35.4,56.5,-20.3,-45.1,32.5
a,31.9,14,49.5,36.5,60.8,-20.2,-44.7,31.2
a,31,13,52.2,36.5,57.9,-20.1,-44.8,31
a,31,14,52.2,35.4,57.9,-20.1,-44.7,31
a,26.8,17,64.8,44,46.3,-0.7,-39.3,17.7
a,26,16,63,43,46.3,-0.6,-39.4,17.4
a,26,16,63,43,46.3,-0.6,-39.4,17.3
a,26.8,17,63,43,43.4,-0.8,-39.6,17.2
a,26.8,17,63.9,43,44.9,-1,-39.6,17.1
a,26.8,17,67.5,47.3,44.9,-1.1,-39.5,17.4
a,27.7,16,66.6,47.3,39.1,-0.9,-39.9,18.2
a,26.8,16,66.6,44,28.9,-1.9,-39.3,18.7
a,26.8,17,67.5,41.9,24.6,-2.7,-39.1,18.5
a,21,14,59.4,39.7,33.3,-12.2,-39.7,1.2
a,20.1,13,61.2,48.3,36.2,-12.5,-39.6,0.9
a,20.1,14,61.2,47.3,37.6,-12.5,-39.6,1
a,21,15,60.3,44,37.6,-12.3,-39.6,1
a,20.1,13,61.2,45.1,39.1,-12.3,-39.7,0.9
a,21,14,60.3,45.1,37.6,-11.9,-39.8,1.2
a,21,13,60.3,43,34.7,-11.6,-40,2
a,20.1,13,60.3,41.9,33.3,-11.7,-40,2.1
a,20.1,13,60.3,39.7,33.3,-11.7,-40,2.4
