TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
257810 ,97.2 ,94 ,13.8 ,71.7 ,76.9,-107.7 ,-45.0 ,95.3
257930 ,97.2 ,94 ,14.8 ,71.7 ,78.2,-107.6 ,-44.9 ,95.3
258020 ,97.2 ,95 ,13.8 ,71.7 ,76.9,-107.5 ,-44.8 ,95.3
258110 ,97.2 ,94 ,14.8 ,72.7 ,78.2,-107.5 ,-44.9 ,95.2
258230 ,98.1 ,94 ,13.8 ,72.7 ,76.9,-107.8 ,-44.9 ,95.3
258320 ,98.1 ,94 ,12.7 ,71.7 ,78.2,-107.7 ,-44.9 ,95.2
258410 ,97.2 ,94 ,14.8 ,72.7 ,78.2,-107.3 ,-44.8 ,95.1
258530 ,98.1 ,94 ,14.8 ,71.7 ,78.2,-107.2 ,-44.8 ,95.0
258620 ,97.2 ,95 ,14.8 ,71.7 ,76.9,-107.4 ,-44.8 ,95.2
258710 ,97.2 ,94 ,14.8 ,72.7 ,79.4,-107.5 ,-44.7 ,95.3
258830 ,98.1 ,94 ,14.8 ,71.7 ,75.6,-107.5 ,-44.8 ,95.3
258920 ,98.1 ,94 ,13.8 ,71.7 ,78.2,-107.5 ,-44.7 ,95.3
259010 ,97.2 ,94 ,14.8 ,71.7 ,76.9,-107.6 ,-44.7 ,95.4
259130 ,97.2 ,94 ,13.8 ,71.7 ,76.9,-107.5 ,-44.7 ,95.3
259220 ,97.2 ,94 ,14.8 ,72.7 ,76.9,-107.6 ,-44.6 ,95.4
259310 ,98.1 ,95 ,13.8 ,72.7 ,76.9,-107.6 ,-44.6 ,95.4
259430 ,97.2 ,94 ,13.8 ,71.7 ,78.2,-107.6 ,-44.7 ,95.4
259520 ,98.1 ,94 ,13.8 ,72.7 ,78.2,-107.6 ,-44.7 ,95.5
259610 ,97.2 ,94 ,13.8 ,71.7 ,78.2,-107.7 ,-44.7 ,95.6
259730 ,97.2 ,94 ,14.8 ,71.7 ,75.6,-107.7 ,-44.7 ,95.5
259820 ,97.2 ,95 ,14.8 ,70.7 ,76.9,-107.6 ,-44.7 ,95.4
259910 ,97.2 ,94 ,13.8 ,71.7 ,78.2,-107.7 ,-44.7 ,95.4
260030 ,97.2 ,94 ,13.8 ,72.7 ,78.2,-107.7 ,-44.6 ,95.5
260120 ,97.2 ,94 ,14.8 ,71.7 ,78.2,-107.8 ,-44.6 ,95.5
260210 ,97.2 ,94 ,14.8 ,71.7 ,78.2,-107.6 ,-44.7 ,95.4
260330 ,96.3 ,94 ,13.8 ,72.7 ,76.9,-107.5 ,-44.7 ,95.3
260420 ,97.2 ,94 ,13.8 ,71.7 ,75.6,-107.6 ,-44.8 ,95.4
260510 ,96.3 ,94 ,14.8 ,71.7 ,78.2,-107.7 ,-44.9 ,95.5
260630 ,97.2 ,94 ,14.8 ,71.7 ,76.9,-107.7 ,-45.0 ,95.4
260720 ,96.3 ,94 ,13.8 ,71.7 ,78.2,-107.6 ,-45.0 ,95.4
260810 ,97.2 ,95 ,13.8 ,71.7 ,76.9,-107.6 ,-45.1 ,95.4
260930 ,97.2 ,94 ,13.8 ,72.7 ,78.2,-107.5 ,-45.1 ,95.2
261020 ,97.2 ,94 ,14.8 ,71.7 ,78.2,-107.4 ,-45.3 ,95.2
261110 ,96.3 ,94 ,14.8 ,72.7 ,76.9,-107.5 ,-45.3 ,95.3
261230 ,97.2 ,94 ,14.8 ,71.7 ,76.9,-107.6 ,-45.4 ,95.3
261320 ,97.2 ,95 ,13.8 ,71.7 ,76.9,-107.6 ,-45.4 ,95.3
261410 ,97.2 ,94 ,14.8 ,71.7 ,76.9,-107.6 ,-45.5 ,95.3
261500 ,96.3 ,94 ,14.8 ,71.7 ,78.2,-107.5 ,-45.4 ,95.4
261620 ,98.1 ,95 ,14.8 ,71.7 ,76.9,-107.5 ,-45.5 ,95.3
261710 ,96.3 ,94 ,14.8 ,72.7 ,78.2,-107.5 ,-45.5 ,95.4
261800 ,97.2 ,94 ,14.8 ,71.7 ,76.9,-107.4 ,-45.5 ,95.4
261920 ,96.3 ,94 ,14.8 ,71.7 ,76.9,-107.3 ,-45.4 ,95.2
262010 ,96.3 ,94 ,13.8 ,71.7 ,76.9,-107.1 ,-45.5 ,95.1
262100 ,95.4 ,94 ,14.8 ,71.7 ,76.9,-107.0 ,-45.5 ,94.9
262220 ,96.3 ,94 ,14.8 ,70.7 ,78.2,-107.1 ,-45.5 ,95.1
262310 ,96.3 ,94 ,14.8 ,71.7 ,76.9,-107.2 ,-45.4 ,95.1
262400 ,97.2 ,94 ,14.8 ,72.7 ,78.2,-107.2 ,-45.5 ,95.1
262520 ,96.3 ,94 ,14.8 ,71.7 ,76.9,-107.2 ,-45.4 ,95.0
262610 ,96.3 ,94 ,14.8 ,71.7 ,76.9,-107.1 ,-45.4 ,94.9
262700 ,96.3 ,94 ,14.8 ,72.7 ,78.2,-107.0 ,-45.5 ,94.9
262820 ,96.3 ,94 ,13.8 ,71.7 ,76.9,-107.1 ,-45.5 ,94.9
262910 ,95.4 ,94 ,14.8 ,72.7 ,78.2,-107.1 ,-45.5 ,94.9
