TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
340980 ,30.7 ,93 ,68.0 ,67.6 ,73.0,-122.9 ,-35.9 ,120.3
341100 ,31.5 ,92 ,68.0 ,66.6 ,74.3,-123.7 ,-35.9 ,120.8
341190 ,29.8 ,93 ,68.0 ,66.6 ,73.0,-124.0 ,-35.9 ,121.1
341280 ,29.8 ,93 ,69.1 ,65.6 ,73.0,-124.0 ,-36.0 ,121.2
341400 ,30.7 ,93 ,68.0 ,67.6 ,73.0,-124.2 ,-36.1 ,121.7
341490 ,29.8 ,92 ,68.0 ,66.6 ,74.3,-124.0 ,-35.2 ,121.7
341580 ,29.8 ,92 ,68.0 ,66.6 ,73.0,-123.9 ,-35.4 ,122.3
341700 ,30.7 ,91 ,68.0 ,66.6 ,74.3,-123.8 ,-35.9 ,121.5
341790 ,28.9 ,92 ,69.1 ,66.6 ,74.3,-124.4 ,-35.9 ,122.0
341880 ,30.7 ,91 ,68.0 ,66.6 ,74.3,-125.8 ,-35.4 ,122.9
342000 ,28.9 ,92 ,69.1 ,67.6 ,73.0,-125.5 ,-35.1 ,122.0
342090 ,29.8 ,92 ,68.0 ,66.6 ,74.3,-126.0 ,-35.2 ,122.3
342180 ,29.8 ,92 ,68.0 ,66.6 ,73.0,-126.2 ,-34.7 ,122.4
342300 ,29.8 ,93 ,68.0 ,65.6 ,73.0,-126.7 ,-34.5 ,122.9
342390 ,28.9 ,92 ,69.1 ,66.6 ,73.0,-127.1 ,-34.5 ,123.1
342480 ,28.9 ,92 ,68.0 ,66.6 ,74.3,-127.4 ,-34.5 ,123.4
342600 ,30.7 ,92 ,68.0 ,66.6 ,74.3,-127.9 ,-34.4 ,123.8
342690 ,29.8 ,91 ,68.0 ,66.6 ,74.3,-128.2 ,-34.3 ,123.9
342780 ,29.8 ,92 ,68.0 ,67.6 ,73.0,-128.5 ,-34.0 ,123.8
342900 ,29.8 ,92 ,69.1 ,67.6 ,74.3,-127.8 ,-34.1 ,123.5
342990 ,29.8 ,92 ,69.1 ,66.6 ,74.3,-127.4 ,-34.2 ,123.0
343080 ,29.8 ,92 ,69.1 ,67.6 ,73.0,-127.3 ,-33.8 ,122.8
343170 ,29.8 ,92 ,69.1 ,67.6 ,73.0,-126.6 ,-33.3 ,122.7
343290 ,29.8 ,92 ,68.0 ,66.6 ,71.7,-127.0 ,-34.1 ,122.3
343380 ,29.8 ,92 ,68.0 ,67.6 ,74.3,-128.4 ,-34.4 ,123.6
343470 ,29.8 ,91 ,69.1 ,67.6 ,73.0,-129.4 ,-33.8 ,125.1
343590 ,29.8 ,92 ,68.0 ,66.6 ,74.3,-129.0 ,-32.8 ,124.8
343680 ,29.8 ,91 ,69.1 ,66.6 ,73.0,-129.7 ,-33.4 ,125.0
343770 ,29.8 ,92 ,67.0 ,66.6 ,73.0,-130.0 ,-33.9 ,125.7
343890 ,29.8 ,92 ,68.0 ,66.6 ,73.0,-129.5 ,-34.2 ,125.4
343980 ,29.8 ,91 ,68.0 ,66.6 ,73.0,-129.4 ,-34.2 ,125.2
344070 ,29.8 ,92 ,69.1 ,66.6 ,73.0,-129.5 ,-34.1 ,125.1
344190 ,29.8 ,92 ,68.0 ,66.6 ,74.3,-129.8 ,-34.5 ,125.2
344280 ,29.8 ,92 ,68.0 ,66.6 ,73.0,-129.9 ,-34.6 ,125.2
344370 ,30.7 ,92 ,68.0 ,67.6 ,74.3,-129.9 ,-34.4 ,125.3
344490 ,29.8 ,92 ,68.0 ,66.6 ,74.3,-130.4 ,-34.4 ,125.7
344580 ,28.9 ,92 ,69.1 ,66.6 ,73.0,-130.5 ,-34.5 ,125.8
344670 ,29.8 ,92 ,69.1 ,67.6 ,75.6,-130.7 ,-34.5 ,126.0
344790 ,29.8 ,92 ,68.0 ,66.6 ,73.0,-130.8 ,-34.5 ,125.9
344880 ,30.7 ,92 ,67.0 ,66.6 ,74.3,-130.9 ,-34.4 ,125.8
344970 ,29.8 ,91 ,69.1 ,66.6 ,75.6,-130.9 ,-34.4 ,125.8
345090 ,28.9 ,91 ,68.0 ,66.6 ,74.3,-130.9 ,-34.5 ,125.5
345180 ,30.7 ,92 ,68.0 ,66.6 ,74.3,-131.0 ,-34.6 ,125.5
345270 ,30.7 ,92 ,68.0 ,66.6 ,74.3,-131.1 ,-34.4 ,125.5
345390 ,29.8 ,92 ,69.1 ,66.6 ,74.3,-131.1 ,-34.2 ,125.4
345480 ,30.7 ,92 ,69.1 ,66.6 ,74.3,-131.1 ,-34.2 ,125.4
345570 ,29.8 ,92 ,68.0 ,66.6 ,73.0,-131.2 ,-34.2 ,125.4
345690 ,29.8 ,91 ,69.1 ,66.6 ,73.0,-131.2 ,-34.1 ,125.1
345780 ,30.7 ,92 ,69.1 ,67.6 ,73.0,-131.3 ,-34.0 ,125.1
345870 ,30.7 ,91 ,69.1 ,66.6 ,74.3,-131.4 ,-33.9 ,125.0
345990 ,30.7 ,91 ,69.1 ,66.6 ,74.3,-131.2 ,-33.9 ,124.7
346080 ,31.5 ,92 ,69.1 ,66.6 ,73.0,-131.1 ,-33.9 ,124.6
346170 ,30.7 ,92 ,68.0 ,66.6 ,73.0,-130.9 ,-34.1 ,124.4
346290 ,29.8 ,92 ,69.1 ,66.6 ,74.3,-130.8 ,-34.2 ,124.1
346380 ,30.7 ,91 ,69.1 ,66.6 ,73.0,-131.0 ,-34.4 ,124.1
346470 ,29.8 ,92 ,68.0 ,66.6 ,73.0,-131.1 ,-34.3 ,124.0
346590 ,30.7 ,92 ,69.1 ,66.6 ,74.3,-131.3 ,-34.5 ,124.2
346680 ,30.7 ,92 ,69.1 ,66.6 ,73.0,-131.6 ,-34.6 ,123.9
346770 ,30.7 ,92 ,69.1 ,67.6 ,71.7,-131.7 ,-34.2 ,123.9
346890 ,31.5 ,92 ,68.0 ,66.6 ,73.0,-132.3 ,-33.7 ,124.3
346980 ,30.7 ,91 ,68.0 ,66.6 ,74.3,-132.7 ,-33.7 ,124.5
347070 ,31.5 ,92 ,67.0 ,66.6 ,74.3,-132.7 ,-33.0 ,124.3
347160 ,30.7 ,92 ,68.0 ,65.6 ,73.0,-132.3 ,-31.9 ,124.6
347280 ,30.7 ,92 ,68.0 ,65.6 ,73.0,-132.2 ,-31.4 ,124.0
347370 ,30.7 ,92 ,69.1 ,67.6 ,71.7,-132.4 ,-31.6 ,124.2
347460 ,30.7 ,91 ,68.0 ,66.6 ,73.0,-132.6 ,-31.7 ,124.4
347580 ,31.5 ,92 ,68.0 ,66.6 ,73.0,-132.6 ,-31.8 ,124.3
347670 ,30.7 ,91 ,68.0 ,66.6 ,74.3,-132.8 ,-31.8 ,124.4
347760 ,30.7 ,92 ,69.1 ,66.6 ,73.0,-133.0 ,-31.7 ,124.3
347880 ,31.5 ,92 ,68.0 ,66.6 ,74.3,-133.4 ,-31.9 ,124.7
347970 ,30.7 ,91 ,68.0 ,66.6 ,74.3,-133.5 ,-31.8 ,124.7
348060 ,30.7 ,91 ,69.1 ,66.6 ,73.0,-133.6 ,-31.7 ,124.7
348180 ,30.7 ,91 ,69.1 ,67.6 ,73.0,-133.7 ,-31.6 ,124.8
348270 ,31.5 ,92 ,69.1 ,66.6 ,71.7,-133.7 ,-31.8 ,124.6
348360 ,30.7 ,92 ,69.1 ,66.6 ,74.3,-133.7 ,-31.9 ,124.5
348480 ,31.5 ,92 ,69.1 ,66.6 ,73.0,-133.9 ,-31.6 ,124.4
348570 ,30.7 ,91 ,69.1 ,66.6 ,73.0,-133.8 ,-31.7 ,124.3
348660 ,30.7 ,91 ,69.1 ,66.6 ,73.0,-133.8 ,-31.8 ,124.2
348780 ,30.7 ,92 ,69.1 ,65.6 ,73.0,-133.9 ,-31.6 ,124.2
348870 ,30.7 ,92 ,69.1 ,66.6 ,71.7,-133.8 ,-31.6 ,124.0
348960 ,30.7 ,92 ,69.1 ,66.6 ,73.0,-134.0 ,-31.6 ,124.1
349080 ,30.7 ,92 ,69.1 ,65.6 ,71.7,-134.2 ,-31.5 ,124.2
349170 ,29.8 ,91 ,69.1 ,66.6 ,73.0,-134.3 ,-31.4 ,124.1
349260 ,30.7 ,92 ,69.1 ,66.6 ,73.0,-134.3 ,-31.2 ,124.0
349380 ,31.5 ,91 ,68.0 ,65.6 ,73.0,-134.4 ,-31.2 ,124.1
349470 ,31.5 ,91 ,69.1 ,66.6 ,73.0,-134.5 ,-31.1 ,124.2
349560 ,31.5 ,91 ,68.0 ,66.6 ,73.0,-134.6 ,-31.1 ,124.2
349680 ,30.7 ,91 ,69.1 ,67.6 ,73.0,-134.4 ,-31.1 ,124.2
349770 ,31.5 ,92 ,69.1 ,66.6 ,73.0,-134.5 ,-31.1 ,124.2
349860 ,31.5 ,91 ,68.0 ,66.6 ,73.0,-134.5 ,-31.0 ,124.2
349980 ,31.5 ,91 ,68.0 ,67.6 ,73.0,-134.7 ,-31.1 ,124.3
350070 ,30.7 ,91 ,69.1 ,67.6 ,73.0,-134.6 ,-30.9 ,124.2
350160 ,30.7 ,91 ,69.1 ,67.6 ,73.0,-134.6 ,-31.0 ,124.1
350280 ,31.5 ,92 ,70.2 ,66.6 ,73.0,-134.6 ,-30.9 ,124.0
350370 ,31.5 ,91 ,69.1 ,66.6 ,73.0,-134.6 ,-30.9 ,123.9
350460 ,31.5 ,92 ,70.2 ,66.6 ,71.7,-135.0 ,-31.6 ,123.6
350580 ,31.5 ,92 ,68.0 ,66.6 ,74.3,-135.6 ,-31.5 ,124.0
350670 ,30.7 ,91 ,69.1 ,66.6 ,73.0,-135.7 ,-31.1 ,124.3
