TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
192200 ,97.0 ,94 ,96.7 ,24.7 ,69.6,-47.2 ,-57.3 ,89.6
192320 ,97.0 ,95 ,96.7 ,24.7 ,68.3,-47.0 ,-57.4 ,89.7
192410 ,97.0 ,94 ,96.7 ,23.5 ,68.3,-46.8 ,-57.5 ,89.6
192500 ,96.1 ,94 ,96.7 ,23.5 ,68.3,-46.7 ,-57.4 ,89.6
192620 ,96.1 ,94 ,96.7 ,27.0 ,68.3,-46.7 ,-57.3 ,89.7
192710 ,97.0 ,94 ,96.7 ,22.3 ,69.6,-46.7 ,-57.2 ,89.7
192800 ,96.1 ,94 ,96.7 ,23.5 ,69.6,-46.9 ,-57.4 ,90.1
192920 ,96.1 ,94 ,96.7 ,23.5 ,69.6,-47.2 ,-57.5 ,90.5
193010 ,96.1 ,94 ,95.6 ,24.7 ,69.6,-47.2 ,-57.7 ,90.7
193100 ,97.0 ,94 ,95.6 ,23.5 ,69.6,-47.3 ,-57.9 ,91.1
193220 ,96.1 ,95 ,96.7 ,22.3 ,68.3,-47.8 ,-58.1 ,91.8
193310 ,97.0 ,95 ,96.7 ,22.3 ,68.3,-48.0 ,-58.2 ,92.2
193400 ,97.0 ,94 ,95.6 ,25.8 ,68.3,-48.3 ,-58.3 ,92.8
193520 ,96.1 ,94 ,96.7 ,22.3 ,69.6,-48.8 ,-58.5 ,93.5
193610 ,97.0 ,93 ,96.7 ,25.8 ,69.6,-49.1 ,-58.7 ,94.0
193700 ,96.1 ,94 ,95.6 ,25.8 ,68.3,-49.3 ,-58.9 ,94.4
193820 ,97.0 ,94 ,96.7 ,23.5 ,68.3,-49.2 ,-59.2 ,94.5
193910 ,96.1 ,94 ,97.8 ,23.5 ,68.3,-49.5 ,-59.4 ,94.9
194000 ,96.1 ,94 ,96.7 ,22.3 ,69.6,-49.7 ,-59.5 ,95.2
194120 ,97.0 ,94 ,96.7 ,22.3 ,69.6,-49.8 ,-59.6 ,95.4
194210 ,96.1 ,94 ,95.6 ,22.3 ,69.6,-49.8 ,-59.6 ,95.6
