TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
721790 ,97.1 ,88 ,7.1 ,82.6 ,84.0,-125.0 ,-26.2 ,0.3
721910 ,97.1 ,88 ,8.1 ,82.6 ,82.6,-125.0 ,-26.3 ,0.3
722000 ,96.2 ,87 ,8.1 ,82.6 ,84.0,-125.1 ,-26.4 ,0.2
722090 ,96.2 ,88 ,8.1 ,82.6 ,85.3,-125.1 ,-26.4 ,0.2
722210 ,96.2 ,88 ,8.1 ,81.6 ,82.6,-125.1 ,-26.3 ,0.3
722300 ,96.2 ,88 ,8.1 ,82.6 ,82.6,-125.1 ,-26.2 ,0.5
722390 ,96.2 ,87 ,8.1 ,83.6 ,84.0,-125.1 ,-26.2 ,0.6
722480 ,96.2 ,88 ,7.1 ,82.6 ,84.0,-125.2 ,-26.1 ,0.7
722600 ,96.2 ,88 ,8.1 ,82.6 ,82.6,-125.3 ,-26.0 ,0.9
722690 ,97.1 ,88 ,6.1 ,82.6 ,82.6,-125.5 ,-25.9 ,1.2
722780 ,96.2 ,88 ,7.1 ,82.6 ,84.0,-125.6 ,-25.8 ,1.3
722900 ,95.3 ,88 ,8.1 ,82.6 ,84.0,-125.9 ,-25.7 ,1.5
722990 ,96.2 ,87 ,7.1 ,83.6 ,84.0,-126.0 ,-25.5 ,1.7
723080 ,96.2 ,88 ,8.1 ,82.6 ,84.0,-126.2 ,-25.3 ,2.1
723200 ,95.3 ,87 ,8.1 ,82.6 ,85.3,-126.4 ,-25.0 ,2.4
723290 ,96.2 ,88 ,8.1 ,82.6 ,82.6,-126.4 ,-24.9 ,2.5
723380 ,96.2 ,87 ,7.1 ,82.6 ,85.3,-126.3 ,-24.8 ,2.5
723500 ,96.2 ,88 ,7.1 ,82.6 ,82.6,-126.1 ,-24.9 ,2.5
723590 ,95.3 ,88 ,8.1 ,82.6 ,84.0,-126.1 ,-24.9 ,2.7
723680 ,96.2 ,88 ,8.1 ,82.6 ,82.6,-126.2 ,-24.8 ,2.8
723800 ,95.3 ,88 ,9.1 ,83.6 ,84.0,-126.5 ,-24.6 ,3.2
723890 ,95.3 ,87 ,8.1 ,83.6 ,84.0,-126.6 ,-24.5 ,3.4
723980 ,96.2 ,88 ,7.1 ,82.6 ,81.3,-126.6 ,-24.4 ,3.5
724070 ,96.2 ,88 ,7.1 ,82.6 ,84.0,-126.6 ,-24.3 ,3.5
724190 ,96.2 ,88 ,8.1 ,82.6 ,84.0,-126.5 ,-24.4 ,3.5
724280 ,96.2 ,87 ,8.1 ,83.6 ,82.6,-126.6 ,-24.5 ,3.5
724370 ,96.2 ,88 ,8.1 ,82.6 ,82.6,-126.5 ,-24.4 ,3.5
724490 ,96.2 ,88 ,7.1 ,81.6 ,84.0,-126.5 ,-24.5 ,3.5
724580 ,96.2 ,87 ,8.1 ,83.6 ,84.0,-126.6 ,-24.6 ,3.7
724670 ,96.2 ,88 ,7.1 ,82.6 ,84.0,-126.8 ,-24.7 ,3.9
724790 ,96.2 ,87 ,7.1 ,82.6 ,84.0,-126.7 ,-24.7 ,4.2
724880 ,96.2 ,88 ,8.1 ,82.6 ,82.6,-126.5 ,-24.6 ,4.5
724970 ,96.2 ,87 ,8.1 ,82.6 ,82.6,-126.6 ,-24.5 ,4.8
725090 ,96.2 ,88 ,7.1 ,81.6 ,82.6,-126.9 ,-24.6 ,4.9
725180 ,96.2 ,88 ,8.1 ,82.6 ,82.6,-127.2 ,-24.7 ,4.9
725270 ,95.3 ,88 ,8.1 ,82.6 ,81.3,-127.5 ,-24.8 ,5.2
725390 ,96.2 ,87 ,8.1 ,83.6 ,81.3,-127.4 ,-25.1 ,5.0
725480 ,96.2 ,87 ,9.1 ,83.6 ,81.3,-127.4 ,-25.3 ,4.5
725570 ,95.3 ,88 ,8.1 ,82.6 ,81.3,-127.7 ,-25.8 ,4.5
725690 ,96.2 ,88 ,8.1 ,82.6 ,80.0,-128.6 ,-26.5 ,4.7
725780 ,96.2 ,87 ,8.1 ,82.6 ,81.3,-128.4 ,-26.8 ,4.8
725870 ,96.2 ,87 ,7.1 ,82.6 ,81.3,-128.4 ,-27.2 ,5.3
