TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
565420 ,96.1 ,93 ,79.8 ,27.4 ,62.5,171.6 ,6.9 ,45.8
565540 ,96.1 ,93 ,78.8 ,27.4 ,64.0,171.7 ,7.1 ,46.0
565630 ,95.2 ,93 ,79.8 ,27.4 ,64.0,171.7 ,7.2 ,46.0
565720 ,96.1 ,93 ,78.8 ,27.4 ,62.5,171.6 ,7.0 ,45.7
565840 ,96.1 ,93 ,78.8 ,27.4 ,62.5,171.6 ,6.5 ,45.4
565930 ,96.1 ,93 ,78.8 ,27.4 ,64.0,171.7 ,6.2 ,45.3
566020 ,95.2 ,93 ,78.8 ,26.5 ,62.5,171.8 ,6.2 ,45.0
566110 ,96.1 ,93 ,78.8 ,27.4 ,62.5,171.8 ,6.4 ,44.8
566230 ,95.2 ,93 ,78.8 ,27.4 ,60.9,171.5 ,6.9 ,44.7
566320 ,96.1 ,93 ,78.8 ,28.3 ,62.5,171.4 ,7.3 ,44.6
566410 ,95.2 ,93 ,79.8 ,28.3 ,64.0,171.3 ,7.7 ,44.4
566530 ,94.2 ,93 ,79.8 ,29.2 ,64.0,171.2 ,8.1 ,44.3
566620 ,96.1 ,93 ,78.8 ,28.3 ,64.0,171.1 ,8.7 ,44.2
566710 ,96.1 ,93 ,78.8 ,27.4 ,62.5,171.2 ,9.1 ,44.3
566830 ,94.2 ,93 ,78.8 ,28.3 ,64.0,171.6 ,9.1 ,44.8
566920 ,95.2 ,93 ,79.8 ,28.3 ,64.0,171.9 ,8.9 ,44.8
567010 ,95.2 ,93 ,78.8 ,27.4 ,64.0,172.2 ,8.8 ,44.7
567130 ,95.2 ,93 ,78.8 ,27.4 ,64.0,172.6 ,8.5 ,44.6
567220 ,95.2 ,93 ,78.8 ,27.4 ,64.0,172.5 ,8.2 ,44.4
567310 ,96.1 ,93 ,78.8 ,27.4 ,64.0,172.6 ,8.0 ,44.3
567430 ,95.2 ,93 ,78.8 ,27.4 ,64.0,172.3 ,7.8 ,44.4
567520 ,95.2 ,93 ,78.8 ,27.4 ,64.0,171.9 ,7.8 ,44.3
567610 ,95.2 ,93 ,78.8 ,26.5 ,62.5,171.7 ,7.8 ,44.2
567730 ,95.2 ,93 ,78.8 ,27.4 ,64.0,171.9 ,7.9 ,43.6
567820 ,94.2 ,92 ,78.8 ,26.5 ,64.0,172.3 ,7.7 ,43.4
567910 ,94.2 ,93 ,78.8 ,26.5 ,64.0,172.7 ,7.6 ,43.3
568030 ,96.1 ,93 ,79.8 ,27.4 ,64.0,173.1 ,7.7 ,43.2
568120 ,95.2 ,93 ,78.8 ,26.5 ,64.0,173.3 ,7.9 ,43.3
568210 ,96.1 ,93 ,79.8 ,26.5 ,64.0,173.6 ,7.9 ,43.0
568330 ,95.2 ,93 ,78.8 ,26.5 ,62.5,173.6 ,7.9 ,42.8
568420 ,95.2 ,93 ,78.8 ,25.6 ,62.5,173.2 ,8.1 ,42.9
568510 ,95.2 ,93 ,78.8 ,26.5 ,64.0,173.0 ,8.2 ,42.6
