TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
243050 ,20.9 ,94 ,91.5 ,88.4 ,85.1,-86.1 ,6.8 ,53.1
243170 ,21.7 ,94 ,91.5 ,87.5 ,84.0,-86.1 ,6.7 ,53.2
243260 ,21.7 ,94 ,90.5 ,87.5 ,85.1,-86.1 ,6.6 ,53.1
243350 ,20.9 ,94 ,91.5 ,87.5 ,85.1,-86.1 ,6.4 ,53.1
243470 ,21.7 ,94 ,90.5 ,88.4 ,85.1,-86.1 ,6.3 ,53.2
243560 ,20.9 ,94 ,91.5 ,88.4 ,85.1,-85.9 ,6.2 ,53.2
243650 ,20.9 ,94 ,91.5 ,88.4 ,86.1,-85.9 ,6.2 ,53.3
243770 ,21.7 ,94 ,91.5 ,88.4 ,85.1,-85.9 ,6.2 ,53.4
243860 ,20.9 ,94 ,92.4 ,88.4 ,85.1,-85.9 ,6.2 ,53.4
243950 ,21.7 ,94 ,91.5 ,88.4 ,85.1,-85.8 ,6.0 ,53.4
244070 ,21.7 ,94 ,90.5 ,88.4 ,85.1,-85.9 ,5.8 ,53.4
244160 ,21.7 ,94 ,91.5 ,87.5 ,84.0,-85.9 ,5.8 ,53.3
244250 ,21.7 ,94 ,91.5 ,87.5 ,86.1,-85.8 ,5.9 ,53.3
244370 ,21.7 ,94 ,91.5 ,86.5 ,85.1,-85.7 ,6.1 ,53.3
244460 ,20.9 ,94 ,91.5 ,87.5 ,85.1,-85.6 ,6.1 ,53.4
244550 ,21.7 ,94 ,91.5 ,88.4 ,85.1,-85.6 ,6.3 ,53.4
244670 ,21.7 ,94 ,91.5 ,88.4 ,85.1,-85.5 ,6.3 ,53.4
244760 ,21.7 ,94 ,91.5 ,88.4 ,85.1,-85.5 ,6.3 ,53.4
244850 ,21.7 ,94 ,91.5 ,88.4 ,86.1,-85.5 ,6.3 ,53.5
244970 ,21.7 ,94 ,90.5 ,87.5 ,85.1,-85.5 ,6.3 ,53.4
245060 ,20.9 ,94 ,91.5 ,87.5 ,85.1,-85.5 ,6.4 ,53.4
245150 ,21.7 ,94 ,91.5 ,87.5 ,84.0,-85.6 ,6.4 ,53.5
245270 ,21.7 ,94 ,91.5 ,87.5 ,85.1,-85.7 ,6.3 ,53.5
245360 ,21.7 ,94 ,91.5 ,87.5 ,85.1,-85.7 ,6.3 ,53.6
245450 ,21.7 ,94 ,90.5 ,87.5 ,85.1,-85.9 ,6.1 ,53.5
245570 ,20.9 ,94 ,91.5 ,87.5 ,84.0,-86.1 ,6.1 ,53.6
245660 ,21.7 ,94 ,91.5 ,88.4 ,86.1,-86.0 ,6.3 ,53.7
245750 ,20.9 ,94 ,91.5 ,88.4 ,85.1,-85.9 ,6.2 ,53.8
245870 ,20.9 ,94 ,92.4 ,88.4 ,85.1,-85.9 ,5.9 ,53.7
245960 ,21.7 ,94 ,91.5 ,88.4 ,85.1,-85.9 ,5.9 ,53.9
246050 ,21.7 ,94 ,91.5 ,88.4 ,85.1,-85.9 ,5.9 ,54.0
246170 ,21.7 ,94 ,90.5 ,87.5 ,85.1,-85.8 ,6.0 ,54.2
246260 ,20.9 ,94 ,91.5 ,87.5 ,84.0,-85.6 ,6.0 ,54.5
246350 ,20.9 ,94 ,91.5 ,88.4 ,84.0,-85.4 ,6.2 ,54.4
246440 ,21.7 ,94 ,90.5 ,88.4 ,86.1,-85.4 ,6.3 ,54.2
246560 ,20.9 ,94 ,91.5 ,87.5 ,85.1,-85.3 ,6.2 ,53.9
246650 ,21.7 ,94 ,91.5 ,87.5 ,85.1,-85.3 ,6.1 ,53.6
246740 ,21.7 ,94 ,90.5 ,88.4 ,84.0,-85.3 ,6.2 ,53.6
246860 ,21.7 ,94 ,92.4 ,88.4 ,85.1,-85.3 ,6.5 ,53.8
246950 ,21.7 ,94 ,91.5 ,88.4 ,85.1,-85.4 ,6.5 ,54.0
247040 ,20.9 ,94 ,91.5 ,87.5 ,85.1,-85.5 ,6.6 ,54.3
247160 ,21.7 ,94 ,91.5 ,88.4 ,85.1,-85.5 ,6.9 ,54.8
247250 ,22.5 ,94 ,90.5 ,88.4 ,85.1,-85.5 ,7.0 ,55.2
247340 ,20.9 ,94 ,91.5 ,87.5 ,84.0,-85.5 ,6.9 ,55.6
247460 ,20.9 ,94 ,91.5 ,87.5 ,86.1,-85.3 ,6.9 ,56.2
247550 ,21.7 ,94 ,90.5 ,88.4 ,85.1,-85.1 ,6.9 ,56.4
247640 ,21.7 ,94 ,91.5 ,87.5 ,85.1,-85.1 ,7.0 ,56.7
247760 ,20.9 ,94 ,91.5 ,88.4 ,85.1,-84.9 ,6.9 ,57.2
247850 ,21.7 ,94 ,91.5 ,87.5 ,84.0,-84.7 ,7.0 ,57.5
247940 ,21.7 ,94 ,91.5 ,88.4 ,85.1,-84.7 ,7.1 ,57.6
248060 ,20.9 ,94 ,91.5 ,88.4 ,85.1,-84.7 ,7.4 ,58.2
248150 ,21.7 ,94 ,91.5 ,88.4 ,85.1,-84.7 ,7.5 ,58.5
248240 ,21.7 ,95 ,91.5 ,87.5 ,85.1,-84.7 ,7.4 ,58.8
248360 ,21.7 ,94 ,90.5 ,87.5 ,85.1,-84.8 ,7.3 ,59.1
248450 ,20.9 ,94 ,90.5 ,87.5 ,86.1,-84.7 ,7.3 ,59.1
248540 ,21.7 ,94 ,91.5 ,88.4 ,84.0,-84.8 ,7.3 ,59.2
248660 ,21.7 ,94 ,90.5 ,87.5 ,85.1,-84.6 ,7.4 ,59.5
248750 ,21.7 ,94 ,91.5 ,88.4 ,85.1,-84.6 ,7.5 ,59.7
248840 ,20.9 ,94 ,91.5 ,86.5 ,84.0,-84.6 ,7.6 ,60.2
248960 ,21.7 ,94 ,91.5 ,88.4 ,85.1,-84.7 ,7.8 ,60.6
249050 ,21.7 ,94 ,92.4 ,87.5 ,84.0,-84.7 ,7.8 ,60.9
249140 ,20.9 ,94 ,91.5 ,87.5 ,85.1,-84.8 ,7.9 ,61.0
249260 ,20.9 ,94 ,91.5 ,87.5 ,85.1,-84.6 ,7.9 ,61.2
249350 ,21.7 ,94 ,91.5 ,88.4 ,85.1,-84.6 ,8.0 ,61.4
249440 ,21.7 ,94 ,90.5 ,87.5 ,85.1,-84.6 ,8.1 ,61.7
249560 ,21.7 ,94 ,92.4 ,88.4 ,85.1,-84.5 ,8.2 ,62.2
249650 ,21.7 ,94 ,91.5 ,87.5 ,85.1,-84.5 ,8.3 ,62.4
249740 ,21.7 ,94 ,90.5 ,88.4 ,86.1,-84.5 ,8.5 ,62.7
249860 ,21.7 ,94 ,90.5 ,88.4 ,85.1,-84.4 ,8.6 ,63.0
249950 ,21.7 ,94 ,91.5 ,87.5 ,85.1,-84.3 ,8.6 ,63.3
250040 ,20.9 ,94 ,91.5 ,88.4 ,85.1,-84.3 ,8.7 ,63.5
250160 ,21.7 ,94 ,90.5 ,88.4 ,86.1,-84.2 ,8.8 ,63.8
250250 ,21.7 ,94 ,91.5 ,87.5 ,85.1,-84.2 ,8.9 ,64.0
250340 ,21.7 ,94 ,91.5 ,88.4 ,86.1,-84.2 ,9.0 ,64.1
250460 ,21.7 ,94 ,91.5 ,87.5 ,85.1,-83.6 ,8.8 ,64.3
250550 ,21.7 ,94 ,91.5 ,87.5 ,84.0,-84.0 ,9.0 ,64.4
250640 ,21.7 ,94 ,91.5 ,88.4 ,84.0,-84.3 ,9.1 ,64.4
250760 ,21.7 ,94 ,90.5 ,87.5 ,84.0,-84.4 ,9.1 ,64.4
250850 ,21.7 ,94 ,91.5 ,88.4 ,84.0,-84.4 ,9.0 ,64.4
250940 ,20.9 ,94 ,91.5 ,88.4 ,84.0,-84.5 ,8.9 ,64.3
251060 ,20.9 ,94 ,91.5 ,88.4 ,84.0,-84.4 ,8.9 ,64.3
251150 ,20.9 ,94 ,90.5 ,88.4 ,85.1,-84.3 ,9.1 ,64.3
251240 ,20.9 ,94 ,90.5 ,87.5 ,85.1,-84.2 ,9.2 ,64.4
251360 ,21.7 ,94 ,90.5 ,88.4 ,85.1,-84.2 ,9.2 ,64.3
251450 ,20.9 ,94 ,91.5 ,88.4 ,85.1,-84.2 ,9.3 ,64.3
251540 ,21.7 ,93 ,91.5 ,87.5 ,85.1,-84.2 ,9.3 ,64.4
251660 ,21.7 ,94 ,91.5 ,88.4 ,85.1,-84.2 ,9.2 ,64.5
251750 ,21.7 ,94 ,90.5 ,88.4 ,85.1,-84.2 ,9.1 ,64.7
251840 ,20.9 ,94 ,91.5 ,88.4 ,85.1,-84.2 ,9.1 ,64.9
251960 ,20.9 ,94 ,91.5 ,88.4 ,85.1,-84.2 ,8.9 ,65.1
252050 ,21.7 ,94 ,91.5 ,87.5 ,84.0,-84.3 ,8.9 ,65.1
252140 ,20.9 ,94 ,91.5 ,88.4 ,85.1,-84.4 ,8.9 ,65.1
252230 ,20.9 ,94 ,90.5 ,87.5 ,85.1,-84.5 ,8.9 ,65.1
252350 ,21.7 ,94 ,91.5 ,87.5 ,84.0,-84.6 ,8.8 ,65.0
252440 ,21.7 ,94 ,90.5 ,88.4 ,85.1,-84.8 ,8.7 ,64.9
252530 ,20.9 ,94 ,90.5 ,87.5 ,85.1,-84.9 ,8.7 ,64.9
252650 ,20.9 ,94 ,90.5 ,87.5 ,87.2,-85.2 ,8.5 ,65.3
252740 ,20.9 ,94 ,90.5 ,88.4 ,88.2,-85.2 ,8.5 ,65.5
