TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
81770 ,99.1 ,97 ,94.7 ,89.7 ,87.6,-84.1 ,-10.2 ,42.2
81890 ,99.1 ,97 ,94.7 ,89.7 ,89.2,-84.0 ,-10.2 ,42.3
81980 ,98.2 ,97 ,94.7 ,89.7 ,90.7,-84.0 ,-10.1 ,42.3
82070 ,97.4 ,96 ,96.8 ,88.6 ,89.2,-83.8 ,-10.4 ,42.4
82190 ,99.1 ,97 ,96.8 ,89.7 ,89.2,-84.0 ,-10.3 ,42.6
82280 ,99.1 ,97 ,95.8 ,88.6 ,89.2,-84.0 ,-10.3 ,42.6
82370 ,98.2 ,96 ,95.8 ,89.7 ,89.2,-84.2 ,-10.2 ,42.6
82490 ,98.2 ,98 ,94.7 ,88.6 ,87.6,-84.3 ,-10.3 ,42.9
82580 ,97.4 ,97 ,96.8 ,89.7 ,87.6,-84.3 ,-10.3 ,42.8
82670 ,97.4 ,97 ,96.8 ,90.9 ,87.6,-84.4 ,-10.3 ,42.8
82790 ,97.4 ,96 ,94.7 ,88.6 ,89.2,-84.4 ,-10.2 ,42.7
82880 ,97.4 ,96 ,95.8 ,88.6 ,89.2,-84.3 ,-10.3 ,42.7
82970 ,97.4 ,96 ,95.8 ,88.6 ,89.2,-84.4 ,-10.3 ,43.1
83090 ,98.2 ,98 ,94.7 ,88.6 ,89.2,-84.4 ,-10.4 ,43.0
83180 ,99.1 ,96 ,95.8 ,90.9 ,87.6,-84.4 ,-10.3 ,42.9
83270 ,98.2 ,97 ,94.7 ,88.6 ,89.2,-84.4 ,-10.2 ,42.8
83390 ,97.4 ,96 ,95.8 ,90.9 ,89.2,-84.3 ,-10.3 ,42.6
83480 ,99.1 ,98 ,95.8 ,89.7 ,87.6,-84.2 ,-10.4 ,42.8
83570 ,97.4 ,96 ,95.8 ,89.7 ,89.2,-84.3 ,-10.6 ,43.0
83690 ,98.2 ,97 ,96.8 ,89.7 ,87.6,-84.4 ,-10.6 ,42.8
83780 ,98.2 ,97 ,95.8 ,88.6 ,87.6,-84.5 ,-10.6 ,42.9
83870 ,99.1 ,98 ,94.7 ,88.6 ,89.2,-84.6 ,-10.7 ,43.0
83990 ,98.2 ,97 ,96.8 ,90.9 ,89.2,-84.7 ,-10.8 ,43.0
84080 ,98.2 ,97 ,94.7 ,88.6 ,89.2,-84.7 ,-10.8 ,43.1
84170 ,98.2 ,97 ,96.8 ,90.9 ,89.2,-84.7 ,-10.7 ,43.1
84290 ,98.2 ,97 ,96.8 ,89.7 ,87.6,-84.7 ,-10.7 ,43.0
84380 ,97.4 ,97 ,95.8 ,89.7 ,89.2,-84.7 ,-10.7 ,43.0
84470 ,99.1 ,98 ,95.8 ,88.6 ,89.2,-84.6 ,-10.6 ,42.9
84590 ,98.2 ,97 ,95.8 ,88.6 ,89.2,-84.6 ,-10.4 ,42.8
84680 ,99.1 ,98 ,94.7 ,88.6 ,87.6,-84.7 ,-10.4 ,42.8
84770 ,97.4 ,97 ,95.8 ,89.7 ,89.2,-84.8 ,-10.2 ,42.8
84890 ,99.1 ,97 ,94.7 ,89.7 ,87.6,-84.8 ,-10.0 ,42.6
84980 ,98.2 ,97 ,95.8 ,88.6 ,89.2,-84.8 ,-9.9 ,42.6
85070 ,99.1 ,97 ,94.7 ,88.6 ,87.6,-84.8 ,-9.9 ,42.7
85190 ,98.2 ,98 ,94.7 ,88.6 ,89.2,-84.8 ,-10.0 ,42.7
85280 ,98.2 ,97 ,96.8 ,89.7 ,89.2,-84.8 ,-10.1 ,42.6
85370 ,99.1 ,97 ,94.7 ,88.6 ,87.6,-84.8 ,-10.0 ,42.4
85490 ,99.1 ,97 ,94.7 ,89.7 ,87.6,-84.8 ,-10.0 ,42.4
85580 ,98.2 ,96 ,96.8 ,89.7 ,86.1,-84.8 ,-10.0 ,42.4
85670 ,97.4 ,96 ,95.8 ,89.7 ,89.2,-84.8 ,-9.9 ,42.2
85790 ,97.4 ,96 ,95.8 ,89.7 ,87.6,-84.8 ,-9.8 ,42.4
85880 ,99.1 ,98 ,95.8 ,88.6 ,87.6,-84.9 ,-9.9 ,42.5
85970 ,98.2 ,96 ,95.8 ,89.7 ,87.6,-84.9 ,-9.9 ,42.4
86090 ,98.2 ,96 ,95.8 ,89.7 ,90.7,-85.0 ,-9.7 ,42.3
86180 ,98.2 ,97 ,94.7 ,88.6 ,90.7,-85.0 ,-9.7 ,42.3
86270 ,98.2 ,96 ,95.8 ,88.6 ,89.2,-85.1 ,-9.8 ,42.4
86360 ,99.1 ,97 ,95.8 ,88.6 ,87.6,-85.1 ,-9.9 ,42.4
86480 ,97.4 ,97 ,96.8 ,89.7 ,87.6,-85.0 ,-9.8 ,42.3
86570 ,98.2 ,95 ,96.8 ,90.9 ,89.2,-85.1 ,-9.8 ,42.4
86640 ,99.1 ,97 ,94.7 ,87.5 ,87.6,-85.2 ,-9.8 ,42.4
86780 ,97.4 ,96 ,95.8 ,89.7 ,89.2,-85.2 ,-9.7 ,42.4
86870 ,99.1 ,97 ,95.8 ,88.6 ,87.6,-85.3 ,-9.5 ,42.3
86960 ,99.1 ,97 ,96.8 ,88.6 ,86.1,-85.3 ,-9.5 ,42.4
87080 ,97.4 ,97 ,95.8 ,90.9 ,89.2,-85.3 ,-9.5 ,42.2
87170 ,100.0 ,97 ,94.7 ,87.5 ,87.6,-85.3 ,-9.4 ,42.3
