TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
170180 ,91.5 ,93 ,3.1 ,95.2 ,89.8,-83.2 ,51.3 ,-85.4
170300 ,90.5 ,92 ,3.1 ,95.2 ,89.8,-82.9 ,51.4 ,-85.4
170390 ,90.5 ,93 ,3.1 ,95.2 ,88.6,-83.2 ,51.4 ,-85.8
170480 ,90.5 ,93 ,4.2 ,96.4 ,88.6,-83.0 ,51.3 ,-85.7
170600 ,90.5 ,93 ,3.1 ,95.2 ,88.6,-83.3 ,51.2 ,-86.0
170690 ,89.4 ,92 ,3.1 ,96.4 ,89.8,-83.2 ,51.3 ,-86.1
170780 ,91.5 ,92 ,3.1 ,95.2 ,88.6,-83.2 ,51.3 ,-85.9
170900 ,89.4 ,92 ,3.1 ,95.2 ,88.6,-83.5 ,51.4 ,-86.2
170990 ,90.5 ,93 ,3.1 ,96.4 ,87.3,-83.3 ,51.5 ,-86.0
171080 ,90.5 ,92 ,3.1 ,95.2 ,88.6,-83.7 ,51.5 ,-86.4
171200 ,90.5 ,93 ,3.1 ,96.4 ,88.6,-83.6 ,51.5 ,-86.2
171290 ,91.5 ,93 ,4.2 ,96.4 ,88.6,-83.9 ,51.4 ,-86.5
171380 ,90.5 ,93 ,3.1 ,95.2 ,87.3,-83.9 ,51.6 ,-86.7
171500 ,90.5 ,92 ,3.1 ,96.4 ,88.6,-84.0 ,51.7 ,-86.9
171590 ,89.4 ,92 ,3.1 ,95.2 ,88.6,-84.0 ,51.8 ,-87.1
171680 ,90.5 ,92 ,3.1 ,95.2 ,88.6,-84.0 ,52.0 ,-87.1
171800 ,91.5 ,92 ,3.1 ,96.4 ,88.6,-84.1 ,52.1 ,-87.5
171890 ,90.5 ,93 ,2.1 ,95.2 ,87.3,-84.2 ,52.2 ,-87.7
171980 ,90.5 ,92 ,3.1 ,95.2 ,87.3,-84.3 ,52.2 ,-87.9
172100 ,90.5 ,93 ,2.1 ,96.4 ,88.6,-84.5 ,52.3 ,-88.2
172190 ,90.5 ,92 ,3.1 ,95.2 ,89.8,-84.5 ,52.4 ,-88.4
172280 ,91.5 ,93 ,3.1 ,95.2 ,88.6,-84.7 ,52.5 ,-88.8
172400 ,91.5 ,93 ,3.1 ,96.4 ,88.6,-84.8 ,52.6 ,-88.9
172490 ,90.5 ,93 ,3.1 ,95.2 ,88.6,-85.1 ,52.6 ,-89.2
172580 ,91.5 ,93 ,2.1 ,96.4 ,87.3,-85.1 ,52.9 ,-89.6
172700 ,91.5 ,92 ,3.1 ,95.2 ,87.3,-85.3 ,53.0 ,-89.7
172790 ,90.5 ,93 ,3.1 ,95.2 ,88.6,-85.5 ,53.2 ,-89.9
172880 ,90.5 ,93 ,3.1 ,95.2 ,88.6,-85.4 ,53.3 ,-90.0
172970 ,91.5 ,93 ,2.1 ,95.2 ,88.6,-85.5 ,53.4 ,-90.1
173090 ,91.5 ,93 ,4.2 ,96.4 ,88.6,-85.5 ,53.7 ,-90.3
173180 ,89.4 ,93 ,3.1 ,94.0 ,88.6,-85.6 ,53.8 ,-90.5
