TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
208830 ,26.3 ,93 ,85.2 ,96.4 ,89.8,-76.6 ,43.4 ,-81.4
208950 ,27.3 ,93 ,85.2 ,95.2 ,89.8,-76.7 ,43.3 ,-81.6
209040 ,28.4 ,93 ,85.2 ,95.2 ,88.6,-76.6 ,43.1 ,-81.4
209130 ,27.3 ,93 ,84.2 ,95.2 ,88.6,-76.6 ,43.0 ,-81.3
209250 ,27.3 ,93 ,85.2 ,95.2 ,89.8,-76.6 ,42.9 ,-81.4
209340 ,26.3 ,93 ,85.2 ,95.2 ,89.8,-76.8 ,42.9 ,-81.4
209430 ,27.3 ,94 ,85.2 ,94.0 ,89.8,-76.8 ,42.9 ,-81.2
209550 ,27.3 ,93 ,85.2 ,95.2 ,89.8,-76.8 ,43.0 ,-81.1
209640 ,25.2 ,93 ,85.2 ,95.2 ,89.8,-76.9 ,42.8 ,-81.2
209730 ,27.3 ,93 ,85.2 ,95.2 ,89.8,-77.0 ,42.7 ,-81.2
209850 ,26.3 ,93 ,85.2 ,95.2 ,89.8,-77.0 ,42.6 ,-80.6
209940 ,27.3 ,94 ,85.2 ,95.2 ,88.6,-76.9 ,42.5 ,-80.4
210030 ,26.3 ,93 ,85.2 ,95.2 ,89.8,-76.8 ,42.5 ,-80.6
210150 ,29.4 ,93 ,84.2 ,95.2 ,88.6,-76.5 ,42.4 ,-80.2
210240 ,25.2 ,94 ,85.2 ,95.2 ,88.6,-76.5 ,42.2 ,-80.0
210330 ,24.2 ,93 ,85.2 ,95.2 ,89.8,-76.5 ,42.0 ,-80.0
210450 ,28.4 ,93 ,85.2 ,94.0 ,88.6,-76.5 ,41.8 ,-80.0
210540 ,26.3 ,93 ,86.3 ,95.2 ,88.6,-76.6 ,41.7 ,-80.0
210630 ,26.3 ,93 ,85.2 ,94.0 ,88.6,-76.7 ,41.5 ,-79.9
210750 ,26.3 ,93 ,85.2 ,95.2 ,88.6,-76.7 ,41.5 ,-79.9
210840 ,27.3 ,94 ,85.2 ,94.0 ,89.8,-76.9 ,41.5 ,-80.1
210930 ,27.3 ,93 ,85.2 ,95.2 ,88.6,-76.7 ,41.4 ,-80.1
211050 ,27.3 ,93 ,85.2 ,95.2 ,88.6,-76.9 ,41.2 ,-80.0
211140 ,26.3 ,93 ,85.2 ,95.2 ,89.8,-77.0 ,41.2 ,-80.3
211230 ,26.3 ,94 ,85.2 ,94.0 ,88.6,-77.1 ,41.2 ,-80.3
211350 ,26.3 ,93 ,85.2 ,95.2 ,89.8,-77.3 ,41.1 ,-80.5
211440 ,24.2 ,93 ,85.2 ,95.2 ,88.6,-77.4 ,41.1 ,-80.5
211530 ,24.2 ,93 ,85.2 ,94.0 ,89.8,-77.4 ,41.0 ,-80.6
211650 ,24.2 ,93 ,86.3 ,96.4 ,89.8,-77.4 ,40.9 ,-80.5
211740 ,25.2 ,93 ,86.3 ,95.2 ,89.8,-77.5 ,40.8 ,-80.6
211830 ,23.1 ,93 ,86.3 ,96.4 ,89.8,-77.7 ,40.7 ,-80.6
211950 ,23.1 ,93 ,85.2 ,95.2 ,88.6,-77.5 ,40.6 ,-80.4
212040 ,24.2 ,93 ,85.2 ,95.2 ,88.6,-77.6 ,40.5 ,-80.3
212130 ,24.2 ,94 ,84.2 ,95.2 ,88.6,-77.7 ,40.4 ,-80.3
212250 ,24.2 ,93 ,84.2 ,92.8 ,88.6,-77.8 ,40.1 ,-80.1
212340 ,23.1 ,93 ,85.2 ,95.2 ,88.6,-77.8 ,40.0 ,-80.2
212430 ,24.2 ,93 ,85.2 ,95.2 ,88.6,-77.9 ,39.8 ,-80.2
212550 ,23.1 ,93 ,84.2 ,95.2 ,88.6,-78.4 ,39.5 ,-80.6
212640 ,24.2 ,93 ,85.2 ,95.2 ,88.6,-77.9 ,39.2 ,-80.1
212730 ,23.1 ,93 ,85.2 ,95.2 ,88.6,-78.5 ,39.0 ,-80.5
212850 ,24.2 ,93 ,85.2 ,95.2 ,89.8,-78.3 ,38.7 ,-80.3
212940 ,23.1 ,94 ,85.2 ,94.0 ,89.8,-78.7 ,38.8 ,-80.4
213030 ,24.2 ,94 ,85.2 ,95.2 ,88.6,-78.4 ,38.7 ,-80.4
213150 ,23.1 ,93 ,85.2 ,96.4 ,88.6,-78.6 ,38.7 ,-80.5
213240 ,24.2 ,93 ,84.2 ,95.2 ,89.8,-78.4 ,38.6 ,-80.3
213330 ,23.1 ,93 ,85.2 ,94.0 ,89.8,-78.5 ,38.5 ,-80.5
213450 ,24.2 ,93 ,85.2 ,96.4 ,89.8,-78.3 ,38.3 ,-80.3
213540 ,22.1 ,94 ,84.2 ,92.8 ,88.6,-78.3 ,38.3 ,-80.2
213630 ,22.1 ,93 ,85.2 ,96.4 ,89.8,-78.3 ,38.2 ,-80.2
213720 ,21.0 ,93 ,85.2 ,95.2 ,89.8,-78.2 ,38.0 ,-80.1
213840 ,22.1 ,93 ,85.2 ,95.2 ,88.6,-78.5 ,37.8 ,-80.2
213930 ,22.1 ,93 ,85.2 ,96.4 ,88.6,-78.4 ,37.7 ,-80.0
214020 ,22.1 ,93 ,85.2 ,95.2 ,88.6,-78.5 ,37.8 ,-80.1
214140 ,22.1 ,93 ,84.2 ,95.2 ,88.6,-78.4 ,37.6 ,-80.0
214230 ,22.1 ,93 ,85.2 ,95.2 ,88.6,-78.6 ,37.5 ,-80.0
