TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
251830 ,90.3 ,94 ,89.4 ,7.9 ,87.3,-96.0 ,2.7 ,-85.6
251950 ,91.3 ,95 ,88.4 ,7.9 ,87.3,-96.1 ,2.6 ,-85.7
252040 ,89.4 ,93 ,88.4 ,9.0 ,88.6,-96.1 ,2.5 ,-85.7
252130 ,90.3 ,94 ,89.4 ,7.9 ,87.3,-96.2 ,2.5 ,-85.8
252250 ,90.3 ,94 ,88.4 ,9.0 ,88.6,-96.1 ,2.6 ,-85.7
252340 ,90.3 ,94 ,88.4 ,9.0 ,87.3,-96.1 ,2.6 ,-85.7
252430 ,90.3 ,94 ,89.4 ,7.9 ,88.6,-96.0 ,2.6 ,-85.5
252550 ,90.3 ,95 ,88.4 ,7.9 ,88.6,-95.9 ,2.7 ,-85.4
252640 ,90.3 ,93 ,88.4 ,7.9 ,87.3,-95.8 ,2.8 ,-85.3
252730 ,90.3 ,94 ,88.4 ,7.9 ,88.6,-95.8 ,2.8 ,-85.3
252850 ,90.3 ,94 ,88.4 ,7.9 ,88.6,-95.8 ,2.9 ,-85.3
252940 ,89.4 ,94 ,88.4 ,7.9 ,87.3,-95.8 ,3.0 ,-85.4
253030 ,90.3 ,94 ,89.4 ,9.0 ,87.3,-95.9 ,3.1 ,-85.5
253150 ,89.4 ,94 ,88.4 ,6.8 ,87.3,-96.0 ,3.0 ,-85.5
253240 ,90.3 ,94 ,88.4 ,7.9 ,88.6,-95.9 ,2.9 ,-85.6
253330 ,90.3 ,94 ,88.4 ,7.9 ,87.3,-96.0 ,2.8 ,-85.6
253450 ,90.3 ,94 ,88.4 ,6.8 ,87.3,-96.1 ,2.8 ,-85.6
253540 ,91.3 ,95 ,88.4 ,6.8 ,87.3,-96.2 ,2.7 ,-85.5
253630 ,90.3 ,93 ,88.4 ,7.9 ,87.3,-96.2 ,2.7 ,-85.4
253750 ,91.3 ,94 ,87.3 ,6.8 ,88.6,-96.1 ,2.8 ,-85.6
253840 ,91.3 ,94 ,89.4 ,7.9 ,88.6,-96.2 ,2.8 ,-85.5
253930 ,90.3 ,94 ,88.4 ,7.9 ,87.3,-96.2 ,2.7 ,-85.4
254050 ,91.3 ,94 ,87.3 ,7.9 ,87.3,-96.2 ,2.7 ,-85.4
254140 ,90.3 ,93 ,88.4 ,7.9 ,88.6,-96.2 ,2.7 ,-85.3
254230 ,90.3 ,94 ,87.3 ,6.8 ,88.6,-96.2 ,2.6 ,-85.2
254350 ,90.3 ,94 ,88.4 ,9.0 ,86.0,-96.3 ,2.5 ,-85.2
254440 ,89.4 ,94 ,88.4 ,7.9 ,87.3,-96.3 ,2.6 ,-85.3
254530 ,91.3 ,94 ,88.4 ,7.9 ,87.3,-96.2 ,2.6 ,-85.3
254650 ,91.3 ,94 ,89.4 ,9.0 ,87.3,-96.0 ,2.6 ,-85.1
254740 ,90.3 ,93 ,88.4 ,7.9 ,87.3,-96.1 ,2.6 ,-85.2
254830 ,89.4 ,93 ,89.4 ,7.9 ,88.6,-96.1 ,2.5 ,-85.3
254950 ,90.3 ,94 ,88.4 ,7.9 ,86.0,-96.0 ,2.6 ,-85.4
255040 ,89.4 ,94 ,88.4 ,7.9 ,87.3,-95.9 ,2.6 ,-85.7
255130 ,90.3 ,93 ,88.4 ,7.9 ,87.3,-95.9 ,2.5 ,-85.9
255250 ,90.3 ,94 ,87.3 ,7.9 ,86.0,-95.8 ,2.5 ,-86.1
255340 ,91.3 ,94 ,87.3 ,7.9 ,87.3,-95.8 ,2.5 ,-86.1
255430 ,90.3 ,94 ,88.4 ,6.8 ,87.3,-95.8 ,2.5 ,-86.0
255520 ,90.3 ,93 ,88.4 ,9.0 ,87.3,-95.8 ,2.5 ,-86.0
255640 ,91.3 ,94 ,88.4 ,7.9 ,86.0,-95.8 ,2.6 ,-86.1
255730 ,90.3 ,93 ,88.4 ,7.9 ,87.3,-95.8 ,2.7 ,-86.0
255820 ,90.3 ,94 ,88.4 ,7.9 ,87.3,-95.7 ,2.8 ,-86.1
255940 ,91.3 ,93 ,88.4 ,7.9 ,88.6,-95.6 ,2.8 ,-86.0
256030 ,90.3 ,94 ,88.4 ,6.8 ,87.3,-95.5 ,2.8 ,-85.8
256120 ,90.3 ,93 ,89.4 ,9.0 ,87.3,-95.4 ,2.7 ,-85.7
