TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
293330 ,94.2 ,97 ,93.6 ,90.0 ,20.2,-96.8 ,5.6 ,-87.3
293450 ,94.2 ,97 ,93.6 ,91.1 ,18.9,-96.7 ,5.5 ,-87.3
293540 ,94.2 ,97 ,93.6 ,92.2 ,20.2,-96.8 ,5.3 ,-87.2
293630 ,93.2 ,97 ,93.6 ,91.1 ,18.9,-96.8 ,5.4 ,-87.2
293750 ,95.1 ,96 ,93.6 ,92.2 ,18.9,-96.7 ,5.4 ,-87.3
293840 ,95.1 ,97 ,93.6 ,91.1 ,20.2,-96.7 ,5.3 ,-87.2
293930 ,94.2 ,97 ,92.6 ,92.2 ,18.9,-96.9 ,5.2 ,-87.3
294050 ,94.2 ,97 ,94.7 ,92.2 ,18.9,-96.7 ,4.7 ,-86.9
294140 ,94.2 ,97 ,92.6 ,92.2 ,20.2,-96.5 ,4.7 ,-86.8
294230 ,94.2 ,97 ,94.7 ,91.1 ,17.7,-96.6 ,5.1 ,-87.0
294350 ,94.2 ,96 ,93.6 ,91.1 ,20.2,-96.8 ,5.2 ,-87.1
294440 ,95.1 ,97 ,92.6 ,91.1 ,20.2,-97.3 ,5.2 ,-86.8
294530 ,94.2 ,97 ,94.7 ,91.1 ,21.5,-97.4 ,5.3 ,-86.7
294650 ,95.1 ,97 ,93.6 ,91.1 ,21.5,-97.1 ,5.6 ,-87.0
294740 ,94.2 ,96 ,93.6 ,91.1 ,21.5,-97.0 ,5.6 ,-87.1
294830 ,94.2 ,97 ,93.6 ,92.2 ,21.5,-97.1 ,5.4 ,-86.9
294950 ,94.2 ,97 ,92.6 ,92.2 ,21.5,-97.2 ,5.3 ,-86.7
295040 ,94.2 ,96 ,93.6 ,91.1 ,20.2,-97.2 ,5.3 ,-86.6
295130 ,94.2 ,97 ,93.6 ,92.2 ,21.5,-97.1 ,5.2 ,-86.5
295250 ,95.1 ,96 ,93.6 ,91.1 ,18.9,-97.0 ,5.2 ,-86.6
295340 ,94.2 ,97 ,94.7 ,91.1 ,20.2,-97.0 ,5.2 ,-86.5
295430 ,94.2 ,97 ,94.7 ,92.2 ,20.2,-97.2 ,5.1 ,-86.5
295550 ,94.2 ,97 ,93.6 ,91.1 ,20.2,-97.2 ,5.1 ,-86.3
295640 ,94.2 ,96 ,94.7 ,91.1 ,20.2,-97.1 ,5.1 ,-86.3
295730 ,94.2 ,96 ,93.6 ,91.1 ,20.2,-97.0 ,5.0 ,-86.2
295850 ,95.1 ,97 ,92.6 ,91.1 ,20.2,-97.0 ,5.0 ,-86.1
295940 ,95.1 ,96 ,93.6 ,93.3 ,20.2,-97.0 ,5.0 ,-86.0
296030 ,95.1 ,96 ,92.6 ,91.1 ,20.2,-97.0 ,5.1 ,-86.1
296150 ,94.2 ,96 ,94.7 ,92.2 ,20.2,-97.0 ,5.2 ,-86.1
296240 ,94.2 ,97 ,93.6 ,91.1 ,18.9,-97.0 ,5.3 ,-86.2
296330 ,93.2 ,97 ,93.6 ,90.0 ,20.2,-97.0 ,5.3 ,-86.2
