TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
242500 ,91.7 ,94 ,0.9 ,85.8 ,85.2,-101.7 ,-21.7 ,0.3
242620 ,90.5 ,94 ,1.9 ,86.7 ,85.2,-101.5 ,-21.5 ,0.0
242710 ,90.5 ,94 ,1.9 ,87.6 ,85.2,-101.2 ,-21.5 ,-0.1
242800 ,90.5 ,94 ,0.9 ,86.7 ,85.2,-101.0 ,-21.6 ,-0.1
242920 ,90.5 ,94 ,1.9 ,87.6 ,85.2,-101.0 ,-21.8 ,-0.0
243010 ,90.5 ,94 ,1.9 ,87.6 ,85.2,-100.9 ,-21.9 ,0.0
243100 ,90.5 ,94 ,1.9 ,86.7 ,85.2,-100.9 ,-21.9 ,-0.0
243220 ,90.5 ,94 ,1.9 ,87.6 ,85.2,-100.6 ,-21.9 ,-0.1
243310 ,89.4 ,94 ,1.9 ,86.7 ,85.2,-100.7 ,-22.0 ,0.0
243400 ,90.5 ,94 ,1.9 ,86.7 ,84.0,-100.7 ,-22.0 ,-0.1
243520 ,90.5 ,94 ,1.9 ,86.7 ,85.2,-100.9 ,-22.0 ,-0.0
243610 ,89.4 ,94 ,1.9 ,86.7 ,84.0,-101.0 ,-22.1 ,0.1
243700 ,90.5 ,94 ,0.9 ,86.7 ,85.2,-101.0 ,-21.9 ,0.0
243820 ,89.4 ,93 ,1.9 ,87.6 ,85.2,-100.8 ,-21.7 ,-0.0
243910 ,89.4 ,94 ,1.9 ,86.7 ,84.0,-100.6 ,-21.8 ,0.4
244000 ,89.4 ,94 ,0.9 ,86.7 ,85.2,-100.3 ,-21.7 ,0.1
244120 ,90.5 ,94 ,0.0 ,85.8 ,84.0,-99.9 ,-21.7 ,-0.1
244210 ,90.5 ,94 ,0.9 ,86.7 ,85.2,-99.9 ,-21.9 ,-0.1
244300 ,90.5 ,94 ,0.9 ,86.7 ,84.0,-100.1 ,-22.0 ,-0.1
244420 ,89.4 ,94 ,0.9 ,85.8 ,82.9,-100.1 ,-21.4 ,-0.1
