TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
281220 ,3.9 ,96 ,94.2 ,84.9 ,83.1,-127.0 ,-23.1 ,23.5
281340 ,4.9 ,97 ,95.1 ,84.9 ,83.1,-127.0 ,-23.2 ,23.5
281430 ,4.9 ,96 ,95.1 ,85.8 ,84.2,-127.0 ,-23.2 ,23.5
281520 ,3.9 ,96 ,95.1 ,85.8 ,83.1,-126.9 ,-23.3 ,23.4
281640 ,1.9 ,96 ,95.1 ,85.8 ,83.1,-126.9 ,-23.4 ,23.4
281730 ,1.9 ,96 ,95.1 ,84.9 ,82.0,-126.9 ,-23.4 ,23.4
281820 ,1.9 ,96 ,95.1 ,85.8 ,84.2,-127.0 ,-23.5 ,23.4
281940 ,0.9 ,96 ,95.1 ,84.9 ,83.1,-127.1 ,-23.5 ,23.4
282030 ,0.9 ,96 ,95.1 ,84.0 ,83.1,-127.1 ,-23.5 ,23.3
282120 ,2.9 ,96 ,94.2 ,84.9 ,83.1,-127.2 ,-23.5 ,23.3
282240 ,0.9 ,95 ,95.1 ,84.9 ,84.2,-127.5 ,-23.7 ,23.4
282330 ,0.9 ,96 ,95.1 ,85.8 ,84.2,-127.5 ,-23.1 ,22.8
282420 ,2.9 ,96 ,95.1 ,84.9 ,85.3,-127.2 ,-22.4 ,22.0
282540 ,2.9 ,96 ,95.1 ,84.9 ,87.6,-127.9 ,-22.0 ,21.7
282630 ,0.0 ,96 ,96.1 ,85.8 ,88.7,-129.2 ,-22.1 ,21.7
282720 ,0.9 ,96 ,94.2 ,84.9 ,89.8,-130.8 ,-22.4 ,21.7
282840 ,1.9 ,96 ,96.1 ,85.8 ,91.0,-132.2 ,-22.8 ,22.0
282930 ,1.9 ,96 ,95.1 ,84.9 ,91.0,-136.1 ,-23.8 ,22.9
283020 ,0.9 ,96 ,95.1 ,84.9 ,91.0,-136.9 ,-24.5 ,23.2
283140 ,1.9 ,96 ,95.1 ,84.9 ,89.8,-137.3 ,-24.8 ,23.6
283230 ,2.9 ,96 ,96.1 ,85.8 ,91.0,-138.7 ,-25.2 ,24.1
283350 ,1.9 ,96 ,96.1 ,85.8 ,89.8,-138.9 ,-25.5 ,24.1
283440 ,2.9 ,96 ,96.1 ,84.9 ,89.8,-139.5 ,-25.7 ,24.3
283530 ,2.9 ,96 ,95.1 ,84.9 ,91.0,-139.0 ,-25.8 ,24.4
283650 ,3.9 ,95 ,95.1 ,84.9 ,91.0,-138.5 ,-25.5 ,24.1
283740 ,4.9 ,96 ,95.1 ,85.8 ,91.0,-138.5 ,-25.4 ,23.9
283830 ,6.8 ,96 ,94.2 ,84.9 ,89.8,-137.7 ,-25.2 ,23.6
283950 ,4.9 ,95 ,95.1 ,85.8 ,91.0,-137.4 ,-25.3 ,23.4
284040 ,3.9 ,96 ,95.1 ,85.8 ,89.8,-137.4 ,-25.3 ,23.3
284130 ,7.8 ,96 ,95.1 ,84.9 ,89.8,-137.3 ,-25.4 ,23.3
284250 ,2.9 ,96 ,95.1 ,84.9 ,89.8,-137.4 ,-25.7 ,23.4
284340 ,2.9 ,96 ,94.2 ,84.9 ,89.8,-137.7 ,-25.8 ,23.3
284430 ,2.9 ,95 ,96.1 ,85.8 ,88.7,-137.6 ,-25.8 ,23.2
284550 ,1.9 ,96 ,95.1 ,85.8 ,89.8,-137.7 ,-25.8 ,23.2
284640 ,2.9 ,96 ,95.1 ,84.9 ,89.8,-137.8 ,-25.9 ,23.4
284730 ,1.9 ,96 ,95.1 ,84.9 ,88.7,-137.7 ,-26.0 ,23.3
284850 ,0.9 ,96 ,95.1 ,84.9 ,89.8,-137.5 ,-26.1 ,23.3
284940 ,1.9 ,96 ,94.2 ,84.0 ,88.7,-137.5 ,-26.3 ,23.4
285030 ,1.9 ,96 ,95.1 ,85.8 ,89.8,-137.4 ,-26.3 ,23.3
285150 ,1.9 ,95 ,94.2 ,84.9 ,89.8,-137.3 ,-26.7 ,23.1
285240 ,1.9 ,96 ,94.2 ,84.9 ,88.7,-137.4 ,-27.0 ,22.9
285330 ,0.0 ,96 ,95.1 ,85.8 ,89.8,-137.7 ,-27.4 ,22.8
285450 ,1.9 ,96 ,94.2 ,84.0 ,89.8,-137.9 ,-27.7 ,22.9
285540 ,1.9 ,95 ,95.1 ,84.9 ,89.8,-137.8 ,-27.7 ,23.0
285630 ,2.8 ,95 ,96.1 ,85.8 ,88.7,-137.8 ,-27.5 ,23.0
285750 ,1.9 ,95 ,95.1 ,85.8 ,89.8,-137.7 ,-27.4 ,23.1
285840 ,2.8 ,96 ,95.1 ,85.8 ,88.7,-137.5 ,-27.4 ,23.1
285930 ,1.9 ,96 ,95.1 ,85.8 ,88.7,-137.3 ,-27.8 ,23.2
286050 ,2.8 ,95 ,95.1 ,84.9 ,89.8,-137.1 ,-28.1 ,22.9
286120 ,3.8 ,95 ,95.1 ,85.8 ,88.7,-137.1 ,-28.2 ,22.8
286230 ,3.8 ,96 ,94.2 ,84.9 ,89.8,-137.2 ,-28.3 ,22.7
286350 ,6.7 ,96 ,94.2 ,84.9 ,88.7,-137.2 ,-28.3 ,22.7
286440 ,5.7 ,96 ,95.1 ,84.9 ,87.6,-137.2 ,-28.2 ,22.8
286530 ,6.7 ,96 ,95.1 ,84.9 ,87.6,-137.2 ,-28.1 ,22.9
286650 ,4.8 ,96 ,94.2 ,84.9 ,88.7,-137.3 ,-28.0 ,23.0
286740 ,4.8 ,96 ,94.2 ,84.9 ,87.6,-137.2 ,-27.9 ,23.0
286860 ,8.6 ,96 ,94.2 ,84.0 ,87.6,-137.0 ,-27.7 ,23.1
286950 ,6.7 ,96 ,95.1 ,84.9 ,88.7,-137.1 ,-27.6 ,23.1
287040 ,1.9 ,95 ,96.1 ,85.8 ,88.7,-137.3 ,-27.4 ,23.2
287160 ,2.8 ,96 ,94.2 ,84.9 ,88.7,-137.1 ,-27.3 ,23.2
287250 ,2.8 ,95 ,95.1 ,85.8 ,88.7,-137.2 ,-27.3 ,23.1
287340 ,1.9 ,95 ,95.1 ,84.9 ,89.8,-137.3 ,-27.3 ,23.2
287460 ,1.9 ,96 ,95.1 ,84.0 ,87.6,-137.3 ,-27.4 ,23.2
287550 ,2.8 ,96 ,95.1 ,84.9 ,88.7,-137.4 ,-27.5 ,23.2
287640 ,2.8 ,96 ,94.2 ,84.9 ,88.7,-137.6 ,-27.5 ,23.3
287760 ,1.9 ,95 ,95.1 ,85.8 ,89.8,-137.5 ,-27.5 ,23.2
287850 ,2.8 ,96 ,94.2 ,84.0 ,88.7,-137.6 ,-27.5 ,23.1
287940 ,2.8 ,95 ,94.2 ,84.9 ,88.7,-137.5 ,-27.5 ,23.0
288060 ,2.8 ,96 ,94.2 ,84.9 ,88.7,-137.3 ,-27.6 ,22.9
288150 ,2.8 ,95 ,94.2 ,84.9 ,88.7,-137.2 ,-27.6 ,22.8
288240 ,2.8 ,95 ,96.1 ,85.8 ,88.7,-137.2 ,-27.5 ,22.8
288360 ,2.8 ,96 ,94.2 ,84.0 ,87.6,-137.2 ,-27.4 ,22.8
288450 ,0.9 ,95 ,95.1 ,84.9 ,88.7,-137.0 ,-27.3 ,22.7
288540 ,1.9 ,95 ,95.1 ,85.8 ,88.7,-137.0 ,-27.3 ,22.6
288660 ,2.8 ,95 ,94.2 ,84.9 ,88.7,-136.8 ,-27.3 ,22.5
288750 ,2.8 ,96 ,95.1 ,84.9 ,88.7,-136.6 ,-27.2 ,22.4
288840 ,2.8 ,95 ,94.2 ,84.0 ,88.7,-136.5 ,-27.2 ,22.3
288960 ,2.8 ,95 ,95.1 ,84.9 ,87.6,-136.2 ,-27.1 ,22.2
289050 ,3.8 ,96 ,95.1 ,84.9 ,88.7,-136.1 ,-27.1 ,22.1
289140 ,3.8 ,95 ,95.1 ,84.9 ,88.7,-136.0 ,-27.0 ,21.8
289260 ,3.8 ,95 ,95.1 ,84.9 ,88.7,-135.8 ,-27.1 ,21.6
289350 ,1.9 ,95 ,95.1 ,85.8 ,88.7,-135.8 ,-27.1 ,21.5
289440 ,5.7 ,95 ,95.1 ,85.8 ,87.6,-135.7 ,-27.1 ,21.4
289560 ,4.8 ,96 ,94.2 ,84.9 ,87.6,-135.6 ,-27.1 ,21.2
289650 ,3.8 ,94 ,95.1 ,85.8 ,88.7,-135.5 ,-27.1 ,21.1
289740 ,1.9 ,95 ,95.1 ,84.9 ,88.7,-135.4 ,-27.1 ,21.0
289860 ,3.8 ,96 ,94.2 ,84.9 ,88.7,-135.4 ,-27.1 ,20.8
289950 ,3.8 ,96 ,94.2 ,84.0 ,87.6,-135.2 ,-27.1 ,20.6
290040 ,4.8 ,95 ,95.1 ,84.9 ,88.7,-135.0 ,-27.1 ,20.5
290160 ,4.8 ,95 ,95.1 ,85.8 ,88.7,-135.0 ,-27.0 ,20.4
290250 ,2.8 ,96 ,93.2 ,84.9 ,87.6,-135.0 ,-26.9 ,20.3
290340 ,3.8 ,96 ,95.1 ,85.8 ,87.6,-134.9 ,-26.8 ,20.3
290460 ,3.8 ,96 ,95.1 ,84.0 ,87.6,-134.8 ,-26.7 ,20.3
290550 ,2.8 ,95 ,94.2 ,84.9 ,88.7,-134.6 ,-26.5 ,20.2
290640 ,5.7 ,95 ,94.2 ,85.8 ,87.6,-134.5 ,-26.4 ,20.2
290760 ,5.7 ,96 ,95.1 ,84.9 ,87.6,-134.3 ,-26.4 ,20.1
290850 ,4.8 ,96 ,94.2 ,84.0 ,87.6,-134.2 ,-26.2 ,20.0
290970 ,3.8 ,96 ,94.2 ,85.8 ,87.6,-134.1 ,-25.9 ,19.7
