TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
202610 ,95.2 ,98 ,97.0 ,0.8 ,89.7,-110.5 ,-10.0 ,18.6
202730 ,96.4 ,97 ,97.0 ,0.8 ,88.6,-110.6 ,-10.1 ,18.6
202820 ,95.2 ,97 ,96.1 ,0.8 ,89.7,-110.5 ,-10.0 ,18.3
202910 ,95.2 ,97 ,97.0 ,0.8 ,90.9,-110.5 ,-10.0 ,18.3
203030 ,96.4 ,97 ,96.1 ,0.8 ,88.6,-110.5 ,-10.0 ,18.4
203120 ,95.2 ,97 ,97.0 ,0.0 ,88.6,-110.7 ,-10.0 ,18.4
203210 ,95.2 ,97 ,96.1 ,0.8 ,89.7,-110.6 ,-10.1 ,17.9
203330 ,96.4 ,97 ,96.1 ,0.8 ,88.6,-110.6 ,-10.2 ,17.8
203420 ,96.4 ,97 ,96.1 ,0.8 ,89.7,-110.7 ,-10.2 ,17.7
203510 ,96.4 ,97 ,97.0 ,1.7 ,88.6,-110.6 ,-10.0 ,17.6
203630 ,95.2 ,97 ,97.0 ,1.7 ,88.6,-110.6 ,-10.0 ,17.7
203720 ,96.4 ,98 ,95.1 ,0.8 ,89.7,-110.6 ,-10.1 ,17.7
203810 ,96.4 ,97 ,96.1 ,0.8 ,89.7,-110.7 ,-10.1 ,17.7
203930 ,96.4 ,98 ,96.1 ,0.8 ,88.6,-110.6 ,-10.0 ,17.8
204020 ,95.2 ,97 ,97.0 ,1.7 ,89.7,-110.4 ,-9.8 ,18.1
204110 ,95.2 ,97 ,95.1 ,0.8 ,89.7,-110.3 ,-9.7 ,18.2
204230 ,96.4 ,97 ,96.1 ,0.8 ,89.7,-110.3 ,-9.9 ,18.2
204320 ,95.2 ,97 ,97.0 ,0.8 ,88.6,-110.3 ,-10.0 ,18.4
204410 ,96.4 ,97 ,96.1 ,0.8 ,87.5,-110.3 ,-10.0 ,18.4
204530 ,96.4 ,97 ,97.0 ,1.7 ,88.6,-110.4 ,-10.0 ,18.3
204620 ,96.4 ,97 ,96.1 ,0.8 ,88.6,-110.3 ,-10.0 ,18.2
204740 ,96.4 ,98 ,96.1 ,0.0 ,88.6,-110.5 ,-10.2 ,18.2
204830 ,95.2 ,97 ,97.0 ,0.8 ,89.7,-110.6 ,-10.2 ,18.2
204920 ,96.4 ,98 ,97.0 ,0.8 ,87.5,-110.7 ,-10.3 ,18.3
205040 ,96.4 ,97 ,97.0 ,1.7 ,88.6,-110.7 ,-10.2 ,18.3
205130 ,96.4 ,98 ,95.1 ,0.0 ,89.7,-110.7 ,-10.2 ,18.2
205220 ,96.4 ,97 ,96.1 ,0.8 ,89.7,-110.7 ,-10.3 ,18.2
205340 ,95.2 ,97 ,97.0 ,1.7 ,89.7,-110.6 ,-10.3 ,18.3
205430 ,96.4 ,97 ,97.0 ,0.0 ,87.5,-110.6 ,-10.3 ,18.2
205520 ,95.2 ,97 ,96.1 ,0.8 ,89.7,-110.6 ,-10.3 ,18.2
205640 ,95.2 ,97 ,97.0 ,0.0 ,89.7,-111.1 ,-10.8 ,18.4
205730 ,95.2 ,97 ,96.1 ,0.8 ,88.6,-111.3 ,-11.0 ,18.6
205820 ,96.4 ,97 ,95.1 ,0.0 ,88.6,-111.3 ,-10.9 ,18.6
205940 ,95.2 ,97 ,96.1 ,0.8 ,87.5,-111.3 ,-10.9 ,18.5
206030 ,96.4 ,97 ,96.1 ,0.0 ,88.6,-111.4 ,-11.0 ,18.4
206120 ,95.2 ,97 ,96.1 ,0.0 ,88.6,-111.4 ,-11.1 ,18.5
206240 ,95.2 ,97 ,95.1 ,0.0 ,89.7,-111.4 ,-11.2 ,18.4
206330 ,95.2 ,97 ,96.1 ,0.8 ,89.7,-111.4 ,-11.2 ,18.4
206420 ,95.2 ,97 ,96.1 ,0.8 ,88.6,-111.5 ,-11.0 ,18.4
206540 ,96.4 ,97 ,95.1 ,0.8 ,88.6,-111.5 ,-11.0 ,18.6
206630 ,96.4 ,97 ,96.1 ,0.8 ,88.6,-111.4 ,-11.1 ,18.8
206720 ,96.4 ,97 ,96.1 ,2.6 ,88.6,-111.4 ,-11.1 ,18.8
206840 ,95.2 ,97 ,96.1 ,0.8 ,88.6,-111.5 ,-11.2 ,18.8
206930 ,96.4 ,97 ,96.1 ,1.7 ,88.6,-111.4 ,-11.2 ,18.8
207020 ,96.4 ,97 ,96.1 ,0.8 ,88.6,-111.3 ,-11.1 ,18.7
207140 ,96.4 ,97 ,95.1 ,0.8 ,88.6,-111.2 ,-11.0 ,18.7
207230 ,95.2 ,97 ,96.1 ,1.7 ,89.7,-111.3 ,-11.0 ,18.7
207320 ,95.2 ,97 ,96.1 ,1.7 ,88.6,-111.2 ,-11.0 ,18.8
207440 ,96.4 ,97 ,96.1 ,2.6 ,88.6,-111.2 ,-11.1 ,18.8
207510 ,96.4 ,97 ,97.0 ,2.6 ,88.6,-111.2 ,-11.0 ,18.9
207620 ,96.4 ,97 ,96.1 ,1.7 ,87.5,-111.3 ,-11.1 ,19.0
207740 ,96.4 ,97 ,96.1 ,1.7 ,88.6,-111.3 ,-11.1 ,19.2
207830 ,95.2 ,97 ,96.1 ,1.7 ,88.6,-111.3 ,-11.0 ,19.3
207920 ,95.2 ,97 ,96.1 ,2.6 ,88.6,-111.3 ,-10.9 ,19.4
208040 ,95.2 ,97 ,96.1 ,1.7 ,88.6,-111.3 ,-10.9 ,19.2
208130 ,96.4 ,97 ,96.1 ,0.8 ,88.6,-111.2 ,-11.1 ,19.1
208220 ,96.4 ,97 ,96.1 ,1.7 ,88.6,-111.1 ,-11.3 ,18.9
208340 ,95.2 ,97 ,95.1 ,0.8 ,88.6,-111.2 ,-11.5 ,18.1
208430 ,96.4 ,97 ,96.1 ,0.8 ,87.5,-111.2 ,-11.7 ,16.9
208550 ,96.4 ,97 ,96.1 ,1.7 ,88.6,-111.3 ,-11.9 ,15.8
208640 ,95.2 ,97 ,96.1 ,1.7 ,88.6,-111.3 ,-12.2 ,15.8
208730 ,95.2 ,97 ,96.1 ,2.6 ,89.7,-111.2 ,-12.4 ,16.1
208850 ,96.4 ,97 ,96.1 ,1.7 ,87.5,-111.0 ,-12.7 ,16.3
208940 ,95.2 ,97 ,97.0 ,1.7 ,88.6,-111.2 ,-12.8 ,16.4
209030 ,96.4 ,97 ,97.0 ,2.6 ,88.6,-111.4 ,-12.9 ,16.2
209150 ,96.4 ,97 ,96.1 ,1.7 ,87.5,-112.0 ,-13.1 ,16.0
209240 ,95.2 ,97 ,96.1 ,1.7 ,88.6,-112.1 ,-12.8 ,15.8
209330 ,95.2 ,97 ,96.1 ,1.7 ,87.5,-112.0 ,-12.4 ,16.0
209450 ,95.2 ,97 ,95.1 ,1.7 ,88.6,-112.5 ,-12.6 ,16.2
209540 ,95.2 ,97 ,96.1 ,2.6 ,87.5,-112.8 ,-12.6 ,16.5
209630 ,94.1 ,97 ,96.1 ,1.7 ,88.6,-113.0 ,-12.5 ,16.5
209750 ,95.2 ,97 ,96.1 ,0.8 ,88.6,-113.2 ,-12.2 ,16.2
209840 ,95.2 ,97 ,97.0 ,2.6 ,88.6,-113.4 ,-12.2 ,16.5
