TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
82310 ,93.8 ,93 ,7.7 ,73.6 ,91.4,-74.6 ,56.8 ,-31.2
82430 ,93.8 ,93 ,8.7 ,73.6 ,92.8,-75.8 ,58.8 ,-33.5
82520 ,93.8 ,93 ,7.7 ,72.5 ,91.4,-75.1 ,58.7 ,-32.9
82610 ,93.8 ,92 ,7.7 ,73.6 ,91.4,-74.3 ,58.6 ,-31.9
82730 ,93.8 ,92 ,8.7 ,72.5 ,91.4,-74.9 ,59.5 ,-33.0
82820 ,93.8 ,92 ,7.7 ,72.5 ,91.4,-74.7 ,59.4 ,-32.6
82910 ,93.8 ,92 ,8.7 ,73.6 ,92.8,-73.9 ,59.0 ,-31.7
83030 ,93.8 ,92 ,8.7 ,73.6 ,91.4,-73.5 ,58.9 ,-31.2
83120 ,93.8 ,92 ,7.7 ,73.6 ,92.8,-73.6 ,58.7 ,-31.2
83210 ,93.8 ,92 ,7.7 ,73.6 ,91.4,-73.4 ,58.5 ,-31.2
83330 ,93.8 ,92 ,8.7 ,73.6 ,91.4,-72.9 ,58.4 ,-30.8
83420 ,93.8 ,92 ,7.7 ,72.5 ,92.8,-72.7 ,58.3 ,-30.6
83510 ,93.8 ,92 ,7.7 ,73.6 ,91.4,-72.3 ,58.2 ,-30.2
83630 ,93.8 ,92 ,7.7 ,72.5 ,91.4,-72.2 ,58.3 ,-30.1
83720 ,93.8 ,92 ,8.7 ,73.6 ,92.8,-72.1 ,58.2 ,-29.9
83810 ,93.8 ,92 ,8.7 ,72.5 ,91.4,-71.8 ,58.3 ,-29.6
83930 ,93.8 ,92 ,8.7 ,72.5 ,91.4,-71.1 ,58.3 ,-28.6
84020 ,93.8 ,92 ,8.7 ,72.5 ,91.4,-70.7 ,58.4 ,-28.2
84110 ,93.8 ,92 ,7.7 ,72.5 ,92.8,-70.4 ,58.5 ,-27.9
84230 ,93.8 ,92 ,8.7 ,72.5 ,91.4,-69.9 ,58.6 ,-27.4
84320 ,93.8 ,92 ,8.7 ,73.6 ,91.4,-69.6 ,58.7 ,-27.2
84410 ,92.8 ,92 ,8.7 ,73.6 ,91.4,-69.5 ,58.9 ,-27.0
84530 ,93.8 ,92 ,7.7 ,73.6 ,92.8,-69.3 ,59.1 ,-26.9
84620 ,92.8 ,92 ,8.7 ,72.5 ,91.4,-69.2 ,59.2 ,-26.8
84710 ,92.8 ,92 ,8.7 ,73.6 ,91.4,-69.0 ,59.4 ,-26.7
84800 ,93.8 ,92 ,8.7 ,73.6 ,91.4,-68.6 ,59.4 ,-26.3
84920 ,93.8 ,92 ,8.7 ,72.5 ,91.4,-68.3 ,59.5 ,-25.9
85010 ,93.8 ,92 ,8.7 ,73.6 ,91.4,-68.1 ,59.7 ,-25.7
85100 ,93.8 ,92 ,8.7 ,72.5 ,90.0,-67.9 ,59.9 ,-25.4
85220 ,93.8 ,92 ,8.7 ,73.6 ,91.4,-67.4 ,60.1 ,-24.9
85310 ,93.8 ,92 ,8.7 ,73.6 ,91.4,-67.0 ,60.1 ,-24.6
85400 ,93.8 ,92 ,8.7 ,72.5 ,91.4,-66.8 ,59.9 ,-24.3
85520 ,93.8 ,92 ,8.7 ,73.6 ,91.4,-66.6 ,60.1 ,-24.0
85610 ,93.8 ,92 ,7.7 ,72.5 ,91.4,-66.4 ,60.3 ,-23.9
85700 ,93.8 ,92 ,7.7 ,72.5 ,91.4,-66.1 ,60.3 ,-23.6
85820 ,93.8 ,92 ,7.7 ,73.6 ,91.4,-65.8 ,60.3 ,-23.3
85910 ,93.8 ,92 ,7.7 ,72.5 ,91.4,-65.4 ,60.3 ,-22.9
