TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
199530 ,98.9 ,98 ,96.1 ,86.8 ,42.8,-19.8 ,-33.0 ,21.5
199650 ,100.0 ,98 ,97.0 ,86.8 ,41.4,-19.7 ,-32.9 ,21.5
199740 ,98.9 ,98 ,97.0 ,86.8 ,42.8,-19.6 ,-32.8 ,21.5
199830 ,98.9 ,99 ,97.0 ,86.8 ,41.4,-19.6 ,-32.6 ,21.7
199950 ,98.9 ,98 ,97.0 ,86.8 ,41.4,-19.7 ,-32.4 ,21.6
200040 ,100.0 ,98 ,97.0 ,86.8 ,40.0,-19.6 ,-32.2 ,21.6
200130 ,98.9 ,98 ,96.1 ,86.8 ,41.4,-19.4 ,-32.1 ,21.4
200250 ,98.9 ,98 ,97.0 ,87.9 ,41.4,-19.5 ,-31.8 ,21.3
200340 ,98.9 ,98 ,97.0 ,87.9 ,40.0,-19.5 ,-31.8 ,21.1
200430 ,100.0 ,99 ,96.1 ,86.8 ,40.0,-19.5 ,-31.8 ,21.1
200550 ,100.0 ,99 ,97.0 ,87.9 ,41.4,-20.1 ,-31.4 ,21.5
200640 ,98.9 ,98 ,97.0 ,86.8 ,40.0,-20.2 ,-31.4 ,21.5
200730 ,98.9 ,98 ,97.0 ,86.8 ,41.4,-19.9 ,-31.5 ,21.3
200850 ,98.9 ,98 ,97.0 ,86.8 ,40.0,-19.6 ,-31.8 ,21.0
200940 ,98.9 ,98 ,97.0 ,86.8 ,40.0,-19.3 ,-31.9 ,20.7
201030 ,98.9 ,98 ,97.0 ,86.8 ,41.4,-19.3 ,-32.0 ,20.4
201150 ,98.9 ,98 ,97.0 ,86.8 ,40.0,-18.9 ,-32.1 ,20.0
201240 ,98.9 ,99 ,97.0 ,86.8 ,40.0,-18.8 ,-32.1 ,19.8
201330 ,100.0 ,98 ,97.0 ,87.9 ,40.0,-18.9 ,-32.2 ,19.7
201450 ,98.9 ,98 ,96.1 ,86.8 ,40.0,-18.7 ,-32.3 ,19.4
201540 ,98.9 ,98 ,97.0 ,86.8 ,40.0,-19.0 ,-32.1 ,19.4
201630 ,100.0 ,98 ,96.1 ,85.7 ,40.0,-18.8 ,-32.2 ,19.3
201750 ,98.9 ,98 ,96.1 ,86.8 ,40.0,-19.0 ,-32.4 ,19.4
201840 ,98.9 ,99 ,97.0 ,86.8 ,40.0,-18.9 ,-32.5 ,19.2
201930 ,100.0 ,99 ,97.0 ,86.8 ,38.5,-18.4 ,-32.3 ,18.9
202050 ,98.9 ,99 ,97.0 ,86.8 ,38.5,-18.7 ,-32.4 ,18.8
202140 ,98.9 ,98 ,97.0 ,86.8 ,40.0,-18.8 ,-32.7 ,18.5
202230 ,98.9 ,99 ,96.1 ,86.8 ,38.5,-18.9 ,-32.9 ,18.7
202350 ,98.9 ,98 ,97.0 ,86.8 ,38.5,-18.4 ,-32.6 ,18.3
202440 ,97.9 ,98 ,97.0 ,86.8 ,38.5,-18.5 ,-32.4 ,18.3
202530 ,100.0 ,98 ,96.1 ,86.8 ,40.0,-18.2 ,-32.4 ,18.2
202650 ,98.9 ,98 ,97.0 ,87.9 ,38.5,-17.8 ,-32.3 ,18.1
202740 ,98.9 ,98 ,97.0 ,86.8 ,38.5,-17.9 ,-32.1 ,18.0
202830 ,98.9 ,98 ,97.0 ,86.8 ,38.5,-18.1 ,-32.1 ,17.7
202950 ,98.9 ,98 ,97.0 ,85.7 ,38.5,-18.3 ,-32.5 ,17.4
203040 ,98.9 ,99 ,97.0 ,86.8 ,38.5,-18.4 ,-32.8 ,17.2
203130 ,98.9 ,99 ,96.1 ,86.8 ,38.5,-18.3 ,-32.8 ,17.0
203250 ,97.9 ,98 ,97.0 ,86.8 ,38.5,-18.4 ,-32.9 ,16.8
203340 ,98.9 ,98 ,97.0 ,86.8 ,38.5,-18.4 ,-33.0 ,16.7
203430 ,98.9 ,98 ,97.0 ,86.8 ,38.5,-18.3 ,-33.0 ,16.6
203550 ,98.9 ,98 ,97.0 ,86.8 ,38.5,-18.0 ,-33.0 ,16.4
203640 ,98.9 ,98 ,96.1 ,86.8 ,38.5,-17.9 ,-33.0 ,16.5
