TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
263900 ,97.3 ,97 ,90.9 ,0.8 ,85.8,-20.2 ,-46.7 ,-49.9
264020 ,96.5 ,97 ,91.8 ,0.8 ,85.8,-20.7 ,-47.1 ,-49.1
264110 ,97.3 ,97 ,90.9 ,0.8 ,85.8,-20.6 ,-47.2 ,-48.8
264200 ,96.5 ,97 ,90.9 ,0.8 ,85.8,-20.6 ,-47.3 ,-48.7
264320 ,96.5 ,97 ,90.9 ,0.8 ,84.7,-20.5 ,-47.4 ,-48.7
264410 ,96.5 ,97 ,91.8 ,0.8 ,85.8,-20.5 ,-47.5 ,-48.5
264500 ,97.3 ,97 ,90.9 ,0.8 ,84.7,-20.6 ,-47.6 ,-48.2
264620 ,96.5 ,97 ,90.9 ,0.0 ,84.7,-20.9 ,-47.7 ,-47.8
264710 ,95.6 ,97 ,91.8 ,0.8 ,85.8,-20.9 ,-47.8 ,-47.6
264800 ,96.5 ,97 ,90.9 ,0.8 ,84.7,-20.8 ,-48.0 ,-47.6
264920 ,96.5 ,97 ,91.8 ,0.0 ,84.7,-20.9 ,-47.9 ,-47.4
265010 ,96.5 ,97 ,91.8 ,0.0 ,85.8,-21.0 ,-48.0 ,-47.1
265100 ,96.5 ,96 ,90.9 ,0.0 ,85.8,-20.9 ,-48.1 ,-47.1
265220 ,96.5 ,96 ,91.8 ,0.8 ,85.8,-20.8 ,-48.2 ,-47.2
265310 ,97.3 ,97 ,90.9 ,0.8 ,84.7,-20.7 ,-48.2 ,-47.3
265430 ,96.5 ,96 ,90.9 ,0.8 ,83.5,-20.9 ,-48.2 ,-47.1
265520 ,96.5 ,96 ,90.9 ,0.8 ,84.7,-20.9 ,-48.2 ,-47.0
265610 ,96.5 ,97 ,90.9 ,0.8 ,84.7,-20.8 ,-48.1 ,-47.2
265730 ,96.5 ,97 ,91.8 ,0.0 ,84.7,-20.8 ,-48.1 ,-47.2
265820 ,96.5 ,96 ,91.8 ,0.8 ,85.8,-21.0 ,-48.1 ,-47.0
265910 ,95.6 ,96 ,90.9 ,0.0 ,84.7,-21.1 ,-48.1 ,-46.9
266030 ,96.5 ,96 ,90.9 ,0.0 ,84.7,-21.3 ,-48.1 ,-46.7
266120 ,97.3 ,96 ,91.8 ,0.8 ,85.8,-21.2 ,-48.1 ,-46.8
266210 ,96.5 ,96 ,90.9 ,0.8 ,84.7,-21.0 ,-48.4 ,-46.8
266330 ,95.6 ,96 ,91.8 ,0.8 ,84.7,-21.0 ,-48.6 ,-46.4
266420 ,96.5 ,96 ,91.8 ,0.8 ,84.7,-21.1 ,-48.8 ,-45.9
266510 ,96.5 ,96 ,90.9 ,0.0 ,84.7,-21.1 ,-48.8 ,-45.5
266630 ,95.6 ,97 ,90.9 ,0.0 ,84.7,-21.2 ,-48.6 ,-45.4
266720 ,96.5 ,97 ,90.9 ,0.8 ,83.5,-21.1 ,-48.6 ,-45.5
266810 ,96.5 ,96 ,90.9 ,0.8 ,85.8,-21.1 ,-48.5 ,-45.6
266930 ,96.5 ,97 ,91.8 ,1.6 ,83.5,-21.3 ,-48.2 ,-45.6
267020 ,96.5 ,97 ,90.9 ,0.8 ,84.7,-21.5 ,-48.3 ,-45.5
267110 ,96.5 ,96 ,91.8 ,0.8 ,85.8,-21.6 ,-48.4 ,-45.5
267230 ,96.5 ,96 ,91.8 ,1.6 ,84.7,-21.9 ,-48.6 ,-45.3
267320 ,96.5 ,96 ,90.9 ,1.6 ,84.7,-22.2 ,-48.6 ,-45.1
267410 ,96.5 ,96 ,90.9 ,0.8 ,84.7,-22.4 ,-48.7 ,-44.9
267530 ,96.5 ,97 ,90.9 ,0.8 ,84.7,-22.7 ,-48.8 ,-44.6
267620 ,96.5 ,96 ,90.9 ,1.6 ,83.5,-22.9 ,-48.8 ,-44.6
