TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
210910 ,96.4 ,98 ,91.7 ,86.5 ,91.1,-90.1 ,-4.6 ,33.8
211030 ,96.4 ,98 ,89.9 ,86.5 ,92.2,-90.1 ,-4.7 ,33.8
211120 ,96.4 ,98 ,91.7 ,87.6 ,90.0,-90.1 ,-4.8 ,33.8
211210 ,96.4 ,98 ,91.7 ,85.3 ,91.1,-90.1 ,-4.9 ,33.9
211330 ,97.3 ,98 ,91.7 ,87.6 ,90.0,-90.1 ,-5.0 ,33.9
211420 ,96.4 ,98 ,90.8 ,86.5 ,91.1,-90.1 ,-5.1 ,33.9
211510 ,96.4 ,98 ,91.7 ,88.7 ,91.1,-90.1 ,-5.2 ,34.0
211630 ,96.4 ,98 ,91.7 ,87.6 ,92.2,-90.1 ,-5.3 ,34.0
211720 ,97.3 ,98 ,91.7 ,86.5 ,88.8,-90.1 ,-5.3 ,34.1
211810 ,97.3 ,99 ,90.8 ,86.5 ,90.0,-90.1 ,-5.3 ,34.1
211930 ,96.4 ,98 ,91.7 ,87.6 ,90.0,-90.2 ,-5.3 ,34.1
212020 ,96.4 ,98 ,89.9 ,86.5 ,91.1,-90.2 ,-5.3 ,34.1
212110 ,96.4 ,98 ,92.6 ,86.5 ,90.0,-90.2 ,-5.3 ,34.1
212230 ,97.3 ,98 ,90.8 ,85.3 ,90.0,-90.2 ,-5.3 ,34.1
212320 ,97.3 ,98 ,91.7 ,88.7 ,90.0,-90.3 ,-5.4 ,34.2
212410 ,97.3 ,98 ,89.9 ,86.5 ,90.0,-90.3 ,-5.3 ,34.3
212530 ,96.4 ,97 ,90.8 ,86.5 ,91.1,-90.3 ,-5.3 ,34.2
212620 ,97.3 ,98 ,89.9 ,87.6 ,90.0,-90.3 ,-5.2 ,34.2
212710 ,96.4 ,98 ,90.8 ,84.2 ,90.0,-90.3 ,-5.2 ,34.2
212830 ,96.4 ,98 ,91.7 ,86.5 ,90.0,-90.4 ,-5.3 ,34.3
212920 ,96.4 ,98 ,92.6 ,86.5 ,90.0,-90.4 ,-5.2 ,34.3
213010 ,97.3 ,98 ,91.7 ,86.5 ,88.8,-90.4 ,-5.2 ,34.3
213130 ,96.4 ,98 ,90.8 ,85.3 ,91.1,-90.4 ,-5.1 ,34.2
213220 ,96.4 ,98 ,90.8 ,85.3 ,90.0,-90.4 ,-5.0 ,34.1
213310 ,96.4 ,98 ,90.8 ,86.5 ,90.0,-90.4 ,-4.9 ,34.1
213430 ,97.3 ,98 ,90.8 ,86.5 ,90.0,-90.4 ,-4.9 ,34.0
213520 ,96.4 ,98 ,90.8 ,86.5 ,91.1,-90.5 ,-4.9 ,33.9
213610 ,96.4 ,98 ,91.7 ,87.6 ,90.0,-90.5 ,-4.9 ,33.9
213730 ,96.4 ,98 ,91.7 ,87.6 ,90.0,-90.5 ,-4.7 ,33.9
213820 ,96.4 ,97 ,91.7 ,86.5 ,91.1,-90.6 ,-4.6 ,33.9
213910 ,96.4 ,98 ,91.7 ,87.6 ,90.0,-90.6 ,-4.6 ,33.9
214030 ,97.3 ,98 ,90.8 ,86.5 ,88.8,-90.7 ,-4.5 ,33.9
214120 ,96.4 ,98 ,90.8 ,86.5 ,91.1,-90.7 ,-4.6 ,33.9
214210 ,96.4 ,98 ,91.7 ,87.6 ,90.0,-90.8 ,-4.7 ,33.9
214330 ,96.4 ,98 ,90.8 ,86.5 ,90.0,-90.9 ,-4.6 ,33.8
214420 ,96.4 ,98 ,90.8 ,85.3 ,91.1,-90.9 ,-4.6 ,33.9
214510 ,97.3 ,99 ,90.8 ,86.5 ,87.7,-91.0 ,-4.5 ,33.8
214600 ,97.3 ,98 ,90.8 ,85.3 ,88.8,-91.0 ,-4.5 ,33.7
214720 ,96.4 ,98 ,91.7 ,87.6 ,91.1,-91.0 ,-4.5 ,33.7
214810 ,97.3 ,98 ,89.9 ,85.3 ,90.0,-91.1 ,-4.4 ,33.6
214900 ,97.3 ,98 ,90.8 ,85.3 ,91.1,-91.0 ,-4.3 ,33.7
215020 ,96.4 ,98 ,90.8 ,86.5 ,91.1,-91.1 ,-4.2 ,33.5
215110 ,96.4 ,98 ,89.9 ,86.5 ,90.0,-91.1 ,-4.1 ,33.5
215200 ,96.4 ,97 ,90.8 ,87.6 ,91.1,-91.0 ,-4.1 ,33.5
215320 ,96.4 ,98 ,89.9 ,86.5 ,91.1,-91.0 ,-4.1 ,33.5
215410 ,96.4 ,98 ,90.8 ,85.3 ,90.0,-91.1 ,-4.1 ,33.6
215500 ,95.5 ,98 ,91.7 ,87.6 ,90.0,-91.0 ,-4.1 ,33.6
215620 ,97.3 ,98 ,89.9 ,85.3 ,88.8,-91.1 ,-4.3 ,33.6
215710 ,97.3 ,98 ,90.8 ,86.5 ,90.0,-91.1 ,-4.2 ,33.7
215800 ,96.4 ,97 ,90.8 ,85.3 ,90.0,-91.1 ,-4.4 ,33.7
215920 ,96.4 ,98 ,89.9 ,85.3 ,90.0,-91.1 ,-4.5 ,33.8
216010 ,97.3 ,98 ,90.8 ,86.5 ,90.0,-91.0 ,-4.6 ,33.9
216100 ,96.4 ,98 ,89.9 ,85.3 ,90.0,-91.0 ,-4.8 ,34.0
216220 ,96.4 ,98 ,90.8 ,87.6 ,90.0,-91.0 ,-4.8 ,34.1
216310 ,96.4 ,98 ,90.8 ,85.3 ,91.1,-91.0 ,-4.9 ,34.1
216400 ,98.2 ,98 ,90.8 ,85.3 ,88.8,-90.9 ,-5.0 ,34.0
216520 ,96.4 ,98 ,90.8 ,86.5 ,90.0,-91.0 ,-5.1 ,34.1
216610 ,95.5 ,98 ,91.7 ,87.6 ,90.0,-91.0 ,-5.1 ,34.1
216700 ,96.4 ,98 ,90.8 ,86.5 ,90.0,-90.9 ,-5.2 ,34.2
216820 ,96.4 ,98 ,89.9 ,86.5 ,90.0,-90.9 ,-5.3 ,34.2
216910 ,96.4 ,98 ,90.8 ,87.6 ,88.8,-91.0 ,-5.3 ,34.2
217000 ,97.3 ,98 ,90.8 ,86.5 ,88.8,-91.0 ,-5.3 ,34.3
217120 ,97.3 ,98 ,90.8 ,86.5 ,88.8,-91.1 ,-5.3 ,34.4
217210 ,96.4 ,98 ,89.9 ,85.3 ,90.0,-91.1 ,-5.3 ,34.5
217300 ,97.3 ,98 ,89.9 ,86.5 ,90.0,-91.1 ,-5.3 ,34.5
217390 ,95.5 ,98 ,91.7 ,86.5 ,90.0,-91.1 ,-5.3 ,34.6
217510 ,96.4 ,98 ,89.9 ,86.5 ,91.1,-91.2 ,-5.3 ,34.7
217600 ,96.4 ,98 ,91.7 ,87.6 ,90.0,-91.2 ,-5.3 ,34.7
217690 ,96.4 ,98 ,90.8 ,86.5 ,90.0,-91.2 ,-5.4 ,34.8
217810 ,96.4 ,97 ,90.8 ,87.6 ,90.0,-91.2 ,-5.4 ,34.8
217900 ,96.4 ,98 ,91.7 ,87.6 ,88.8,-91.3 ,-5.5 ,34.9
217990 ,96.4 ,98 ,90.8 ,87.6 ,90.0,-91.5 ,-5.5 ,35.1
218110 ,96.4 ,98 ,90.8 ,87.6 ,90.0,-91.5 ,-5.6 ,35.1
218200 ,96.4 ,98 ,89.9 ,85.3 ,88.8,-91.4 ,-5.6 ,35.2
218290 ,97.3 ,98 ,90.8 ,86.5 ,88.8,-91.4 ,-5.7 ,35.2
218410 ,96.4 ,98 ,90.8 ,87.6 ,91.1,-91.4 ,-5.7 ,35.3
218500 ,95.5 ,97 ,90.8 ,86.5 ,90.0,-91.4 ,-5.7 ,35.4
218590 ,97.3 ,98 ,90.8 ,87.6 ,90.0,-91.5 ,-5.8 ,35.4
218710 ,97.3 ,98 ,89.9 ,86.5 ,88.8,-91.5 ,-5.8 ,35.4
218800 ,97.3 ,98 ,89.9 ,85.3 ,90.0,-91.5 ,-5.8 ,35.4
218890 ,96.4 ,98 ,91.7 ,86.5 ,90.0,-91.5 ,-5.8 ,35.4
219010 ,96.4 ,97 ,90.8 ,85.3 ,90.0,-91.5 ,-5.8 ,35.4
219100 ,96.4 ,98 ,90.8 ,86.5 ,87.7,-91.5 ,-5.8 ,35.4
219190 ,96.4 ,98 ,91.7 ,86.5 ,88.8,-91.6 ,-5.8 ,35.4
219310 ,96.4 ,98 ,89.9 ,86.5 ,90.0,-91.6 ,-5.9 ,35.5
219400 ,97.3 ,99 ,90.8 ,86.5 ,90.0,-91.6 ,-5.8 ,35.4
219490 ,97.3 ,98 ,89.9 ,85.3 ,90.0,-91.5 ,-5.8 ,35.4
219610 ,97.3 ,98 ,90.8 ,86.5 ,88.8,-91.5 ,-5.8 ,35.4
219700 ,96.4 ,98 ,90.8 ,86.5 ,90.0,-91.6 ,-5.8 ,35.4
219790 ,95.5 ,98 ,90.8 ,85.3 ,90.0,-91.6 ,-5.8 ,35.4
219910 ,97.3 ,98 ,90.8 ,86.5 ,88.8,-91.5 ,-5.6 ,35.3
220000 ,98.2 ,98 ,90.8 ,87.6 ,90.0,-91.5 ,-5.6 ,35.2
220090 ,98.2 ,98 ,91.7 ,86.5 ,88.8,-91.5 ,-5.5 ,35.2
220210 ,98.2 ,98 ,89.9 ,86.5 ,91.1,-91.4 ,-5.5 ,35.2
220300 ,97.3 ,97 ,90.8 ,87.6 ,88.8,-91.5 ,-5.4 ,35.2
220390 ,98.2 ,98 ,91.7 ,86.5 ,88.8,-91.5 ,-5.4 ,35.2
220510 ,98.2 ,98 ,89.9 ,86.5 ,88.8,-91.5 ,-5.3 ,35.2
220600 ,97.3 ,98 ,91.7 ,86.5 ,87.7,-91.5 ,-5.3 ,35.1
