TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
260540 ,24.0 ,95 ,95.6 ,85.8 ,81.0,158.2 ,-85.5 ,-113.1
260660 ,23.0 ,95 ,95.6 ,85.8 ,81.0,166.0 ,-85.8 ,-120.2
260750 ,23.0 ,95 ,96.7 ,85.8 ,79.7,171.8 ,-85.8 ,-125.7
260840 ,23.0 ,96 ,95.6 ,85.8 ,81.0,176.7 ,-85.8 ,-130.5
260960 ,24.0 ,96 ,95.6 ,85.8 ,81.0,179.2 ,-86.1 ,-132.7
261050 ,23.0 ,95 ,95.6 ,84.7 ,81.0,-177.3 ,-86.2 ,-135.8
261140 ,24.0 ,96 ,95.6 ,84.7 ,81.0,-177.6 ,-85.9 ,-135.4
261260 ,24.0 ,95 ,95.6 ,85.8 ,81.0,-176.9 ,-85.3 ,-136.6
261350 ,24.0 ,95 ,95.6 ,84.7 ,79.7,-174.1 ,-84.9 ,-139.6
261440 ,24.0 ,95 ,95.6 ,85.8 ,79.7,-169.6 ,-84.7 ,-144.1
261560 ,23.0 ,95 ,95.6 ,85.8 ,81.0,-163.5 ,-84.4 ,-149.9
261650 ,24.0 ,95 ,95.6 ,84.7 ,81.0,-162.7 ,-84.4 ,-150.5
261740 ,24.0 ,95 ,95.6 ,84.7 ,81.0,-162.3 ,-84.5 ,-150.9
261860 ,24.0 ,96 ,96.7 ,84.7 ,79.7,-162.4 ,-84.3 ,-150.7
261950 ,25.0 ,95 ,95.6 ,84.7 ,79.7,-160.0 ,-84.2 ,-153.2
262040 ,24.0 ,95 ,95.6 ,85.8 ,81.0,-158.2 ,-83.9 ,-154.8
262160 ,24.0 ,95 ,95.6 ,85.8 ,79.7,-154.5 ,-83.5 ,-158.1
262250 ,24.0 ,96 ,95.6 ,84.7 ,81.0,-153.0 ,-83.3 ,-159.6
262340 ,24.0 ,96 ,95.6 ,84.7 ,81.0,-155.2 ,-83.2 ,-157.4
262460 ,24.0 ,95 ,95.6 ,84.7 ,79.7,-149.6 ,-82.7 ,-163.4
262550 ,24.0 ,95 ,95.6 ,85.8 ,81.0,-147.9 ,-82.3 ,-165.0
262640 ,24.0 ,95 ,95.6 ,84.7 ,79.7,-147.8 ,-82.3 ,-164.8
262760 ,24.0 ,95 ,94.6 ,85.8 ,81.0,-144.1 ,-82.2 ,-168.3
262850 ,24.0 ,95 ,95.6 ,85.8 ,79.7,-139.1 ,-81.9 ,-173.2
262940 ,24.0 ,95 ,95.6 ,85.8 ,79.7,-135.8 ,-81.3 ,-176.4
263060 ,24.0 ,96 ,95.6 ,84.7 ,79.7,-134.9 ,-80.6 ,-176.9
263150 ,24.0 ,95 ,95.6 ,84.7 ,81.0,-130.5 ,-80.5 ,179.2
263240 ,24.0 ,95 ,95.6 ,85.8 ,78.4,-125.5 ,-80.2 ,174.8
263360 ,24.0 ,95 ,95.6 ,85.8 ,79.7,-123.1 ,-79.6 ,172.8
263450 ,23.0 ,95 ,95.6 ,84.7 ,79.7,-122.3 ,-79.1 ,172.1
263540 ,24.0 ,95 ,95.6 ,85.8 ,79.7,-119.8 ,-78.7 ,169.5
263660 ,24.0 ,95 ,95.6 ,84.7 ,81.0,-118.9 ,-78.4 ,168.5
263750 ,24.0 ,95 ,95.6 ,85.8 ,79.7,-116.8 ,-78.1 ,166.7
263840 ,23.0 ,95 ,95.6 ,85.8 ,81.0,-115.6 ,-77.7 ,165.9
263960 ,23.0 ,95 ,95.6 ,84.7 ,79.7,-117.9 ,-77.4 ,168.6
264050 ,24.0 ,96 ,95.6 ,84.7 ,79.7,-120.6 ,-77.3 ,171.3
264140 ,23.0 ,95 ,95.6 ,84.7 ,81.0,-121.8 ,-77.2 ,172.7
264260 ,23.0 ,95 ,95.6 ,84.7 ,79.7,-122.2 ,-76.9 ,173.4
264350 ,24.0 ,95 ,94.6 ,84.7 ,79.7,-124.0 ,-76.6 ,174.9
264440 ,25.0 ,95 ,95.6 ,84.7 ,79.7,-124.0 ,-76.5 ,174.5
264560 ,24.0 ,95 ,95.6 ,84.7 ,79.7,-122.5 ,-76.5 ,172.6
264650 ,24.0 ,95 ,95.6 ,84.7 ,79.7,-120.8 ,-76.7 ,170.8
264740 ,24.0 ,95 ,95.6 ,84.7 ,79.7,-115.4 ,-76.9 ,165.8
264860 ,25.0 ,95 ,95.6 ,85.8 ,81.0,-107.3 ,-76.6 ,158.8
264950 ,23.0 ,95 ,95.6 ,84.7 ,79.7,-101.9 ,-76.2 ,153.9
265040 ,24.0 ,96 ,95.6 ,83.5 ,79.7,-98.2 ,-76.0 ,150.7
265160 ,24.0 ,95 ,95.6 ,84.7 ,79.7,-98.1 ,-75.8 ,150.1
265250 ,25.0 ,95 ,95.6 ,85.8 ,79.7,-99.4 ,-75.4 ,150.9
265340 ,25.0 ,95 ,94.6 ,84.7 ,79.7,-98.2 ,-74.8 ,149.2
265430 ,24.0 ,95 ,95.6 ,84.7 ,81.0,-95.6 ,-73.9 ,145.5
265550 ,25.0 ,95 ,95.6 ,84.7 ,79.7,-91.1 ,-73.3 ,140.6
