TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
576560 ,8.8 ,98 ,94.8 ,87.6 ,85.5,67.3 ,-32.8 ,175.2
576680 ,7.8 ,96 ,95.8 ,89.6 ,86.6,67.5 ,-32.7 ,175.3
576770 ,6.8 ,97 ,96.9 ,89.6 ,86.6,67.8 ,-32.8 ,175.3
576860 ,8.8 ,97 ,94.8 ,88.6 ,85.5,68.1 ,-32.7 ,175.4
576980 ,7.8 ,98 ,94.8 ,88.6 ,86.6,68.4 ,-32.6 ,175.2
577070 ,7.8 ,97 ,94.8 ,88.6 ,85.5,68.7 ,-32.6 ,175.1
577160 ,8.8 ,97 ,94.8 ,88.6 ,85.5,69.0 ,-32.5 ,175.3
577280 ,8.8 ,97 ,95.8 ,88.6 ,85.5,69.3 ,-32.5 ,175.3
577370 ,7.8 ,97 ,95.8 ,89.6 ,84.4,69.6 ,-32.3 ,175.3
577460 ,8.8 ,97 ,95.8 ,89.6 ,85.5,69.8 ,-32.2 ,175.4
577580 ,8.8 ,98 ,95.8 ,89.6 ,85.5,69.3 ,-32.6 ,175.3
577670 ,6.8 ,97 ,96.9 ,88.6 ,84.4,68.9 ,-32.8 ,175.3
577760 ,7.8 ,98 ,95.8 ,89.6 ,85.5,69.2 ,-32.7 ,175.3
577880 ,6.8 ,97 ,95.8 ,88.6 ,85.5,70.0 ,-32.4 ,175.1
577970 ,7.8 ,98 ,96.9 ,88.6 ,83.3,70.4 ,-32.2 ,175.0
578060 ,10.7 ,97 ,94.8 ,88.6 ,85.5,70.7 ,-31.9 ,175.1
578180 ,8.8 ,98 ,94.8 ,87.6 ,85.5,71.2 ,-31.8 ,174.9
578270 ,8.8 ,97 ,95.8 ,88.6 ,85.5,71.6 ,-31.5 ,174.9
578360 ,10.7 ,97 ,94.8 ,87.6 ,85.5,72.3 ,-31.4 ,174.6
578480 ,27.4 ,98 ,94.8 ,88.6 ,85.5,72.8 ,-30.8 ,175.0
578570 ,27.4 ,99 ,95.8 ,88.6 ,85.5,73.2 ,-30.0 ,175.4
578660 ,28.4 ,98 ,95.8 ,88.6 ,84.4,73.7 ,-29.1 ,176.2
578780 ,27.4 ,98 ,94.8 ,87.6 ,85.5,74.1 ,-29.1 ,176.4
578870 ,22.5 ,97 ,95.8 ,88.6 ,85.5,74.6 ,-29.2 ,176.0
578960 ,23.5 ,98 ,94.8 ,88.6 ,85.5,75.0 ,-29.2 ,175.8
579080 ,16.6 ,96 ,95.8 ,88.6 ,86.6,75.7 ,-29.1 ,175.5
579170 ,12.7 ,97 ,95.8 ,89.6 ,84.4,76.3 ,-28.9 ,175.1
579260 ,10.7 ,97 ,94.8 ,89.6 ,85.5,76.6 ,-28.7 ,175.2
579380 ,10.7 ,98 ,95.8 ,89.6 ,86.6,77.0 ,-28.4 ,175.3
579470 ,11.7 ,98 ,95.8 ,87.6 ,85.5,77.3 ,-28.4 ,175.3
579560 ,10.7 ,97 ,95.8 ,88.6 ,85.5,77.5 ,-28.4 ,175.3
579680 ,11.7 ,98 ,95.8 ,89.6 ,85.5,77.8 ,-28.3 ,175.3
579770 ,11.7 ,98 ,96.9 ,88.6 ,83.3,78.0 ,-28.3 ,175.4
579860 ,10.7 ,98 ,95.8 ,89.6 ,85.5,78.2 ,-28.3 ,175.4
579950 ,11.7 ,98 ,94.8 ,88.6 ,85.5,78.5 ,-28.2 ,175.4
580070 ,11.7 ,97 ,95.8 ,89.6 ,84.4,78.8 ,-28.1 ,175.4
580160 ,10.7 ,98 ,95.8 ,88.6 ,84.4,79.0 ,-28.1 ,175.4
580250 ,10.7 ,97 ,94.8 ,88.6 ,85.5,79.2 ,-28.1 ,175.4
580370 ,11.7 ,98 ,94.8 ,88.6 ,85.5,79.6 ,-28.0 ,175.4
580460 ,10.7 ,97 ,94.8 ,87.6 ,85.5,79.8 ,-28.0 ,175.4
580550 ,9.8 ,98 ,94.8 ,87.6 ,85.5,80.0 ,-28.0 ,175.4
580670 ,10.7 ,98 ,94.8 ,88.6 ,85.5,80.4 ,-27.9 ,175.4
580760 ,10.7 ,97 ,95.8 ,88.6 ,84.4,80.6 ,-27.8 ,175.5
580850 ,10.7 ,97 ,95.8 ,88.6 ,85.5,81.0 ,-27.8 ,175.4
580970 ,9.8 ,97 ,95.8 ,89.6 ,85.5,81.3 ,-27.7 ,175.5
581060 ,8.8 ,98 ,95.8 ,88.6 ,85.5,81.5 ,-27.7 ,175.5
581150 ,8.8 ,98 ,95.8 ,89.6 ,85.5,81.8 ,-27.5 ,175.5
581270 ,8.8 ,96 ,94.8 ,88.6 ,85.5,82.1 ,-27.4 ,175.6
581360 ,7.8 ,97 ,95.8 ,88.6 ,85.5,82.3 ,-27.4 ,175.6
581450 ,8.8 ,98 ,94.8 ,88.6 ,85.5,82.6 ,-27.3 ,175.5
581570 ,9.8 ,96 ,94.8 ,88.6 ,85.5,82.9 ,-27.3 ,175.6
581660 ,8.8 ,98 ,94.8 ,87.6 ,85.5,83.2 ,-27.2 ,175.7
581750 ,9.8 ,97 ,93.8 ,87.6 ,85.5,83.6 ,-27.2 ,175.5
581870 ,9.8 ,97 ,95.8 ,88.6 ,83.3,83.9 ,-27.1 ,175.5
581960 ,10.7 ,98 ,94.8 ,88.6 ,85.5,84.1 ,-27.1 ,175.6
582050 ,9.8 ,97 ,93.8 ,87.6 ,85.5,84.3 ,-27.0 ,175.6
582170 ,8.8 ,96 ,95.8 ,88.6 ,85.5,84.7 ,-27.0 ,175.6
582260 ,9.8 ,98 ,95.8 ,87.6 ,85.5,84.8 ,-26.9 ,175.6
582350 ,9.8 ,97 ,94.8 ,89.6 ,85.5,85.0 ,-26.8 ,175.6
582470 ,8.8 ,97 ,94.8 ,88.6 ,85.5,85.4 ,-26.8 ,175.7
582560 ,10.7 ,97 ,94.8 ,88.6 ,85.5,85.6 ,-26.7 ,175.7
582650 ,11.7 ,98 ,94.8 ,88.6 ,85.5,85.8 ,-26.6 ,175.8
582770 ,8.8 ,97 ,95.8 ,89.6 ,85.5,86.0 ,-26.6 ,175.9
582860 ,7.8 ,97 ,95.8 ,89.6 ,84.4,86.4 ,-26.5 ,175.8
582950 ,8.8 ,97 ,94.8 ,88.6 ,84.4,86.6 ,-26.4 ,175.9
583040 ,8.8 ,97 ,94.8 ,88.6 ,84.4,86.9 ,-26.3 ,175.8
583160 ,7.8 ,97 ,95.8 ,89.6 ,84.4,87.2 ,-26.3 ,175.9
583250 ,8.8 ,97 ,95.8 ,88.6 ,85.5,87.5 ,-26.2 ,175.8
583340 ,6.8 ,97 ,94.8 ,88.6 ,85.5,87.5 ,-26.2 ,175.8
583460 ,7.8 ,98 ,95.8 ,88.6 ,84.4,87.6 ,-26.1 ,175.8
583550 ,7.8 ,97 ,95.8 ,88.6 ,84.4,87.7 ,-26.2 ,175.8
583640 ,7.8 ,98 ,95.8 ,88.6 ,84.4,87.6 ,-26.3 ,175.8
583760 ,8.8 ,97 ,95.8 ,89.6 ,84.4,87.6 ,-26.2 ,175.9
583850 ,9.8 ,97 ,93.8 ,87.6 ,85.5,87.7 ,-26.1 ,176.0
583940 ,8.8 ,97 ,94.8 ,89.6 ,84.4,87.4 ,-26.2 ,176.5
584060 ,8.8 ,98 ,95.8 ,88.6 ,84.4,87.5 ,-26.1 ,176.4
584150 ,7.8 ,97 ,94.8 ,88.6 ,85.5,87.4 ,-26.1 ,176.3
584240 ,8.8 ,97 ,95.8 ,89.6 ,84.4,87.4 ,-26.1 ,176.2
584360 ,7.8 ,97 ,95.8 ,89.6 ,85.5,87.3 ,-26.1 ,176.4
584450 ,8.8 ,98 ,94.8 ,88.6 ,85.5,87.2 ,-26.1 ,176.4
584540 ,9.8 ,97 ,93.8 ,89.6 ,85.5,87.1 ,-26.1 ,176.4
584660 ,7.8 ,97 ,95.8 ,88.6 ,84.4,87.1 ,-26.1 ,176.5
584750 ,8.8 ,98 ,94.8 ,87.6 ,84.4,87.1 ,-26.1 ,176.5
584840 ,7.8 ,97 ,95.8 ,88.6 ,84.4,87.1 ,-26.1 ,176.5
584960 ,8.8 ,97 ,94.8 ,88.6 ,84.4,87.0 ,-26.0 ,176.6
585050 ,7.8 ,97 ,95.8 ,88.6 ,85.5,87.0 ,-26.0 ,176.6
585140 ,7.8 ,98 ,94.8 ,88.6 ,84.4,87.0 ,-26.0 ,176.6
585260 ,7.8 ,97 ,94.8 ,88.6 ,85.5,87.0 ,-26.0 ,176.7
585350 ,7.8 ,97 ,95.8 ,87.6 ,85.5,87.0 ,-26.0 ,176.7
585440 ,7.8 ,96 ,95.8 ,88.6 ,86.6,87.1 ,-26.1 ,176.5
585560 ,7.8 ,98 ,95.8 ,88.6 ,84.4,87.1 ,-26.0 ,176.4
585650 ,7.8 ,97 ,95.8 ,88.6 ,85.5,87.2 ,-25.9 ,176.4
585740 ,9.8 ,98 ,94.8 ,88.6 ,84.4,87.2 ,-26.0 ,176.4
585860 ,9.8 ,97 ,93.8 ,88.6 ,85.5,87.1 ,-25.8 ,176.3
585950 ,8.8 ,97 ,94.8 ,88.6 ,85.5,87.0 ,-25.8 ,176.3
586040 ,9.8 ,97 ,95.8 ,88.6 ,84.4,87.0 ,-25.8 ,176.2
586160 ,8.8 ,97 ,95.8 ,87.6 ,85.5,87.1 ,-25.8 ,176.1
586250 ,8.8 ,97 ,94.8 ,88.6 ,84.4,87.1 ,-25.7 ,176.0
