TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
353210 ,19.3 ,98 ,95.2 ,89.0 ,79.0,46.0 ,18.3 ,-129.4
353330 ,17.7 ,97 ,96.1 ,87.8 ,80.6,45.4 ,19.7 ,-129.3
353420 ,19.3 ,98 ,94.2 ,86.5 ,80.6,45.2 ,20.1 ,-129.2
353510 ,17.7 ,98 ,95.2 ,87.8 ,80.6,45.3 ,19.0 ,-129.2
353630 ,17.7 ,98 ,96.1 ,87.8 ,80.6,45.6 ,15.5 ,-129.1
353720 ,18.5 ,98 ,95.2 ,89.0 ,79.0,44.6 ,12.3 ,-127.4
353810 ,18.5 ,97 ,96.1 ,87.8 ,79.0,43.8 ,11.3 ,-126.4
353930 ,17.7 ,97 ,95.2 ,86.5 ,80.6,43.1 ,13.8 ,-127.5
354020 ,18.5 ,98 ,96.1 ,87.8 ,79.0,45.1 ,15.4 ,-129.2
354110 ,18.5 ,98 ,94.2 ,86.5 ,80.6,45.8 ,16.5 ,-130.2
354230 ,17.7 ,98 ,95.2 ,87.8 ,80.6,47.3 ,16.1 ,-130.6
354320 ,18.5 ,98 ,95.2 ,87.8 ,79.0,47.9 ,15.7 ,-130.6
354410 ,16.9 ,98 ,96.1 ,86.5 ,79.0,47.9 ,15.6 ,-130.5
354530 ,18.5 ,98 ,95.2 ,87.8 ,79.0,48.1 ,15.3 ,-130.4
354620 ,17.7 ,97 ,96.1 ,87.8 ,79.0,48.4 ,15.1 ,-130.3
354710 ,17.7 ,97 ,96.1 ,86.5 ,82.2,48.8 ,14.9 ,-130.3
354830 ,17.7 ,97 ,95.2 ,86.5 ,80.6,49.1 ,14.8 ,-130.3
354920 ,18.5 ,98 ,95.2 ,89.0 ,79.0,49.3 ,14.7 ,-130.3
355010 ,16.9 ,97 ,96.1 ,87.8 ,80.6,49.5 ,14.7 ,-130.3
355130 ,18.5 ,98 ,94.2 ,87.8 ,80.6,49.8 ,14.5 ,-130.3
355220 ,18.5 ,98 ,95.2 ,86.5 ,79.0,50.0 ,14.3 ,-130.3
355310 ,17.7 ,98 ,97.1 ,87.8 ,77.4,50.1 ,14.2 ,-130.3
355430 ,16.9 ,97 ,95.2 ,87.8 ,80.6,50.4 ,14.2 ,-130.3
355520 ,16.1 ,98 ,95.2 ,87.8 ,80.6,50.5 ,14.0 ,-130.2
355610 ,16.9 ,98 ,97.1 ,89.0 ,80.6,50.7 ,13.9 ,-130.3
355730 ,18.5 ,98 ,94.2 ,86.5 ,79.0,50.9 ,13.7 ,-130.3
355820 ,18.5 ,98 ,96.1 ,86.5 ,79.0,51.0 ,13.5 ,-130.3
355910 ,17.7 ,98 ,95.2 ,86.5 ,80.6,51.0 ,13.3 ,-130.4
356030 ,18.5 ,98 ,93.3 ,86.5 ,80.6,51.2 ,13.2 ,-130.4
356120 ,18.5 ,98 ,95.2 ,86.5 ,80.6,51.3 ,13.1 ,-130.4
356210 ,17.7 ,98 ,96.1 ,86.5 ,79.0,51.5 ,12.9 ,-130.4
356330 ,17.7 ,98 ,95.2 ,86.5 ,79.0,51.9 ,12.9 ,-130.4
356420 ,19.3 ,98 ,95.2 ,86.5 ,80.6,52.1 ,12.7 ,-130.3
356510 ,19.3 ,98 ,94.2 ,86.5 ,80.6,52.2 ,12.6 ,-130.4
356630 ,19.3 ,98 ,95.2 ,87.8 ,79.0,52.4 ,12.4 ,-130.4
356720 ,17.7 ,98 ,96.1 ,89.0 ,80.6,52.6 ,12.3 ,-130.4
356810 ,16.9 ,97 ,95.2 ,89.0 ,80.6,52.7 ,12.3 ,-130.3
356930 ,19.3 ,98 ,95.2 ,86.5 ,79.0,52.6 ,11.9 ,-130.5
357020 ,16.9 ,98 ,95.2 ,87.8 ,79.0,52.8 ,11.7 ,-130.6
357110 ,17.7 ,98 ,95.2 ,87.8 ,80.6,53.1 ,11.8 ,-130.5
357230 ,17.7 ,97 ,96.1 ,87.8 ,82.2,53.4 ,11.7 ,-130.3
357320 ,18.5 ,98 ,95.2 ,86.5 ,77.4,53.6 ,11.6 ,-130.5
357410 ,17.7 ,98 ,96.1 ,87.8 ,79.0,53.5 ,11.0 ,-131.0
357530 ,19.3 ,98 ,94.2 ,87.8 ,79.0,53.6 ,11.1 ,-130.9
357620 ,18.5 ,97 ,95.2 ,87.8 ,79.0,53.9 ,11.1 ,-130.7
357710 ,17.7 ,97 ,96.1 ,89.0 ,79.0,54.2 ,11.1 ,-130.7
357830 ,17.7 ,97 ,95.2 ,87.8 ,79.0,54.2 ,11.0 ,-130.5
357920 ,17.7 ,98 ,95.2 ,87.8 ,80.6,54.2 ,10.9 ,-130.5
358010 ,17.7 ,98 ,95.2 ,87.8 ,77.4,54.5 ,10.7 ,-130.4
358110 ,17.7 ,98 ,96.1 ,86.5 ,79.0,54.7 ,10.6 ,-130.2
358220 ,16.9 ,97 ,95.2 ,87.8 ,80.6,53.3 ,10.8 ,-130.0
358310 ,17.7 ,98 ,96.1 ,87.8 ,77.4,50.9 ,10.9 ,-129.8
358430 ,17.7 ,98 ,95.2 ,86.5 ,79.0,48.3 ,11.0 ,-129.3
358520 ,16.9 ,98 ,96.1 ,89.0 ,79.0,48.8 ,10.9 ,-129.2
358610 ,18.5 ,98 ,95.2 ,86.5 ,79.0,49.7 ,10.7 ,-129.1
358730 ,16.9 ,98 ,96.1 ,87.8 ,79.0,52.0 ,10.5 ,-129.7
358820 ,17.7 ,97 ,95.2 ,87.8 ,80.6,53.0 ,10.3 ,-130.2
358910 ,17.7 ,98 ,96.1 ,87.8 ,79.0,53.5 ,10.0 ,-130.9
359030 ,17.7 ,98 ,96.1 ,87.8 ,79.0,54.0 ,9.6 ,-131.3
359120 ,16.9 ,97 ,96.1 ,86.5 ,79.0,54.7 ,9.5 ,-131.0
359210 ,17.7 ,97 ,95.2 ,85.3 ,80.6,55.1 ,9.5 ,-130.7
359330 ,18.5 ,98 ,96.1 ,89.0 ,79.0,55.4 ,9.3 ,-130.5
359420 ,16.9 ,97 ,96.1 ,86.5 ,80.6,55.7 ,9.1 ,-130.8
359510 ,18.5 ,98 ,95.2 ,86.5 ,77.4,55.8 ,9.0 ,-130.9
359630 ,17.7 ,98 ,96.1 ,87.8 ,79.0,56.1 ,8.8 ,-131.0
359720 ,18.5 ,98 ,96.1 ,87.8 ,77.4,56.8 ,8.7 ,-130.8
359810 ,17.7 ,98 ,96.1 ,87.8 ,79.0,57.0 ,8.7 ,-130.7
359930 ,17.7 ,98 ,95.2 ,85.3 ,77.4,57.3 ,8.8 ,-130.4
360020 ,17.7 ,98 ,95.2 ,87.8 ,77.4,57.4 ,8.9 ,-130.3
360110 ,16.9 ,97 ,96.1 ,87.8 ,79.0,57.5 ,8.8 ,-130.1
360230 ,18.5 ,98 ,96.1 ,86.5 ,75.8,57.8 ,9.0 ,-128.8
360320 ,17.7 ,98 ,96.1 ,87.8 ,77.4,58.4 ,9.4 ,-127.9
