TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
473430 ,95.1 ,94 ,92.3 ,84.7 ,35.4,36.7 ,11.7 ,-178.9
473550 ,95.1 ,94 ,92.3 ,84.7 ,35.4,34.4 ,11.0 ,-178.9
473640 ,95.1 ,94 ,93.3 ,84.7 ,37.0,35.3 ,11.2 ,-179.1
473730 ,94.3 ,94 ,92.3 ,83.5 ,38.7,35.4 ,11.2 ,-179.2
473850 ,94.3 ,94 ,92.3 ,83.5 ,37.0,35.3 ,11.2 ,-179.5
473940 ,94.3 ,94 ,91.4 ,83.5 ,35.4,35.6 ,11.3 ,-179.7
474030 ,95.1 ,94 ,93.3 ,84.7 ,37.0,36.0 ,11.3 ,-179.8
474150 ,95.1 ,94 ,92.3 ,84.7 ,37.0,36.2 ,11.3 ,-179.9
474240 ,93.5 ,94 ,93.3 ,84.7 ,38.7,36.1 ,11.4 ,-180.0
474330 ,95.1 ,95 ,92.3 ,83.5 ,37.0,36.1 ,11.3 ,-180.0
474450 ,95.1 ,95 ,92.3 ,82.3 ,38.7,36.0 ,11.4 ,180.0
474540 ,94.3 ,94 ,93.3 ,83.5 ,37.0,35.9 ,11.4 ,179.9
474630 ,95.1 ,95 ,92.3 ,84.7 ,37.0,35.8 ,11.5 ,179.8
474750 ,95.1 ,95 ,91.4 ,82.3 ,35.4,36.4 ,11.9 ,179.4
474840 ,95.1 ,94 ,92.3 ,84.7 ,37.0,36.5 ,12.1 ,179.3
474930 ,95.1 ,95 ,92.3 ,82.3 ,37.0,36.3 ,12.1 ,179.3
475050 ,95.1 ,94 ,92.3 ,83.5 ,38.7,36.3 ,12.1 ,179.3
475140 ,94.3 ,94 ,93.3 ,84.7 ,38.7,36.4 ,12.2 ,179.3
475230 ,94.3 ,94 ,91.4 ,82.3 ,38.7,37.4 ,12.5 ,179.1
475320 ,94.3 ,94 ,92.3 ,84.7 ,38.7,37.1 ,12.7 ,179.1
475440 ,95.1 ,94 ,93.3 ,83.5 ,38.7,36.9 ,12.8 ,179.0
475530 ,94.3 ,94 ,91.4 ,84.7 ,40.3,36.8 ,12.8 ,178.9
475620 ,94.3 ,94 ,92.3 ,84.7 ,40.3,36.5 ,12.8 ,178.8
475740 ,95.1 ,94 ,92.3 ,84.7 ,38.7,36.3 ,12.8 ,178.8
475830 ,95.1 ,95 ,91.4 ,82.3 ,37.0,36.2 ,12.8 ,178.8
475920 ,95.1 ,94 ,93.3 ,83.5 ,35.4,36.3 ,12.8 ,178.7
476040 ,95.1 ,94 ,92.3 ,84.7 ,37.0,36.2 ,12.9 ,178.7
476130 ,94.3 ,94 ,92.3 ,84.7 ,40.3,36.2 ,13.0 ,178.7
476220 ,95.1 ,94 ,93.3 ,84.7 ,37.0,36.1 ,13.1 ,178.6
476340 ,94.3 ,94 ,92.3 ,84.7 ,37.0,36.1 ,13.3 ,178.5
476430 ,95.9 ,95 ,91.4 ,83.5 ,37.0,36.0 ,13.3 ,178.5
476520 ,95.9 ,95 ,92.3 ,83.5 ,37.0,35.9 ,13.2 ,178.4
476640 ,94.3 ,94 ,93.3 ,83.5 ,37.0,35.8 ,13.2 ,178.4
476730 ,95.1 ,94 ,93.3 ,83.5 ,37.0,35.8 ,13.3 ,178.3
476820 ,94.3 ,94 ,92.3 ,83.5 ,38.7,35.8 ,13.2 ,178.4
476940 ,94.3 ,94 ,92.3 ,84.7 ,37.0,35.6 ,13.2 ,178.5
477030 ,95.1 ,94 ,92.3 ,83.5 ,37.0,35.6 ,13.3 ,178.5
477120 ,94.3 ,95 ,92.3 ,82.3 ,37.0,35.5 ,13.5 ,178.6
477240 ,95.1 ,94 ,93.3 ,83.5 ,35.4,35.1 ,13.3 ,178.4
477330 ,94.3 ,94 ,93.3 ,84.7 ,37.0,35.1 ,13.4 ,178.3
477420 ,94.3 ,95 ,93.3 ,84.7 ,37.0,34.9 ,13.6 ,178.3
477540 ,94.3 ,94 ,93.3 ,84.7 ,37.0,34.9 ,13.8 ,178.2
477630 ,95.1 ,94 ,92.3 ,82.3 ,38.7,34.7 ,13.9 ,178.3
477720 ,95.1 ,94 ,92.3 ,84.7 ,37.0,34.6 ,14.0 ,178.2
477840 ,94.3 ,94 ,93.3 ,83.5 ,40.3,34.6 ,14.2 ,178.0
477930 ,94.3 ,94 ,93.3 ,82.3 ,38.7,34.5 ,14.1 ,177.9
478020 ,94.3 ,94 ,92.3 ,84.7 ,38.7,34.4 ,14.2 ,177.9
478140 ,94.3 ,94 ,91.4 ,83.5 ,38.7,34.4 ,14.3 ,177.9
478230 ,94.3 ,94 ,92.3 ,84.7 ,37.0,34.4 ,14.5 ,177.8
478320 ,95.1 ,95 ,92.3 ,83.5 ,38.7,34.5 ,14.6 ,177.8
478440 ,93.5 ,94 ,93.3 ,83.5 ,38.7,34.6 ,14.5 ,178.0
478530 ,93.5 ,94 ,92.3 ,83.5 ,38.7,34.5 ,14.6 ,178.0
478620 ,95.1 ,95 ,92.3 ,83.5 ,37.0,34.6 ,14.7 ,178.0
478740 ,95.1 ,94 ,91.4 ,83.5 ,35.4,34.6 ,14.8 ,178.0
478830 ,95.1 ,94 ,93.3 ,83.5 ,35.4,34.5 ,14.9 ,178.0
478920 ,94.3 ,94 ,91.4 ,83.5 ,38.7,34.3 ,15.0 ,177.9
479040 ,95.9 ,94 ,91.4 ,82.3 ,37.0,34.0 ,15.1 ,177.7
479130 ,95.1 ,94 ,92.3 ,83.5 ,35.4,33.1 ,15.2 ,177.7
479220 ,94.3 ,94 ,92.3 ,83.5 ,38.7,33.1 ,15.3 ,177.6
479310 ,95.1 ,95 ,92.3 ,83.5 ,37.0,33.1 ,15.2 ,177.6
479430 ,95.1 ,94 ,93.3 ,83.5 ,37.0,33.1 ,15.2 ,177.6
479520 ,94.3 ,94 ,92.3 ,83.5 ,38.7,33.0 ,15.1 ,177.6
479610 ,95.1 ,94 ,93.3 ,84.7 ,35.4,33.0 ,15.0 ,177.5
479730 ,93.5 ,94 ,92.3 ,83.5 ,38.7,33.1 ,15.0 ,177.4
479820 ,95.1 ,94 ,92.3 ,84.7 ,38.7,33.0 ,15.0 ,177.4
479910 ,93.5 ,94 ,91.4 ,84.7 ,40.3,32.9 ,15.0 ,177.3
480030 ,94.3 ,94 ,92.3 ,82.3 ,38.7,32.8 ,15.0 ,177.3
480120 ,94.3 ,94 ,92.3 ,83.5 ,37.0,32.7 ,15.1 ,177.2
480210 ,95.1 ,94 ,93.3 ,84.7 ,37.0,32.7 ,15.2 ,177.2
480330 ,94.3 ,94 ,92.3 ,83.5 ,37.0,32.7 ,15.2 ,177.2
480420 ,95.1 ,94 ,93.3 ,84.7 ,37.0,32.7 ,15.1 ,177.2
480510 ,95.1 ,94 ,93.3 ,83.5 ,33.8,32.6 ,15.0 ,177.2
480630 ,95.1 ,94 ,92.3 ,83.5 ,35.4,32.6 ,15.0 ,177.0
480720 ,94.3 ,94 ,93.3 ,83.5 ,37.0,32.6 ,15.0 ,176.7
480810 ,94.3 ,94 ,93.3 ,82.3 ,38.7,32.5 ,14.8 ,176.5
480930 ,95.1 ,95 ,92.3 ,83.5 ,37.0,32.6 ,14.7 ,176.5
481020 ,95.1 ,94 ,93.3 ,84.7 ,37.0,32.8 ,14.7 ,176.4
481110 ,94.3 ,94 ,93.3 ,83.5 ,33.8,32.9 ,14.7 ,176.3
481230 ,94.3 ,94 ,92.3 ,83.5 ,37.0,32.9 ,14.6 ,176.2
481320 ,95.1 ,94 ,93.3 ,83.5 ,33.8,32.9 ,14.5 ,176.1
481410 ,95.9 ,95 ,91.4 ,83.5 ,35.4,32.9 ,14.5 ,176.0
481530 ,94.3 ,94 ,92.3 ,84.7 ,37.0,32.7 ,14.2 ,175.6
481620 ,95.1 ,94 ,93.3 ,83.5 ,35.4,32.7 ,14.1 ,175.5
481710 ,95.1 ,94 ,92.3 ,82.3 ,38.7,32.6 ,14.1 ,175.6
481830 ,95.1 ,94 ,92.3 ,83.5 ,38.7,32.5 ,14.1 ,175.8
481920 ,93.5 ,94 ,92.3 ,83.5 ,37.0,32.5 ,14.1 ,175.9
482010 ,94.3 ,94 ,92.3 ,83.5 ,38.7,32.6 ,14.2 ,175.9
482130 ,95.1 ,95 ,92.3 ,83.5 ,35.4,32.6 ,14.2 ,175.8
482220 ,95.1 ,94 ,92.3 ,83.5 ,37.0,32.6 ,14.2 ,175.8
482310 ,94.3 ,94 ,92.3 ,83.5 ,38.7,32.5 ,14.2 ,175.7
482430 ,94.3 ,94 ,92.3 ,83.5 ,38.7,32.5 ,14.1 ,175.7
482520 ,95.1 ,94 ,91.4 ,82.3 ,38.7,32.6 ,14.2 ,175.6
482610 ,94.3 ,94 ,92.3 ,83.5 ,40.3,32.7 ,14.1 ,175.6
482730 ,95.1 ,94 ,93.3 ,83.5 ,37.0,32.7 ,14.2 ,175.5
482820 ,93.5 ,94 ,92.3 ,84.7 ,38.7,32.8 ,14.1 ,175.5
482910 ,95.1 ,94 ,92.3 ,82.3 ,37.0,32.8 ,14.2 ,175.4
483030 ,94.3 ,94 ,92.3 ,82.3 ,38.7,32.8 ,14.2 ,175.2
483120 ,95.1 ,94 ,91.4 ,83.5 ,38.7,32.8 ,14.2 ,175.1
483210 ,95.9 ,94 ,92.3 ,82.3 ,38.7,32.9 ,14.2 ,175.1
