TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
848510 ,97.1 ,95 ,92.8 ,81.6 ,23.6,-151.3 ,-28.0 ,66.5
848630 ,97.1 ,95 ,91.8 ,79.5 ,23.6,-151.4 ,-27.9 ,66.8
848720 ,97.1 ,95 ,91.8 ,80.6 ,23.6,-151.5 ,-27.8 ,67.0
848810 ,97.1 ,95 ,91.8 ,80.6 ,23.6,-151.7 ,-27.8 ,67.1
848930 ,97.1 ,95 ,91.8 ,81.6 ,23.6,-151.9 ,-27.9 ,67.2
849020 ,97.1 ,94 ,91.8 ,81.6 ,25.0,-151.9 ,-27.9 ,67.2
849110 ,97.1 ,95 ,91.8 ,80.6 ,23.6,-151.8 ,-27.9 ,67.0
849230 ,97.1 ,95 ,91.8 ,80.6 ,23.6,-151.9 ,-27.9 ,67.1
849320 ,97.1 ,95 ,91.8 ,81.6 ,25.0,-152.1 ,-27.8 ,67.1
849410 ,96.2 ,94 ,91.8 ,80.6 ,23.6,-152.2 ,-27.8 ,67.3
849530 ,96.2 ,95 ,92.8 ,81.6 ,23.6,-152.3 ,-27.7 ,67.4
849620 ,96.2 ,95 ,91.8 ,80.6 ,22.3,-152.2 ,-27.7 ,67.4
849710 ,96.2 ,95 ,91.8 ,80.6 ,25.0,-152.2 ,-27.6 ,67.5
849830 ,96.2 ,95 ,92.8 ,80.6 ,23.6,-152.4 ,-27.7 ,67.5
849920 ,96.2 ,94 ,92.8 ,80.6 ,25.0,-152.4 ,-27.7 ,67.5
850010 ,96.2 ,95 ,91.8 ,80.6 ,23.6,-152.2 ,-27.7 ,67.5
850130 ,96.2 ,95 ,91.8 ,81.6 ,23.6,-152.1 ,-27.7 ,67.4
850220 ,97.1 ,95 ,91.8 ,80.6 ,23.6,-152.2 ,-27.8 ,67.5
850310 ,96.2 ,94 ,92.8 ,81.6 ,25.0,-152.2 ,-27.8 ,67.4
850400 ,96.2 ,95 ,92.8 ,80.6 ,25.0,-152.1 ,-27.8 ,67.3
850520 ,96.2 ,95 ,91.8 ,81.6 ,25.0,-152.1 ,-27.8 ,67.4
850610 ,96.2 ,95 ,91.8 ,80.6 ,25.0,-152.3 ,-27.8 ,67.5
850700 ,97.1 ,95 ,91.8 ,80.6 ,23.6,-152.3 ,-27.7 ,67.5
850820 ,96.2 ,94 ,92.8 ,81.6 ,25.0,-152.2 ,-27.7 ,67.5
850910 ,97.1 ,95 ,91.8 ,79.5 ,23.6,-152.3 ,-27.8 ,67.7
851000 ,96.2 ,94 ,92.8 ,81.6 ,23.6,-152.5 ,-27.8 ,67.8
851120 ,97.1 ,95 ,91.8 ,80.6 ,25.0,-152.4 ,-27.7 ,67.8
851210 ,97.1 ,95 ,91.8 ,81.6 ,23.6,-152.3 ,-27.7 ,67.7
851300 ,96.2 ,95 ,92.8 ,80.6 ,23.6,-152.2 ,-27.6 ,67.8
851420 ,96.2 ,95 ,92.8 ,81.6 ,23.6,-152.5 ,-27.5 ,68.0
851510 ,96.2 ,95 ,92.8 ,81.6 ,23.6,-152.6 ,-27.5 ,68.1
851600 ,96.2 ,95 ,91.8 ,79.5 ,23.6,-152.4 ,-27.6 ,67.9
851720 ,96.2 ,94 ,91.8 ,79.5 ,23.6,-152.3 ,-27.6 ,67.8
851810 ,96.2 ,95 ,91.8 ,80.6 ,25.0,-152.3 ,-27.6 ,67.8
851900 ,96.2 ,95 ,92.8 ,80.6 ,25.0,-152.3 ,-27.6 ,67.8
852020 ,96.2 ,94 ,92.8 ,81.6 ,22.3,-152.3 ,-27.6 ,67.8
852110 ,96.2 ,95 ,92.8 ,81.6 ,23.6,-152.3 ,-27.5 ,67.8
852200 ,96.2 ,95 ,91.8 ,80.6 ,23.6,-152.3 ,-27.5 ,67.9
852320 ,96.2 ,94 ,92.8 ,80.6 ,23.6,-152.4 ,-27.5 ,68.0
852410 ,96.2 ,95 ,91.8 ,80.6 ,25.0,-152.4 ,-27.4 ,68.1
852500 ,96.2 ,95 ,91.8 ,80.6 ,23.6,-152.5 ,-27.4 ,68.3
852620 ,97.1 ,95 ,91.8 ,80.6 ,22.3,-152.7 ,-27.4 ,68.4
852710 ,97.1 ,94 ,91.8 ,81.6 ,25.0,-152.7 ,-27.5 ,68.3
852800 ,97.1 ,95 ,92.8 ,81.6 ,22.3,-152.5 ,-27.5 ,68.2
852920 ,96.2 ,95 ,91.8 ,80.6 ,25.0,-152.5 ,-27.5 ,68.2
853010 ,96.2 ,94 ,91.8 ,81.6 ,23.6,-152.6 ,-27.5 ,68.4
853100 ,96.2 ,95 ,92.8 ,81.6 ,23.6,-152.6 ,-27.5 ,68.4
853220 ,96.2 ,94 ,92.8 ,81.6 ,25.0,-152.6 ,-27.3 ,68.4
853310 ,96.2 ,95 ,92.8 ,79.5 ,23.6,-152.7 ,-27.1 ,68.4
853400 ,97.1 ,95 ,92.8 ,80.6 ,25.0,-152.8 ,-27.1 ,68.5
853520 ,97.1 ,95 ,91.8 ,80.6 ,25.0,-152.9 ,-27.1 ,68.5
853610 ,96.2 ,95 ,90.8 ,80.6 ,25.0,-152.7 ,-27.0 ,68.4
853700 ,96.2 ,95 ,91.8 ,80.6 ,25.0,-152.4 ,-27.1 ,68.2
853820 ,96.2 ,94 ,91.8 ,80.6 ,23.6,-152.5 ,-27.1 ,68.4
853910 ,96.2 ,95 ,91.8 ,80.6 ,23.6,-152.7 ,-27.0 ,68.6
854000 ,96.2 ,95 ,91.8 ,81.6 ,23.6,-152.8 ,-27.0 ,68.8
854120 ,98.1 ,95 ,91.8 ,80.6 ,23.6,-152.8 ,-26.9 ,68.9
854210 ,97.1 ,95 ,92.8 ,80.6 ,25.0,-152.8 ,-26.9 ,68.9
854300 ,97.1 ,94 ,91.8 ,80.6 ,25.0,-152.9 ,-26.9 ,68.9
854420 ,97.1 ,94 ,91.8 ,81.6 ,25.0,-153.1 ,-27.1 ,68.8
854510 ,97.1 ,95 ,90.8 ,80.6 ,25.0,-153.1 ,-27.2 ,68.6
854600 ,97.1 ,95 ,91.8 ,79.5 ,23.6,-153.0 ,-27.2 ,68.5
854720 ,97.1 ,95 ,92.8 ,80.6 ,23.6,-152.9 ,-27.1 ,68.5
854810 ,96.2 ,95 ,92.8 ,80.6 ,23.6,-153.0 ,-27.2 ,68.4
854900 ,96.2 ,94 ,92.8 ,80.6 ,23.6,-153.0 ,-27.2 ,68.6
855020 ,96.2 ,95 ,92.8 ,80.6 ,23.6,-153.2 ,-27.3 ,68.7
855110 ,96.2 ,95 ,91.8 ,79.5 ,23.6,-153.2 ,-27.3 ,68.8
855200 ,96.2 ,94 ,92.8 ,81.6 ,25.0,-153.0 ,-27.3 ,68.7
855320 ,96.2 ,95 ,91.8 ,80.6 ,23.6,-153.0 ,-27.3 ,68.6
855410 ,96.2 ,94 ,91.8 ,80.6 ,23.6,-153.3 ,-27.4 ,68.7
855500 ,96.2 ,95 ,91.8 ,80.6 ,25.0,-153.4 ,-27.5 ,68.8
855620 ,95.3 ,95 ,92.8 ,81.6 ,25.0,-153.2 ,-27.5 ,68.7
855710 ,96.2 ,94 ,92.8 ,80.6 ,23.6,-153.1 ,-27.4 ,68.7
855800 ,96.2 ,95 ,92.8 ,81.6 ,23.6,-153.2 ,-27.3 ,68.7
855920 ,96.2 ,94 ,91.8 ,80.6 ,23.6,-153.4 ,-27.1 ,69.1
856010 ,95.3 ,94 ,92.8 ,80.6 ,23.6,-153.5 ,-27.0 ,69.2
856100 ,95.3 ,95 ,91.8 ,80.6 ,23.6,-153.5 ,-26.8 ,69.5
856190 ,95.3 ,95 ,92.8 ,80.6 ,23.6,-153.5 ,-26.8 ,69.6
856310 ,95.3 ,94 ,92.8 ,81.6 ,25.0,-153.6 ,-26.6 ,69.8
856400 ,95.3 ,94 ,91.8 ,80.6 ,23.6,-153.7 ,-26.7 ,69.8
856520 ,96.2 ,94 ,91.8 ,81.6 ,23.6,-153.9 ,-26.6 ,70.1
856610 ,96.2 ,95 ,92.8 ,80.6 ,22.3,-153.9 ,-26.6 ,70.2
856700 ,96.2 ,95 ,91.8 ,81.6 ,23.6,-153.9 ,-26.5 ,70.4
856790 ,96.2 ,95 ,92.8 ,80.6 ,25.0,-153.9 ,-26.4 ,70.6
856910 ,97.1 ,94 ,92.8 ,80.6 ,22.3,-154.1 ,-26.5 ,70.7
857000 ,95.3 ,95 ,91.8 ,80.6 ,25.0,-154.2 ,-26.4 ,70.7
857090 ,95.3 ,95 ,92.8 ,80.6 ,23.6,-154.2 ,-26.5 ,70.8
857210 ,96.2 ,95 ,91.8 ,80.6 ,25.0,-154.2 ,-26.4 ,70.8
857300 ,97.1 ,95 ,91.8 ,80.6 ,25.0,-154.2 ,-26.4 ,70.7
857390 ,97.1 ,95 ,92.8 ,81.6 ,23.6,-154.2 ,-26.4 ,70.7
857510 ,98.1 ,95 ,91.8 ,80.6 ,23.6,-154.0 ,-26.4 ,70.5
857600 ,96.2 ,95 ,92.8 ,80.6 ,25.0,-153.8 ,-26.4 ,70.5
857690 ,97.1 ,95 ,91.8 ,80.6 ,25.0,-154.0 ,-26.5 ,70.4
857810 ,96.2 ,95 ,91.8 ,81.6 ,23.6,-153.8 ,-26.5 ,70.3
857900 ,95.3 ,95 ,92.8 ,81.6 ,23.6,-154.0 ,-26.7 ,70.4
857990 ,97.1 ,95 ,91.8 ,80.6 ,25.0,-154.1 ,-26.6 ,70.3
858110 ,97.1 ,95 ,91.8 ,80.6 ,23.6,-153.9 ,-26.7 ,70.2
