TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
449090 ,93.2 ,96 ,94.1 ,76.4 ,84.3,-172.6 ,-19.7 ,24.5
449210 ,94.1 ,96 ,94.1 ,77.3 ,82.8,-172.1 ,-20.4 ,24.6
449300 ,92.2 ,96 ,94.1 ,76.4 ,82.8,-172.1 ,-21.1 ,24.7
449390 ,94.1 ,96 ,93.1 ,77.3 ,82.8,-172.1 ,-21.8 ,24.3
449510 ,94.1 ,97 ,94.1 ,77.3 ,82.8,-172.1 ,-22.5 ,24.0
449600 ,94.1 ,96 ,93.1 ,76.4 ,82.8,-172.4 ,-22.8 ,24.4
449690 ,93.2 ,96 ,94.1 ,76.4 ,82.8,-172.3 ,-22.5 ,24.6
449810 ,94.1 ,96 ,94.1 ,77.3 ,82.8,-171.8 ,-21.7 ,24.7
449900 ,93.2 ,96 ,94.1 ,76.4 ,81.2,-171.8 ,-21.0 ,25.1
449990 ,93.2 ,96 ,94.1 ,77.3 ,84.3,-171.9 ,-20.6 ,25.3
450110 ,94.1 ,96 ,93.1 ,77.3 ,81.2,-172.0 ,-20.8 ,25.3
450200 ,93.2 ,96 ,94.1 ,76.4 ,81.2,-172.3 ,-21.1 ,25.1
450290 ,93.2 ,96 ,94.1 ,77.3 ,82.8,-172.3 ,-21.3 ,25.1
450410 ,93.2 ,96 ,93.1 ,76.4 ,81.2,-172.2 ,-21.5 ,25.1
450500 ,93.2 ,96 ,94.1 ,76.4 ,81.2,-172.3 ,-21.6 ,25.2
450590 ,93.2 ,96 ,94.1 ,77.3 ,81.2,-172.3 ,-21.7 ,25.1
450710 ,93.2 ,96 ,94.1 ,76.4 ,81.2,-172.4 ,-22.0 ,25.1
450800 ,93.2 ,96 ,94.1 ,77.3 ,82.8,-172.4 ,-22.2 ,25.0
450890 ,92.2 ,96 ,94.1 ,77.3 ,81.2,-172.3 ,-22.3 ,24.9
451010 ,93.2 ,96 ,94.1 ,77.3 ,82.8,-172.3 ,-22.2 ,25.1
