TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
491550 ,96.1 ,91 ,11.7 ,75.4 ,56.2,179.4 ,-28.4 ,27.0
491670 ,96.1 ,90 ,11.7 ,75.4 ,57.8,179.6 ,-28.1 ,26.9
491760 ,96.1 ,90 ,11.7 ,75.4 ,56.2,179.7 ,-27.9 ,26.9
491850 ,96.1 ,90 ,11.7 ,75.4 ,57.8,179.7 ,-27.7 ,27.0
491970 ,96.1 ,91 ,11.7 ,75.4 ,57.8,179.9 ,-27.5 ,26.9
492060 ,96.1 ,90 ,11.7 ,75.4 ,57.8,-179.9 ,-27.4 ,26.8
492150 ,96.1 ,91 ,10.7 ,76.4 ,56.2,-179.8 ,-27.3 ,26.7
492270 ,96.1 ,90 ,11.7 ,75.4 ,57.8,-179.7 ,-27.0 ,26.7
492360 ,96.1 ,91 ,10.7 ,75.4 ,57.8,-179.6 ,-27.0 ,26.6
492450 ,95.1 ,90 ,11.7 ,75.4 ,57.8,-179.6 ,-27.1 ,26.6
492570 ,96.1 ,90 ,11.7 ,75.4 ,57.8,-179.7 ,-27.2 ,26.6
492660 ,96.1 ,90 ,11.7 ,76.4 ,57.8,-179.7 ,-27.1 ,26.6
492750 ,95.1 ,90 ,11.7 ,74.5 ,57.8,-179.8 ,-27.2 ,26.6
492870 ,96.1 ,90 ,10.7 ,75.4 ,56.2,-179.8 ,-27.2 ,26.6
492960 ,96.1 ,90 ,11.7 ,76.4 ,57.8,-179.8 ,-27.2 ,26.6
493050 ,96.1 ,90 ,10.7 ,74.5 ,56.2,-179.8 ,-27.1 ,26.8
493170 ,96.1 ,90 ,11.7 ,75.4 ,57.8,-179.7 ,-26.9 ,26.7
493260 ,95.1 ,90 ,11.7 ,75.4 ,57.8,-179.6 ,-26.8 ,26.8
493350 ,95.1 ,90 ,11.7 ,75.4 ,56.2,-179.7 ,-26.9 ,26.7
493470 ,96.1 ,90 ,11.7 ,75.4 ,57.8,-179.4 ,-26.8 ,26.4
493560 ,95.1 ,90 ,11.7 ,74.5 ,57.8,-179.2 ,-27.0 ,26.0
493650 ,96.1 ,90 ,11.7 ,75.4 ,57.8,-179.3 ,-27.0 ,26.0
493770 ,96.1 ,91 ,11.7 ,75.4 ,57.8,-179.6 ,-27.2 ,26.0
493860 ,96.1 ,90 ,10.7 ,75.4 ,56.2,180.0 ,-27.2 ,26.2
493950 ,95.1 ,91 ,11.7 ,75.4 ,57.8,179.6 ,-27.3 ,26.3
494070 ,96.1 ,90 ,11.7 ,75.4 ,57.8,179.2 ,-27.1 ,26.6
494160 ,96.1 ,90 ,10.7 ,75.4 ,57.8,179.1 ,-26.9 ,26.8
494250 ,96.1 ,90 ,11.7 ,76.4 ,57.8,179.0 ,-26.9 ,26.7
