TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
79260 ,97.7 ,98 ,98.1 ,90.0 ,89.4,-124.4 ,10.0 ,-50.9
79380 ,97.7 ,98 ,98.1 ,90.9 ,89.4,-124.6 ,9.8 ,-51.0
79470 ,98.4 ,99 ,98.1 ,90.9 ,89.4,-124.7 ,9.7 ,-51.1
79560 ,97.7 ,99 ,98.1 ,90.0 ,89.4,-124.7 ,9.7 ,-51.1
79680 ,98.4 ,99 ,98.1 ,90.0 ,88.1,-124.6 ,9.9 ,-51.0
79770 ,98.4 ,98 ,97.1 ,90.9 ,89.4,-124.6 ,9.9 ,-51.0
79860 ,97.7 ,98 ,98.1 ,90.0 ,89.4,-124.6 ,9.9 ,-51.0
79980 ,97.7 ,99 ,98.1 ,90.9 ,88.1,-124.6 ,10.0 ,-50.9
80070 ,97.7 ,98 ,98.1 ,90.0 ,88.1,-124.5 ,10.2 ,-50.9
80160 ,97.7 ,99 ,98.1 ,90.0 ,88.1,-124.5 ,10.3 ,-50.8
80280 ,97.7 ,99 ,98.1 ,90.9 ,89.4,-124.4 ,10.4 ,-50.7
80370 ,97.7 ,98 ,98.1 ,90.0 ,89.4,-124.4 ,10.5 ,-50.7
80460 ,98.4 ,98 ,97.1 ,90.0 ,89.4,-124.3 ,10.5 ,-50.7
80580 ,98.4 ,99 ,98.1 ,90.9 ,89.4,-124.2 ,10.7 ,-50.6
80670 ,98.4 ,98 ,98.1 ,90.0 ,89.4,-124.1 ,10.8 ,-50.5
80760 ,97.7 ,99 ,98.1 ,90.0 ,89.4,-124.2 ,10.8 ,-50.5
80880 ,98.4 ,98 ,98.1 ,90.9 ,89.4,-124.0 ,10.8 ,-50.5
80970 ,97.7 ,98 ,98.1 ,90.9 ,88.1,-124.0 ,10.8 ,-50.4
81060 ,97.7 ,98 ,99.0 ,90.0 ,89.4,-124.0 ,10.9 ,-50.5
81180 ,97.7 ,98 ,98.1 ,90.0 ,88.1,-123.9 ,10.9 ,-50.5
81270 ,98.4 ,99 ,98.1 ,90.0 ,88.1,-123.8 ,11.0 ,-50.6
81360 ,97.7 ,98 ,97.1 ,90.9 ,88.1,-123.9 ,11.0 ,-50.7
81480 ,97.7 ,98 ,98.1 ,90.0 ,88.1,-124.0 ,11.0 ,-50.8
81570 ,97.7 ,98 ,98.1 ,90.9 ,89.4,-124.0 ,10.9 ,-50.8
81660 ,97.7 ,98 ,97.1 ,90.0 ,89.4,-124.1 ,10.8 ,-50.8
81780 ,97.7 ,98 ,98.1 ,90.0 ,88.1,-124.1 ,10.8 ,-50.8
81870 ,98.4 ,98 ,97.1 ,90.0 ,89.4,-124.0 ,10.9 ,-50.7
81960 ,97.7 ,98 ,97.1 ,90.0 ,88.1,-124.0 ,11.0 ,-50.7
82080 ,97.7 ,98 ,98.1 ,90.0 ,88.1,-124.0 ,10.9 ,-50.7
82170 ,98.4 ,98 ,98.1 ,90.0 ,89.4,-124.1 ,10.9 ,-50.7
82260 ,97.7 ,98 ,98.1 ,90.0 ,88.1,-124.1 ,10.9 ,-50.8
82380 ,98.4 ,98 ,98.1 ,90.0 ,88.1,-124.2 ,10.8 ,-51.0
82470 ,98.4 ,98 ,98.1 ,90.0 ,88.1,-124.2 ,10.9 ,-51.0
82560 ,97.7 ,99 ,97.1 ,90.9 ,88.1,-124.3 ,10.8 ,-51.0
82680 ,98.4 ,99 ,98.1 ,90.0 ,88.1,-124.3 ,10.8 ,-51.0
82770 ,97.7 ,98 ,98.1 ,90.0 ,88.1,-124.3 ,10.8 ,-51.0
82860 ,97.7 ,99 ,98.1 ,90.0 ,89.4,-124.4 ,10.8 ,-51.0
82980 ,98.4 ,98 ,97.1 ,90.9 ,89.4,-124.4 ,10.9 ,-51.0
