TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
117710 ,93.8 ,95 ,1.8 ,85.4 ,71.0,-129.9 ,22.5 ,-68.6
117830 ,93.8 ,95 ,0.9 ,85.4 ,71.0,-129.9 ,22.6 ,-68.7
117920 ,94.6 ,95 ,0.9 ,85.4 ,71.0,-129.9 ,22.6 ,-68.6
118010 ,94.6 ,95 ,0.9 ,85.4 ,72.3,-129.9 ,22.7 ,-68.5
118130 ,94.6 ,95 ,0.9 ,85.4 ,71.0,-129.9 ,22.9 ,-68.6
118220 ,93.8 ,95 ,0.9 ,85.4 ,71.0,-130.0 ,22.9 ,-68.8
118310 ,94.6 ,95 ,0.9 ,85.4 ,71.0,-130.0 ,22.9 ,-68.8
118430 ,94.6 ,95 ,0.9 ,85.4 ,71.0,-129.9 ,22.9 ,-68.8
118520 ,94.6 ,95 ,0.9 ,85.4 ,71.0,-129.8 ,23.0 ,-68.7
118610 ,94.6 ,95 ,0.9 ,86.3 ,71.0,-129.6 ,23.3 ,-68.7
118730 ,94.6 ,95 ,0.9 ,85.4 ,69.7,-129.7 ,23.6 ,-69.0
118820 ,94.6 ,95 ,0.0 ,85.4 ,69.7,-129.8 ,23.8 ,-69.1
118910 ,94.6 ,95 ,0.9 ,85.4 ,69.7,-129.9 ,23.9 ,-69.4
119030 ,94.6 ,95 ,0.9 ,85.4 ,68.4,-129.8 ,24.0 ,-69.6
119120 ,94.6 ,95 ,0.9 ,85.4 ,69.7,-130.0 ,24.1 ,-69.8
119210 ,94.6 ,95 ,0.9 ,85.4 ,69.7,-130.0 ,24.3 ,-70.0
119330 ,93.8 ,95 ,0.9 ,85.4 ,69.7,-130.0 ,24.3 ,-70.2
119420 ,93.8 ,95 ,0.9 ,85.4 ,69.7,-130.1 ,24.3 ,-70.4
119510 ,93.8 ,95 ,0.9 ,85.4 ,69.7,-130.1 ,24.3 ,-70.6
119630 ,93.8 ,95 ,0.9 ,85.4 ,68.4,-130.3 ,24.4 ,-70.9
119720 ,93.8 ,95 ,0.9 ,86.3 ,71.0,-130.3 ,24.4 ,-70.9
119810 ,93.8 ,95 ,0.9 ,85.4 ,68.4,-130.4 ,24.3 ,-70.9
119930 ,94.6 ,95 ,0.0 ,85.4 ,69.7,-130.7 ,24.3 ,-71.1
120020 ,94.6 ,95 ,0.9 ,85.4 ,71.0,-130.8 ,24.1 ,-71.2
120110 ,93.8 ,95 ,0.9 ,85.4 ,69.7,-131.0 ,24.1 ,-71.2
120230 ,94.6 ,95 ,0.0 ,85.4 ,69.7,-131.1 ,24.0 ,-71.2
120320 ,94.6 ,95 ,0.9 ,85.4 ,69.7,-131.1 ,24.0 ,-71.3
120410 ,93.8 ,95 ,0.9 ,84.5 ,69.7,-131.1 ,24.0 ,-71.4
120530 ,93.8 ,95 ,0.9 ,85.4 ,69.7,-131.3 ,24.0 ,-71.7
120620 ,93.8 ,95 ,0.9 ,84.5 ,69.7,-131.2 ,24.0 ,-71.7
120710 ,93.8 ,95 ,0.0 ,84.5 ,69.7,-131.2 ,24.1 ,-71.8
120830 ,94.6 ,95 ,0.9 ,85.4 ,69.7,-131.1 ,24.1 ,-72.1
120920 ,93.8 ,95 ,0.0 ,85.4 ,69.7,-131.6 ,23.9 ,-72.6
121010 ,93.8 ,95 ,0.9 ,85.4 ,68.4,-131.5 ,24.1 ,-72.7
121130 ,93.8 ,95 ,0.9 ,85.4 ,68.4,-131.2 ,24.0 ,-72.9
121220 ,94.6 ,95 ,0.0 ,84.5 ,68.4,-130.8 ,24.0 ,-72.9
121310 ,93.8 ,95 ,0.9 ,85.4 ,71.0,-130.9 ,24.9 ,-73.7
121430 ,93.8 ,95 ,0.0 ,85.4 ,69.7,-130.9 ,24.2 ,-73.6
121520 ,94.6 ,95 ,0.9 ,85.4 ,69.7,-130.8 ,25.2 ,-74.1
121610 ,93.8 ,95 ,0.9 ,85.4 ,69.7,-131.0 ,24.5 ,-74.1
121730 ,93.8 ,94 ,0.0 ,84.5 ,69.7,-130.7 ,25.0 ,-74.0
121820 ,93.8 ,95 ,0.9 ,85.4 ,71.0,-130.7 ,25.0 ,-73.9
121910 ,93.8 ,95 ,0.9 ,85.4 ,69.7,-131.0 ,24.7 ,-74.0
122030 ,94.6 ,95 ,0.0 ,84.5 ,69.7,-131.2 ,24.8 ,-74.1
122120 ,94.6 ,95 ,0.9 ,85.4 ,69.7,-131.1 ,24.7 ,-73.9
122210 ,94.6 ,95 ,0.9 ,85.4 ,68.4,-131.0 ,24.9 ,-73.9
122330 ,93.8 ,95 ,0.0 ,85.4 ,68.4,-131.3 ,24.9 ,-74.7
122420 ,94.6 ,95 ,0.0 ,84.5 ,69.7,-131.7 ,24.5 ,-75.5
122510 ,94.6 ,95 ,0.9 ,85.4 ,68.4,-132.2 ,24.1 ,-76.5
122600 ,94.6 ,95 ,1.8 ,85.4 ,69.7,-132.9 ,23.1 ,-77.9
122720 ,94.6 ,95 ,1.8 ,85.4 ,69.7,-133.4 ,22.0 ,-79.6
122810 ,94.6 ,95 ,1.8 ,85.4 ,68.4,-134.1 ,21.5 ,-80.8
122900 ,93.8 ,95 ,1.8 ,85.4 ,69.7,-134.7 ,21.2 ,-81.5
123020 ,93.8 ,95 ,0.9 ,83.6 ,68.4,-134.2 ,21.2 ,-81.5
123110 ,94.6 ,95 ,1.8 ,85.4 ,69.7,-134.0 ,21.8 ,-81.2
123200 ,93.8 ,95 ,1.8 ,84.5 ,69.7,-134.1 ,21.8 ,-81.1
123320 ,93.8 ,95 ,0.9 ,84.5 ,69.7,-133.7 ,22.1 ,-80.3
123410 ,93.8 ,95 ,0.9 ,85.4 ,69.7,-133.5 ,22.4 ,-80.0
123500 ,94.6 ,95 ,1.8 ,84.5 ,69.7,-133.6 ,22.8 ,-79.7
