TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
164390 ,4.5 ,96 ,97.2 ,88.1 ,86.8,-90.3 ,-5.2 ,-97.5
164510 ,4.5 ,97 ,97.2 ,88.1 ,86.8,-90.1 ,-5.5 ,-97.6
164600 ,3.8 ,96 ,97.2 ,87.2 ,85.5,-90.1 ,-5.7 ,-97.7
164690 ,4.5 ,96 ,97.2 ,88.1 ,86.8,-89.9 ,-5.9 ,-97.8
164810 ,4.5 ,96 ,97.2 ,88.1 ,86.8,-89.8 ,-6.1 ,-97.8
164900 ,4.5 ,96 ,97.2 ,87.2 ,86.8,-89.7 ,-6.0 ,-97.8
164990 ,4.5 ,96 ,96.3 ,88.1 ,86.8,-89.5 ,-5.8 ,-98.0
165110 ,4.5 ,96 ,96.3 ,87.2 ,85.5,-89.4 ,-5.8 ,-98.4
165200 ,4.5 ,96 ,97.2 ,87.2 ,86.8,-89.2 ,-5.8 ,-98.6
165290 ,4.5 ,96 ,96.3 ,88.1 ,86.8,-89.0 ,-5.8 ,-98.8
165410 ,4.5 ,96 ,96.3 ,87.2 ,85.5,-89.0 ,-5.7 ,-99.0
165500 ,4.5 ,96 ,96.3 ,88.1 ,86.8,-88.8 ,-5.8 ,-99.2
165590 ,3.8 ,96 ,96.3 ,87.2 ,85.5,-88.7 ,-5.8 ,-99.4
165710 ,4.5 ,95 ,97.2 ,87.2 ,85.5,-88.5 ,-6.0 ,-99.7
165800 ,3.8 ,96 ,96.3 ,87.2 ,85.5,-88.4 ,-6.1 ,-99.8
165890 ,3.8 ,95 ,96.3 ,87.2 ,85.5,-88.2 ,-6.2 ,-100.1
166010 ,4.5 ,96 ,97.2 ,87.2 ,85.5,-88.2 ,-6.5 ,-100.3
166100 ,3.0 ,96 ,97.2 ,88.1 ,85.5,-88.0 ,-6.6 ,-100.4
166190 ,4.5 ,96 ,96.3 ,87.2 ,84.2,-88.0 ,-6.6 ,-100.5
166310 ,4.5 ,96 ,97.2 ,88.1 ,85.5,-87.8 ,-6.9 ,-100.6
166400 ,4.5 ,96 ,97.2 ,88.1 ,85.5,-87.6 ,-7.1 ,-100.7
166490 ,4.5 ,96 ,96.3 ,88.1 ,85.5,-87.5 ,-7.2 ,-101.0
166610 ,4.5 ,96 ,96.3 ,88.1 ,85.5,-87.6 ,-7.6 ,-101.0
166700 ,4.5 ,95 ,96.3 ,87.2 ,85.5,-87.2 ,-7.2 ,-100.6
166790 ,4.5 ,96 ,97.2 ,88.1 ,85.5,-87.3 ,-7.6 ,-100.8
166910 ,4.5 ,95 ,96.3 ,88.1 ,85.5,-86.6 ,-7.7 ,-100.7
167000 ,3.8 ,95 ,96.3 ,87.2 ,85.5,-86.5 ,-7.9 ,-100.8
167090 ,4.5 ,96 ,96.3 ,88.1 ,86.8,-86.5 ,-8.1 ,-101.0
167210 ,4.5 ,96 ,97.2 ,88.1 ,85.5,-86.3 ,-8.7 ,-101.3
167300 ,3.8 ,95 ,96.3 ,88.1 ,84.2,-86.5 ,-8.6 ,-101.5
167390 ,3.8 ,96 ,97.2 ,87.2 ,85.5,-86.3 ,-8.5 ,-101.7
167510 ,3.8 ,95 ,96.3 ,87.2 ,85.5,-86.5 ,-7.9 ,-101.9
167600 ,4.5 ,95 ,97.2 ,87.2 ,84.2,-86.0 ,-8.2 ,-101.8
167690 ,4.5 ,96 ,97.2 ,88.1 ,84.2,-85.5 ,-7.9 ,-101.8
167810 ,4.5 ,95 ,95.4 ,87.2 ,85.5,-84.7 ,-8.4 ,-102.4
167900 ,4.5 ,96 ,96.3 ,87.2 ,84.2,-84.6 ,-8.0 ,-102.7
167990 ,4.5 ,95 ,96.3 ,87.2 ,82.8,-84.5 ,-7.8 ,-103.0
168110 ,4.5 ,95 ,96.3 ,87.2 ,84.2,-84.3 ,-8.3 ,-103.1
168200 ,3.8 ,96 ,97.2 ,88.1 ,85.5,-84.1 ,-8.7 ,-103.0
168290 ,3.8 ,95 ,95.4 ,88.1 ,84.2,-84.0 ,-9.0 ,-102.9
168410 ,4.5 ,95 ,96.3 ,88.1 ,85.5,-83.8 ,-9.1 ,-102.9
168500 ,4.5 ,96 ,96.3 ,88.1 ,85.5,-83.8 ,-9.3 ,-103.1
168590 ,3.8 ,96 ,96.3 ,87.2 ,84.2,-83.8 ,-9.6 ,-103.1
168710 ,3.8 ,95 ,96.3 ,88.1 ,84.2,-83.9 ,-9.9 ,-103.0
168800 ,3.8 ,95 ,96.3 ,87.2 ,84.2,-83.8 ,-9.9 ,-103.2
168890 ,4.5 ,96 ,96.3 ,88.1 ,84.2,-83.7 ,-10.0 ,-103.4
169010 ,4.5 ,96 ,95.4 ,88.1 ,85.5,-83.4 ,-10.3 ,-103.6
