TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
264690 ,95.2 ,98 ,96.8 ,84.3 ,97.5,-54.6 ,31.4 ,61.8
264810 ,96.0 ,98 ,96.8 ,84.3 ,96.2,-54.6 ,31.3 ,61.8
264900 ,95.2 ,98 ,97.8 ,85.4 ,96.2,-54.6 ,31.3 ,61.8
264990 ,95.2 ,98 ,96.8 ,84.3 ,96.2,-54.5 ,31.3 ,61.9
265110 ,95.2 ,98 ,96.8 ,84.3 ,96.2,-54.5 ,31.2 ,61.9
265200 ,95.2 ,98 ,96.8 ,84.3 ,97.5,-54.5 ,31.2 ,61.9
265290 ,95.2 ,98 ,95.7 ,84.3 ,97.5,-54.5 ,31.2 ,61.9
265410 ,95.2 ,98 ,96.8 ,83.3 ,96.2,-54.5 ,31.2 ,62.0
265500 ,96.0 ,98 ,96.8 ,84.3 ,96.2,-54.5 ,31.2 ,61.9
265590 ,95.2 ,98 ,97.8 ,84.3 ,97.5,-54.5 ,31.2 ,61.9
265710 ,95.2 ,98 ,96.8 ,84.3 ,97.5,-54.4 ,31.2 ,62.0
265800 ,94.4 ,98 ,96.8 ,84.3 ,96.2,-54.5 ,31.1 ,61.9
265890 ,95.2 ,98 ,96.8 ,84.3 ,96.2,-54.5 ,31.0 ,62.0
266010 ,95.2 ,98 ,96.8 ,84.3 ,96.2,-54.5 ,31.0 ,62.0
266100 ,95.2 ,98 ,96.8 ,83.3 ,96.2,-54.5 ,31.0 ,62.0
266190 ,95.2 ,98 ,96.8 ,84.3 ,96.2,-54.5 ,30.9 ,62.0
266310 ,95.2 ,98 ,97.8 ,84.3 ,95.0,-54.5 ,30.9 ,62.0
266400 ,95.2 ,98 ,96.8 ,84.3 ,96.2,-54.5 ,30.9 ,62.0
266520 ,95.2 ,98 ,96.8 ,84.3 ,96.2,-54.4 ,30.8 ,62.0
266610 ,95.2 ,98 ,96.8 ,85.4 ,96.2,-54.5 ,30.9 ,62.0
266700 ,95.2 ,98 ,96.8 ,83.3 ,97.5,-54.5 ,30.9 ,62.0
266820 ,95.2 ,98 ,96.8 ,84.3 ,97.5,-54.5 ,30.9 ,62.0
266910 ,94.4 ,98 ,96.8 ,84.3 ,96.2,-54.5 ,30.9 ,62.0
267030 ,96.0 ,98 ,95.7 ,84.3 ,96.2,-53.9 ,31.0 ,62.2
267120 ,95.2 ,98 ,97.8 ,84.3 ,95.0,-54.0 ,31.0 ,62.1
267210 ,95.2 ,98 ,96.8 ,84.3 ,96.2,-53.9 ,31.0 ,62.2
267330 ,96.0 ,98 ,96.8 ,83.3 ,96.2,-53.9 ,31.0 ,62.2
267420 ,96.0 ,98 ,96.8 ,83.3 ,96.2,-53.9 ,31.0 ,62.2
267510 ,95.2 ,98 ,97.8 ,84.3 ,96.2,-54.0 ,31.0 ,62.1
267630 ,96.0 ,98 ,96.8 ,84.3 ,95.0,-53.9 ,31.1 ,62.2
267720 ,95.2 ,98 ,96.8 ,84.3 ,96.2,-53.9 ,31.1 ,62.2
267810 ,94.4 ,98 ,96.8 ,84.3 ,96.2,-54.0 ,31.1 ,62.2
267930 ,94.4 ,98 ,97.8 ,84.3 ,97.5,-53.9 ,31.1 ,62.2
268020 ,94.4 ,98 ,97.8 ,84.3 ,96.2,-53.9 ,31.1 ,62.2
268140 ,95.2 ,98 ,96.8 ,84.3 ,96.2,-53.9 ,31.1 ,62.2
268230 ,95.2 ,98 ,96.8 ,84.3 ,96.2,-53.9 ,31.0 ,62.2
268320 ,95.2 ,98 ,96.8 ,84.3 ,96.2,-53.9 ,31.0 ,62.2
268440 ,94.4 ,98 ,96.8 ,84.3 ,96.2,-53.9 ,30.9 ,62.2
268530 ,95.2 ,98 ,96.8 ,84.3 ,97.5,-53.9 ,30.8 ,62.2
268620 ,95.2 ,98 ,96.8 ,84.3 ,96.2,-53.9 ,30.9 ,62.2
268740 ,95.2 ,98 ,96.8 ,84.3 ,96.2,-53.9 ,30.8 ,62.2
268830 ,94.4 ,98 ,96.8 ,84.3 ,96.2,-53.9 ,30.8 ,62.3
268950 ,95.2 ,98 ,96.8 ,83.3 ,96.2,-53.9 ,30.8 ,62.2
269040 ,95.2 ,98 ,96.8 ,84.3 ,96.2,-53.9 ,30.8 ,62.3
269160 ,94.4 ,98 ,96.8 ,83.3 ,96.2,-53.9 ,30.8 ,62.3
269250 ,94.4 ,98 ,96.8 ,84.3 ,97.5,-53.9 ,30.8 ,62.2
269370 ,94.4 ,98 ,96.8 ,83.3 ,96.2,-53.9 ,30.7 ,62.2
269460 ,94.4 ,98 ,96.8 ,83.3 ,96.2,-53.9 ,30.7 ,62.3
269550 ,94.4 ,97 ,96.8 ,84.3 ,97.5,-53.8 ,30.8 ,62.3
269670 ,94.4 ,98 ,96.8 ,83.3 ,96.2,-53.9 ,30.8 ,62.3
269760 ,94.4 ,98 ,96.8 ,84.3 ,96.2,-53.9 ,30.8 ,62.3
269850 ,94.4 ,98 ,96.8 ,83.3 ,96.2,-53.9 ,30.8 ,62.3
269970 ,94.4 ,98 ,96.8 ,84.3 ,95.0,-53.9 ,30.8 ,62.2
270060 ,95.2 ,98 ,95.7 ,83.3 ,96.2,-53.9 ,30.8 ,62.3
270150 ,95.2 ,98 ,95.7 ,83.3 ,95.0,-53.9 ,30.8 ,62.2
270270 ,95.2 ,98 ,95.7 ,84.3 ,96.2,-53.9 ,30.8 ,62.2
270360 ,95.2 ,98 ,97.8 ,84.3 ,95.0,-53.9 ,30.8 ,62.2
270450 ,95.2 ,98 ,95.7 ,83.3 ,96.2,-53.9 ,30.8 ,62.3
270570 ,94.4 ,98 ,96.8 ,83.3 ,96.2,-53.9 ,30.8 ,62.2
270660 ,94.4 ,98 ,96.8 ,84.3 ,96.2,-53.9 ,30.8 ,62.2
270750 ,95.2 ,98 ,96.8 ,84.3 ,96.2,-53.9 ,30.8 ,62.2
270870 ,94.4 ,97 ,96.8 ,84.3 ,96.2,-53.9 ,30.8 ,62.2
270960 ,95.2 ,98 ,96.8 ,84.3 ,95.0,-53.9 ,30.8 ,62.2
271050 ,95.2 ,98 ,96.8 ,84.3 ,95.0,-53.9 ,30.8 ,62.3
271170 ,95.2 ,98 ,95.7 ,84.3 ,96.2,-53.9 ,30.8 ,62.3
271260 ,95.2 ,98 ,96.8 ,83.3 ,96.2,-53.9 ,30.7 ,62.2
271350 ,95.2 ,98 ,96.8 ,84.3 ,96.2,-53.9 ,30.7 ,62.3
271470 ,95.2 ,98 ,95.7 ,83.3 ,96.2,-53.9 ,30.7 ,62.2
271560 ,94.4 ,98 ,96.8 ,83.3 ,96.2,-53.9 ,30.7 ,62.3
271650 ,95.2 ,98 ,95.7 ,83.3 ,96.2,-53.9 ,30.7 ,62.3
271770 ,95.2 ,98 ,96.8 ,84.3 ,95.0,-53.9 ,30.7 ,62.3
271860 ,94.4 ,98 ,96.8 ,83.3 ,95.0,-53.9 ,30.7 ,62.2
271950 ,95.2 ,98 ,95.7 ,84.3 ,96.2,-53.9 ,30.7 ,62.2
272070 ,95.2 ,98 ,96.8 ,84.3 ,95.0,-53.9 ,30.7 ,62.2
272160 ,95.2 ,98 ,96.8 ,83.3 ,95.0,-53.9 ,30.7 ,62.2
272280 ,94.4 ,97 ,96.8 ,84.3 ,96.2,-53.9 ,30.7 ,62.3
272370 ,94.4 ,98 ,96.8 ,83.3 ,96.2,-53.9 ,30.7 ,62.3
272460 ,95.2 ,98 ,95.7 ,83.3 ,96.2,-53.9 ,30.7 ,62.3
272580 ,95.2 ,98 ,95.7 ,83.3 ,96.2,-53.9 ,30.6 ,62.2
272670 ,95.2 ,98 ,96.8 ,84.3 ,96.2,-53.9 ,30.6 ,62.3
272760 ,95.2 ,98 ,95.7 ,83.3 ,96.2,-53.9 ,30.6 ,62.3
272880 ,95.2 ,98 ,96.8 ,84.3 ,96.2,-53.9 ,30.6 ,62.2
272970 ,94.4 ,98 ,96.8 ,84.3 ,96.2,-53.9 ,30.7 ,62.3
273090 ,95.2 ,98 ,96.8 ,84.3 ,96.2,-53.8 ,30.7 ,62.3
273180 ,95.2 ,98 ,96.8 ,84.3 ,96.2,-53.9 ,30.6 ,62.3
273270 ,94.4 ,97 ,96.8 ,84.3 ,96.2,-53.9 ,30.6 ,62.3
273390 ,95.2 ,98 ,95.7 ,83.3 ,96.2,-53.9 ,30.6 ,62.3
273480 ,95.2 ,98 ,95.7 ,83.3 ,96.2,-53.9 ,30.6 ,62.3
273570 ,95.2 ,98 ,96.8 ,83.3 ,95.0,-53.9 ,30.6 ,62.3
273690 ,95.2 ,98 ,95.7 ,83.3 ,96.2,-53.9 ,30.5 ,62.2
273780 ,94.4 ,97 ,96.8 ,84.3 ,96.2,-54.0 ,30.4 ,62.1
273870 ,94.4 ,98 ,96.8 ,84.3 ,96.2,-54.0 ,30.5 ,62.1
273990 ,95.2 ,98 ,96.8 ,84.3 ,95.0,-54.1 ,30.5 ,62.1
274080 ,95.2 ,98 ,96.8 ,84.3 ,95.0,-54.1 ,30.4 ,62.1
274170 ,95.2 ,98 ,96.8 ,84.3 ,95.0,-54.1 ,30.4 ,62.0
274290 ,94.4 ,98 ,95.7 ,83.3 ,95.0,-54.1 ,30.4 ,62.0
274380 ,94.4 ,98 ,96.8 ,83.3 ,96.2,-54.1 ,30.4 ,62.0
