TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
315660 ,92.8 ,89 ,0.0 ,83.3 ,95.0,-29.7 ,39.9 ,53.6
315780 ,92.8 ,89 ,1.0 ,84.3 ,95.0,-29.7 ,39.9 ,53.6
315870 ,92.8 ,89 ,1.0 ,84.3 ,95.0,-29.8 ,39.8 ,53.6
315960 ,92.0 ,89 ,0.0 ,83.3 ,93.8,-29.9 ,39.6 ,53.6
316080 ,92.8 ,89 ,0.0 ,84.3 ,95.0,-30.6 ,39.3 ,53.5
316170 ,92.8 ,89 ,1.0 ,84.3 ,95.0,-30.5 ,39.3 ,53.6
316260 ,92.8 ,89 ,1.0 ,84.3 ,93.8,-30.6 ,39.1 ,53.5
316380 ,92.8 ,89 ,0.0 ,83.3 ,95.0,-30.7 ,39.3 ,53.5
316470 ,92.0 ,89 ,1.0 ,84.3 ,95.0,-30.6 ,39.3 ,53.5
316560 ,92.8 ,89 ,0.0 ,83.3 ,93.8,-30.7 ,39.2 ,53.5
316680 ,92.8 ,89 ,1.0 ,83.3 ,93.8,-30.7 ,39.2 ,53.6
316770 ,93.6 ,89 ,0.0 ,84.3 ,95.0,-30.7 ,39.2 ,53.6
316860 ,93.6 ,89 ,1.0 ,83.3 ,93.8,-30.7 ,39.1 ,53.6
316980 ,92.8 ,89 ,0.0 ,83.3 ,95.0,-30.7 ,38.9 ,53.6
317070 ,93.6 ,89 ,0.0 ,83.3 ,93.8,-30.6 ,38.9 ,53.7
317160 ,92.8 ,89 ,1.0 ,83.3 ,93.8,-30.6 ,38.8 ,53.7
317280 ,93.6 ,89 ,1.0 ,83.3 ,95.0,-30.7 ,38.9 ,53.7
317370 ,93.6 ,89 ,0.0 ,84.3 ,95.0,-30.6 ,38.9 ,53.7
317460 ,93.6 ,89 ,1.0 ,83.3 ,95.0,-30.7 ,39.0 ,53.7
317580 ,93.6 ,89 ,1.0 ,83.3 ,93.8,-30.7 ,38.7 ,53.7
317670 ,93.6 ,89 ,0.0 ,83.3 ,93.8,-30.7 ,38.7 ,53.6
317760 ,93.6 ,89 ,1.0 ,84.3 ,95.0,-30.7 ,38.7 ,53.6
317880 ,93.6 ,89 ,1.0 ,84.3 ,93.8,-30.7 ,38.6 ,53.6
317970 ,93.6 ,89 ,1.0 ,83.3 ,95.0,-30.7 ,38.5 ,53.6
318090 ,92.8 ,89 ,1.0 ,84.3 ,93.8,-30.6 ,38.4 ,53.7
318180 ,93.6 ,89 ,1.0 ,83.3 ,95.0,-30.6 ,38.3 ,53.6
318270 ,93.6 ,89 ,1.0 ,83.3 ,93.8,-30.7 ,38.1 ,53.6
318390 ,94.4 ,89 ,0.0 ,83.3 ,95.0,-30.7 ,38.2 ,53.5
318480 ,93.6 ,89 ,1.0 ,83.3 ,95.0,-30.7 ,38.1 ,53.6
318570 ,93.6 ,89 ,1.0 ,83.3 ,93.8,-30.8 ,38.0 ,53.6
318690 ,93.6 ,88 ,1.0 ,84.3 ,95.0,-30.8 ,37.9 ,53.6
318780 ,93.6 ,89 ,1.0 ,84.3 ,95.0,-31.0 ,37.8 ,53.5
318870 ,92.8 ,89 ,1.0 ,83.3 ,95.0,-31.1 ,37.9 ,53.4
318990 ,92.8 ,88 ,1.0 ,83.3 ,95.0,-31.2 ,37.7 ,53.4
319080 ,93.6 ,89 ,1.0 ,83.3 ,93.8,-31.3 ,37.8 ,53.4
319170 ,93.6 ,89 ,1.0 ,83.3 ,93.8,-31.4 ,37.9 ,53.4
319290 ,93.6 ,89 ,1.0 ,83.3 ,93.8,-31.5 ,37.7 ,53.5
319380 ,93.6 ,89 ,1.0 ,83.3 ,93.8,-31.6 ,37.8 ,53.5
319470 ,94.4 ,89 ,1.0 ,83.3 ,93.8,-31.7 ,37.8 ,53.4
319590 ,94.4 ,89 ,1.0 ,83.3 ,93.8,-31.7 ,37.7 ,53.4
319680 ,93.6 ,89 ,1.0 ,83.3 ,93.8,-31.7 ,37.7 ,53.4
319770 ,93.6 ,88 ,1.0 ,83.3 ,93.8,-31.7 ,37.7 ,53.4
319890 ,93.6 ,89 ,0.0 ,83.3 ,93.8,-31.8 ,37.7 ,53.1
319980 ,93.6 ,89 ,1.0 ,83.3 ,93.8,-31.8 ,38.0 ,53.2
320070 ,92.8 ,89 ,1.0 ,83.3 ,93.8,-31.7 ,38.3 ,53.3
320190 ,93.6 ,88 ,1.0 ,83.3 ,93.8,-31.7 ,38.5 ,53.1
320280 ,92.8 ,88 ,1.0 ,83.3 ,93.8,-31.7 ,38.5 ,53.1
320370 ,92.8 ,89 ,1.0 ,83.3 ,93.8,-31.6 ,38.6 ,53.0
320490 ,93.6 ,89 ,0.0 ,83.3 ,93.8,-31.6 ,38.8 ,52.8
320560 ,92.8 ,89 ,1.0 ,84.3 ,93.8,-31.6 ,38.9 ,52.7
320670 ,92.8 ,89 ,1.0 ,84.3 ,95.0,-31.5 ,38.9 ,52.7
320790 ,92.0 ,89 ,1.0 ,83.3 ,93.8,-31.4 ,39.0 ,52.5
320880 ,92.8 ,89 ,1.0 ,83.3 ,95.0,-31.3 ,38.9 ,52.5
320970 ,93.6 ,89 ,0.0 ,83.3 ,93.8,-31.2 ,39.1 ,52.5
321090 ,93.6 ,89 ,0.0 ,83.3 ,93.8,-31.1 ,39.0 ,52.6
321180 ,92.8 ,89 ,1.0 ,83.3 ,93.8,-31.0 ,38.8 ,52.7
321270 ,93.6 ,89 ,0.0 ,84.3 ,93.8,-31.0 ,38.8 ,52.6
321390 ,93.6 ,89 ,0.0 ,83.3 ,93.8,-31.0 ,39.0 ,52.6
321480 ,93.6 ,88 ,1.0 ,83.3 ,93.8,-31.0 ,39.1 ,52.6
321570 ,93.6 ,89 ,0.0 ,83.3 ,95.0,-30.9 ,39.1 ,52.6
321690 ,93.6 ,89 ,0.0 ,83.3 ,95.0,-30.9 ,39.2 ,52.6
321780 ,92.8 ,89 ,1.0 ,83.3 ,93.8,-30.9 ,38.9 ,52.6
321900 ,92.8 ,88 ,1.0 ,83.3 ,93.8,-30.9 ,38.7 ,52.6
321990 ,93.6 ,89 ,0.0 ,83.3 ,93.8,-31.0 ,38.7 ,52.7
322080 ,92.8 ,88 ,0.0 ,83.3 ,93.8,-31.0 ,38.7 ,52.6
322200 ,92.8 ,88 ,1.0 ,83.3 ,93.8,-31.0 ,38.7 ,52.6
322290 ,93.6 ,89 ,1.0 ,84.3 ,93.8,-30.9 ,38.7 ,52.7
322380 ,93.6 ,89 ,0.0 ,83.3 ,95.0,-30.9 ,38.6 ,52.6
322500 ,93.6 ,89 ,0.0 ,83.3 ,93.8,-30.9 ,38.5 ,52.5
322590 ,93.6 ,88 ,1.0 ,83.3 ,95.0,-31.0 ,38.5 ,52.4
322680 ,93.6 ,89 ,1.0 ,83.3 ,93.8,-30.9 ,38.6 ,52.4
322800 ,92.8 ,89 ,0.0 ,83.3 ,93.8,-30.9 ,38.6 ,52.4
322890 ,92.8 ,89 ,1.0 ,83.3 ,93.8,-31.0 ,38.6 ,52.3
322980 ,93.6 ,89 ,1.0 ,83.3 ,92.5,-30.9 ,38.5 ,52.3
323100 ,93.6 ,89 ,1.0 ,83.3 ,93.8,-31.0 ,38.6 ,52.3
323190 ,93.6 ,89 ,0.0 ,83.3 ,93.8,-30.9 ,39.0 ,52.3
323280 ,93.6 ,88 ,1.0 ,83.3 ,93.8,-30.8 ,39.3 ,52.2
323400 ,93.6 ,89 ,1.0 ,83.3 ,93.8,-30.8 ,39.5 ,52.2
323490 ,92.8 ,89 ,1.0 ,83.3 ,93.8,-30.7 ,39.4 ,52.2
323580 ,93.6 ,89 ,1.0 ,83.3 ,93.8,-30.7 ,39.4 ,52.3
323700 ,93.6 ,89 ,1.0 ,83.3 ,93.8,-30.7 ,39.3 ,52.2
323790 ,93.6 ,89 ,0.0 ,83.3 ,93.8,-30.6 ,39.1 ,52.3
323880 ,92.8 ,88 ,0.0 ,83.3 ,93.8,-30.5 ,38.8 ,52.4
324000 ,93.6 ,89 ,1.0 ,83.3 ,95.0,-30.6 ,38.7 ,52.4
324090 ,92.8 ,89 ,0.0 ,83.3 ,95.0,-30.5 ,38.5 ,52.4
324180 ,93.6 ,88 ,0.0 ,83.3 ,95.0,-30.6 ,38.2 ,52.4
324300 ,93.6 ,88 ,2.1 ,83.3 ,93.8,-30.5 ,38.0 ,52.6
324390 ,92.8 ,89 ,1.0 ,83.3 ,93.8,-30.6 ,38.0 ,52.6
324480 ,93.6 ,88 ,1.0 ,83.3 ,95.0,-30.6 ,38.1 ,52.8
324600 ,93.6 ,89 ,0.0 ,83.3 ,93.8,-30.5 ,38.1 ,53.0
324690 ,93.6 ,89 ,1.0 ,83.3 ,93.8,-30.3 ,37.9 ,52.8
324780 ,94.4 ,89 ,0.0 ,83.3 ,93.8,-30.2 ,37.9 ,52.9
324900 ,93.6 ,89 ,0.0 ,83.3 ,93.8,-30.0 ,37.7 ,53.0
324990 ,93.6 ,89 ,0.0 ,83.3 ,93.8,-30.0 ,37.7 ,53.0
325080 ,93.6 ,89 ,0.0 ,83.3 ,95.0,-29.8 ,37.6 ,53.1
325200 ,93.6 ,89 ,1.0 ,83.3 ,93.8,-29.7 ,37.6 ,53.1
325290 ,93.6 ,88 ,1.0 ,83.3 ,93.8,-29.7 ,37.7 ,53.1
325380 ,93.6 ,88 ,1.0 ,83.3 ,93.8,-29.7 ,37.7 ,53.0
