TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
219550 ,96.5 ,93 ,8.3 ,97.8 ,54.4,-63.2 ,-56.9 ,-21.1
219670 ,95.7 ,93 ,9.3 ,97.8 ,54.4,-66.9 ,-57.8 ,-18.6
219760 ,95.7 ,93 ,8.3 ,97.8 ,54.4,-68.0 ,-57.7 ,-16.7
219850 ,95.7 ,93 ,9.3 ,97.8 ,54.4,-66.7 ,-56.9 ,-17.2
219970 ,96.5 ,93 ,9.3 ,98.9 ,57.3,-66.4 ,-56.3 ,-18.5
220060 ,95.7 ,92 ,9.3 ,97.8 ,57.3,-66.2 ,-56.2 ,-19.5
220150 ,95.7 ,93 ,9.3 ,98.9 ,57.3,-65.8 ,-56.6 ,-20.4
220270 ,95.7 ,94 ,9.3 ,97.8 ,57.3,-66.0 ,-57.6 ,-20.6
220360 ,95.7 ,93 ,9.3 ,97.8 ,57.3,-66.0 ,-57.7 ,-20.8
220450 ,96.5 ,93 ,9.3 ,98.9 ,57.3,-65.8 ,-57.7 ,-20.7
220570 ,95.7 ,93 ,8.3 ,97.8 ,57.3,-66.2 ,-57.8 ,-19.2
220660 ,96.5 ,93 ,9.3 ,97.8 ,55.8,-66.6 ,-57.8 ,-18.3
220750 ,95.7 ,92 ,9.3 ,97.8 ,55.8,-66.6 ,-57.5 ,-17.8
220870 ,95.7 ,93 ,8.3 ,97.8 ,55.8,-65.5 ,-57.0 ,-18.9
220960 ,95.7 ,93 ,7.2 ,97.8 ,55.8,-64.4 ,-56.5 ,-20.2
221050 ,95.7 ,92 ,8.3 ,97.8 ,55.8,-63.4 ,-56.0 ,-21.4
221170 ,95.7 ,93 ,7.2 ,97.8 ,55.8,-61.8 ,-54.9 ,-24.1
221260 ,95.7 ,92 ,8.3 ,97.8 ,57.3,-60.6 ,-54.2 ,-26.1
221350 ,95.7 ,93 ,7.2 ,97.8 ,55.8,-60.4 ,-53.8 ,-26.8
221470 ,95.7 ,93 ,7.2 ,97.8 ,54.4,-62.1 ,-54.4 ,-24.7
221560 ,95.7 ,93 ,7.2 ,97.8 ,55.8,-64.2 ,-54.9 ,-21.6
221650 ,95.7 ,92 ,8.3 ,97.8 ,55.8,-66.1 ,-55.2 ,-19.0
221770 ,95.7 ,92 ,7.2 ,97.8 ,54.4,-66.5 ,-55.5 ,-18.4
221860 ,95.7 ,93 ,7.2 ,97.8 ,55.8,-65.6 ,-55.5 ,-19.2
221950 ,95.7 ,92 ,8.3 ,96.8 ,54.4,-64.9 ,-55.4 ,-20.3
222070 ,95.7 ,93 ,8.3 ,97.8 ,55.8,-64.7 ,-55.2 ,-20.9
222160 ,96.5 ,93 ,7.2 ,96.8 ,55.8,-65.3 ,-55.2 ,-20.2
222250 ,95.7 ,93 ,8.3 ,97.8 ,54.4,-65.9 ,-55.4 ,-19.6
222370 ,95.7 ,92 ,8.3 ,98.9 ,54.4,-66.7 ,-55.8 ,-18.9
222460 ,96.5 ,92 ,7.2 ,98.9 ,54.4,-67.2 ,-55.9 ,-18.7
222550 ,95.7 ,93 ,8.3 ,97.8 ,54.4,-67.0 ,-55.8 ,-19.3
222670 ,95.7 ,92 ,7.2 ,97.8 ,55.8,-65.9 ,-55.9 ,-20.5
222760 ,95.7 ,92 ,8.3 ,97.8 ,55.8,-65.0 ,-56.0 ,-21.5
222850 ,96.5 ,92 ,7.2 ,97.8 ,55.8,-64.6 ,-56.0 ,-21.8
222970 ,95.7 ,92 ,7.2 ,97.8 ,52.9,-64.7 ,-55.8 ,-21.5
223060 ,95.7 ,93 ,7.2 ,96.8 ,54.4,-65.1 ,-55.7 ,-20.9
223150 ,96.5 ,92 ,7.2 ,97.8 ,54.4,-64.9 ,-55.1 ,-20.7
223270 ,96.5 ,92 ,7.2 ,97.8 ,54.4,-63.9 ,-54.7 ,-21.9
223360 ,95.7 ,93 ,8.3 ,97.8 ,55.8,-63.6 ,-54.8 ,-22.5
223450 ,96.5 ,92 ,7.2 ,97.8 ,54.4,-63.6 ,-55.0 ,-22.4
223570 ,96.5 ,93 ,7.2 ,97.8 ,54.4,-64.4 ,-55.3 ,-21.4
223660 ,95.7 ,92 ,8.3 ,98.9 ,54.4,-65.2 ,-55.4 ,-20.9
223750 ,95.7 ,92 ,7.2 ,97.8 ,54.4,-65.6 ,-55.5 ,-20.7
223870 ,95.7 ,92 ,7.2 ,97.8 ,55.8,-66.6 ,-55.6 ,-20.0
