TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
260650 ,11.1 ,90 ,90.8 ,92.6 ,85.2,-113.4 ,-41.6 ,64.7
260770 ,11.1 ,92 ,90.8 ,92.6 ,85.2,-113.4 ,-41.6 ,64.6
260860 ,11.9 ,91 ,90.8 ,92.6 ,85.2,-113.4 ,-41.6 ,64.5
260950 ,11.9 ,91 ,89.7 ,92.6 ,85.2,-113.2 ,-41.8 ,64.3
261070 ,11.1 ,91 ,90.8 ,92.6 ,85.2,-112.9 ,-41.9 ,63.8
261160 ,10.2 ,91 ,90.8 ,91.5 ,85.2,-112.4 ,-42.0 ,63.2
261250 ,11.9 ,91 ,90.8 ,91.5 ,85.2,-112.0 ,-41.9 ,62.6
261370 ,11.9 ,90 ,90.8 ,92.6 ,85.2,-111.9 ,-41.8 ,62.5
261460 ,11.1 ,91 ,89.7 ,92.6 ,85.2,-112.0 ,-41.8 ,62.8
261550 ,11.1 ,91 ,90.8 ,92.6 ,85.2,-112.0 ,-41.7 ,63.0
261670 ,11.1 ,90 ,90.8 ,91.5 ,85.2,-112.0 ,-41.6 ,63.2
261760 ,10.2 ,91 ,90.8 ,92.6 ,83.8,-112.0 ,-41.5 ,63.2
261850 ,11.1 ,91 ,90.8 ,92.6 ,85.2,-112.1 ,-41.5 ,63.4
261970 ,11.1 ,91 ,90.8 ,92.6 ,83.8,-112.0 ,-41.7 ,63.3
262060 ,11.1 ,91 ,90.8 ,92.6 ,85.2,-111.7 ,-41.8 ,63.0
262150 ,11.1 ,91 ,90.8 ,92.6 ,85.2,-111.6 ,-41.7 ,62.8
262270 ,11.1 ,91 ,89.7 ,92.6 ,83.8,-111.9 ,-41.3 ,63.0
262360 ,11.9 ,90 ,90.8 ,92.6 ,85.2,-112.0 ,-41.0 ,63.2
262450 ,11.1 ,91 ,90.8 ,91.5 ,83.8,-112.2 ,-40.8 ,63.4
262570 ,10.2 ,91 ,90.8 ,92.6 ,85.2,-112.4 ,-40.9 ,63.4
262660 ,11.1 ,91 ,90.8 ,92.6 ,83.8,-112.4 ,-40.9 ,63.5
262750 ,11.1 ,90 ,90.8 ,91.5 ,83.8,-112.3 ,-40.7 ,63.5
262870 ,11.1 ,90 ,91.8 ,92.6 ,83.8,-112.3 ,-40.6 ,63.3
262960 ,11.1 ,90 ,90.8 ,92.6 ,83.8,-112.1 ,-40.4 ,63.0
263050 ,11.1 ,90 ,90.8 ,91.5 ,83.8,-112.1 ,-40.2 ,62.8
263170 ,11.1 ,90 ,89.7 ,92.6 ,83.8,-112.0 ,-40.2 ,62.7
263260 ,11.9 ,90 ,89.7 ,91.5 ,83.8,-112.1 ,-40.2 ,62.8
263350 ,11.9 ,90 ,90.8 ,91.5 ,83.8,-112.5 ,-40.0 ,63.3
263470 ,11.1 ,90 ,90.8 ,92.6 ,83.8,-112.6 ,-39.8 ,63.5
263560 ,11.1 ,90 ,90.8 ,92.6 ,83.8,-112.9 ,-39.5 ,63.9
263650 ,11.1 ,90 ,90.8 ,91.5 ,85.2,-113.1 ,-39.3 ,64.2
263770 ,10.2 ,90 ,90.8 ,92.6 ,83.8,-113.3 ,-39.2 ,64.6
263860 ,11.1 ,90 ,90.8 ,92.6 ,83.8,-113.3 ,-39.1 ,64.6
263950 ,11.1 ,90 ,90.8 ,93.6 ,83.8,-113.0 ,-38.8 ,64.6
264070 ,11.1 ,89 ,90.8 ,92.6 ,83.8,-112.9 ,-38.8 ,64.5
264160 ,10.2 ,90 ,89.7 ,92.6 ,83.8,-112.7 ,-39.0 ,64.3
264250 ,11.1 ,90 ,90.8 ,92.6 ,83.8,-112.5 ,-39.1 ,64.1
264370 ,11.1 ,90 ,90.8 ,92.6 ,83.8,-112.5 ,-39.1 ,63.9
264460 ,11.1 ,90 ,89.7 ,92.6 ,83.8,-112.4 ,-39.0 ,63.9
264550 ,11.1 ,90 ,89.7 ,92.6 ,83.8,-112.5 ,-38.8 ,63.9
264640 ,11.1 ,90 ,90.8 ,92.6 ,83.8,-112.3 ,-38.5 ,63.7
264760 ,11.1 ,90 ,90.8 ,92.6 ,83.8,-111.5 ,-37.8 ,62.9
264850 ,11.1 ,90 ,89.7 ,91.5 ,83.8,-111.6 ,-37.7 ,63.1
264940 ,11.1 ,90 ,90.8 ,92.6 ,85.2,-112.0 ,-37.6 ,63.6
265060 ,11.1 ,89 ,90.8 ,91.5 ,83.8,-112.6 ,-37.7 ,64.2
265150 ,11.1 ,90 ,89.7 ,91.5 ,83.8,-113.0 ,-37.6 ,64.6
265240 ,11.1 ,90 ,90.8 ,92.6 ,85.2,-113.3 ,-37.5 ,64.8
265360 ,11.1 ,90 ,90.8 ,91.5 ,83.8,-113.3 ,-37.3 ,64.4
265450 ,11.1 ,89 ,90.8 ,92.6 ,83.8,-113.2 ,-37.3 ,64.2
265540 ,10.2 ,90 ,90.8 ,92.6 ,83.8,-113.2 ,-36.7 ,64.2
265660 ,11.1 ,90 ,90.8 ,91.5 ,83.8,-113.7 ,-36.5 ,65.1
265750 ,11.1 ,90 ,90.8 ,92.6 ,83.8,-114.0 ,-36.2 ,65.6
265840 ,11.1 ,90 ,89.7 ,92.6 ,83.8,-114.2 ,-35.8 ,65.8
265960 ,11.1 ,90 ,90.8 ,91.5 ,83.8,-114.4 ,-35.4 ,66.0
266050 ,11.1 ,89 ,90.8 ,92.6 ,83.8,-114.6 ,-35.1 ,66.2
266140 ,10.2 ,90 ,90.8 ,91.5 ,83.8,-114.8 ,-34.9 ,66.4
266260 ,11.1 ,90 ,89.7 ,92.6 ,83.8,-114.8 ,-34.7 ,66.4
266350 ,11.1 ,90 ,90.8 ,92.6 ,85.2,-114.6 ,-34.7 ,66.3
266440 ,11.1 ,89 ,89.7 ,91.5 ,85.2,-114.6 ,-34.8 ,66.2
266560 ,11.1 ,90 ,89.7 ,91.5 ,85.2,-114.5 ,-34.6 ,66.2
266650 ,11.1 ,90 ,89.7 ,92.6 ,83.8,-114.5 ,-34.5 ,66.3
266740 ,11.1 ,90 ,90.8 ,91.5 ,83.8,-114.8 ,-34.4 ,66.7
266860 ,11.1 ,89 ,89.7 ,92.6 ,83.8,-115.2 ,-34.2 ,67.3
266950 ,11.1 ,89 ,89.7 ,91.5 ,83.8,-115.4 ,-34.1 ,67.6
267040 ,11.1 ,89 ,89.7 ,92.6 ,83.8,-115.5 ,-34.0 ,67.7
267160 ,11.1 ,90 ,89.7 ,91.5 ,83.8,-115.7 ,-33.8 ,67.8
267250 ,10.2 ,89 ,90.8 ,92.6 ,85.2,-115.7 ,-33.7 ,67.9
267340 ,11.1 ,90 ,90.8 ,91.5 ,83.8,-115.7 ,-33.6 ,67.9
267460 ,10.2 ,90 ,90.8 ,92.6 ,83.8,-115.8 ,-33.6 ,68.0
267550 ,11.9 ,90 ,89.7 ,92.6 ,83.8,-115.8 ,-33.7 ,68.1
