TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
341700 ,97.4 ,94 ,92.8 ,92.6 ,55.8,-151.1 ,-55.2 ,126.7
341820 ,97.4 ,94 ,92.8 ,91.5 ,54.4,-152.6 ,-55.1 ,128.5
341910 ,97.4 ,95 ,92.8 ,91.5 ,54.4,-153.3 ,-55.2 ,129.1
342000 ,98.2 ,95 ,92.8 ,91.5 ,54.4,-153.8 ,-55.7 ,129.5
342120 ,98.2 ,95 ,91.8 ,91.5 ,55.8,-154.5 ,-57.0 ,130.7
342210 ,97.4 ,95 ,92.8 ,92.6 ,55.8,-155.1 ,-58.0 ,131.6
342300 ,97.4 ,95 ,92.8 ,91.5 ,54.4,-154.8 ,-58.8 ,131.7
342420 ,97.4 ,95 ,92.8 ,92.6 ,55.8,-153.6 ,-59.3 ,131.1
342510 ,97.4 ,95 ,92.8 ,92.6 ,54.4,-152.5 ,-59.6 ,130.5
342600 ,97.4 ,95 ,91.8 ,91.5 ,55.8,-150.9 ,-59.6 ,129.4
342720 ,97.4 ,94 ,92.8 ,92.6 ,54.4,-149.1 ,-59.5 ,127.8
342810 ,97.4 ,95 ,93.8 ,91.5 ,54.4,-149.0 ,-59.4 ,127.5
342900 ,97.4 ,94 ,92.8 ,92.6 ,55.8,-149.3 ,-59.4 ,127.4
343020 ,97.4 ,95 ,92.8 ,91.5 ,54.4,-150.0 ,-59.5 ,127.7
343110 ,97.4 ,95 ,91.8 ,92.6 ,52.9,-150.1 ,-59.6 ,127.6
343200 ,97.4 ,95 ,92.8 ,92.6 ,54.4,-150.0 ,-59.9 ,127.4
343320 ,96.5 ,95 ,92.8 ,92.6 ,54.4,-149.9 ,-60.2 ,127.2
343410 ,97.4 ,95 ,92.8 ,91.5 ,54.4,-149.6 ,-60.5 ,126.8
343500 ,97.4 ,95 ,92.8 ,91.5 ,55.8,-149.3 ,-60.6 ,126.4
343620 ,98.2 ,95 ,91.8 ,91.5 ,54.4,-149.5 ,-60.8 ,126.6
343710 ,97.4 ,95 ,92.8 ,92.6 ,54.4,-149.4 ,-60.8 ,126.5
343800 ,97.4 ,95 ,92.8 ,91.5 ,54.4,-149.5 ,-60.9 ,126.4
343920 ,97.4 ,94 ,92.8 ,91.5 ,54.4,-150.0 ,-60.9 ,126.9
344010 ,97.4 ,95 ,92.8 ,91.5 ,54.4,-150.1 ,-60.8 ,126.9
344100 ,97.4 ,95 ,92.8 ,91.5 ,52.9,-150.5 ,-60.7 ,127.2
344220 ,97.4 ,95 ,92.8 ,91.5 ,54.4,-151.2 ,-60.6 ,128.0
344310 ,97.4 ,95 ,92.8 ,91.5 ,54.4,-151.8 ,-60.5 ,128.5
344400 ,97.4 ,95 ,92.8 ,91.5 ,52.9,-152.1 ,-60.4 ,128.9
344520 ,97.4 ,94 ,92.8 ,91.5 ,54.4,-152.3 ,-60.2 ,129.3
344610 ,98.2 ,95 ,92.8 ,91.5 ,54.4,-152.4 ,-60.2 ,129.5
344700 ,97.4 ,95 ,93.8 ,91.5 ,54.4,-152.8 ,-60.1 ,129.9
344820 ,96.5 ,95 ,92.8 ,91.5 ,54.4,-153.1 ,-60.1 ,130.4
344910 ,97.4 ,95 ,92.8 ,91.5 ,54.4,-153.2 ,-60.3 ,130.4
345000 ,97.4 ,95 ,92.8 ,91.5 ,54.4,-153.1 ,-60.3 ,130.4
345120 ,97.4 ,95 ,92.8 ,91.5 ,54.4,-153.1 ,-60.2 ,130.2
