TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
288620 ,97.5 ,98 ,96.2 ,21.1 ,84.0,-102.7 ,3.7 ,105.6
288740 ,98.3 ,98 ,96.2 ,21.1 ,84.0,-102.8 ,3.9 ,105.6
288830 ,97.5 ,97 ,96.2 ,21.1 ,82.9,-102.8 ,3.9 ,106.0
288920 ,98.3 ,98 ,95.2 ,21.1 ,85.1,-102.7 ,4.1 ,106.1
289040 ,97.5 ,97 ,96.2 ,21.1 ,85.1,-103.1 ,3.9 ,106.0
289130 ,97.5 ,98 ,96.2 ,21.1 ,84.0,-102.9 ,3.8 ,106.3
289220 ,97.5 ,98 ,96.2 ,22.1 ,84.0,-103.1 ,3.8 ,106.0
289340 ,97.5 ,98 ,96.2 ,20.1 ,84.0,-103.3 ,3.6 ,106.3
289430 ,97.5 ,98 ,96.2 ,20.1 ,84.0,-103.3 ,3.8 ,106.5
289520 ,97.5 ,98 ,96.2 ,19.2 ,84.0,-103.4 ,4.0 ,106.3
289620 ,97.5 ,97 ,96.2 ,21.1 ,84.0,-103.4 ,4.1 ,106.6
289730 ,97.5 ,97 ,97.1 ,20.1 ,85.1,-103.6 ,4.4 ,106.5
289820 ,96.7 ,97 ,96.2 ,20.1 ,84.0,-104.3 ,4.2 ,106.1
289910 ,97.5 ,98 ,96.2 ,21.1 ,84.0,-104.0 ,4.4 ,106.9
290030 ,96.7 ,97 ,96.2 ,21.1 ,84.0,-104.5 ,4.6 ,106.2
290120 ,97.5 ,97 ,96.2 ,21.1 ,84.0,-104.2 ,4.4 ,106.9
290210 ,97.5 ,97 ,96.2 ,21.1 ,84.0,-104.3 ,4.5 ,106.7
290330 ,97.5 ,97 ,96.2 ,21.1 ,84.0,-104.4 ,4.4 ,106.8
290420 ,97.5 ,98 ,96.2 ,19.2 ,84.0,-104.4 ,4.4 ,107.0
290510 ,97.5 ,97 ,96.2 ,21.1 ,84.0,-104.5 ,4.4 ,107.1
290630 ,97.5 ,97 ,96.2 ,20.1 ,84.0,-104.5 ,4.4 ,107.4
290720 ,96.7 ,97 ,96.2 ,21.1 ,84.0,-104.5 ,4.4 ,107.6
290810 ,96.7 ,97 ,96.2 ,20.1 ,84.0,-104.5 ,4.4 ,107.9
290930 ,96.7 ,98 ,96.2 ,20.1 ,84.0,-104.5 ,4.6 ,108.3
291020 ,98.3 ,98 ,96.2 ,21.1 ,84.0,-104.6 ,4.6 ,108.3
291110 ,97.5 ,98 ,96.2 ,20.1 ,84.0,-104.5 ,4.6 ,108.5
291230 ,97.5 ,98 ,96.2 ,19.2 ,84.0,-104.2 ,4.8 ,108.7
291320 ,97.5 ,98 ,97.1 ,19.2 ,84.0,-104.2 ,4.8 ,108.9
