TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAW
477740 ,97.2 ,97 ,88.1 ,96.5 ,82.1,44.4 ,-16.4 ,-60.6
477860 ,97.2 ,97 ,89.1 ,96.5 ,80.8,44.4 ,-16.3 ,-60.6
477950 ,98.1 ,97 ,90.0 ,97.6 ,78.0,44.4 ,-16.2 ,-60.5
478040 ,97.2 ,97 ,89.1 ,96.5 ,82.1,44.5 ,-16.2 ,-60.5
478160 ,96.2 ,97 ,89.1 ,97.6 ,80.8,44.6 ,-16.4 ,-60.7
478250 ,97.2 ,97 ,89.1 ,96.5 ,82.1,44.6 ,-16.6 ,-61.0
478340 ,97.2 ,97 ,89.1 ,97.6 ,80.8,44.4 ,-17.1 ,-61.1
478460 ,98.1 ,98 ,88.1 ,96.5 ,82.1,44.3 ,-17.3 ,-61.3
478550 ,97.2 ,97 ,89.1 ,95.3 ,80.8,44.4 ,-17.3 ,-61.4
478640 ,99.0 ,97 ,88.1 ,96.5 ,79.4,44.7 ,-17.5 ,-61.4
478760 ,97.2 ,97 ,89.1 ,95.3 ,80.8,44.7 ,-17.5 ,-61.4
478850 ,98.1 ,98 ,89.1 ,96.5 ,78.0,44.7 ,-17.6 ,-61.5
478970 ,98.1 ,97 ,88.1 ,96.5 ,79.4,44.8 ,-17.8 ,-61.7
479060 ,97.2 ,97 ,90.0 ,96.5 ,78.0,44.5 ,-17.9 ,-61.6
479150 ,97.2 ,97 ,90.0 ,97.6 ,79.4,44.4 ,-17.9 ,-61.6
479270 ,97.2 ,97 ,89.1 ,96.5 ,82.1,44.6 ,-18.1 ,-62.0
479360 ,98.1 ,98 ,89.1 ,96.5 ,78.0,44.7 ,-18.4 ,-62.3
479450 ,98.1 ,97 ,88.1 ,95.3 ,80.8,44.6 ,-18.7 ,-62.5
479570 ,97.2 ,97 ,88.1 ,96.5 ,82.1,44.5 ,-18.9 ,-62.5
479660 ,97.2 ,97 ,90.0 ,96.5 ,78.0,44.5 ,-18.9 ,-62.5
479750 ,98.1 ,96 ,90.0 ,97.6 ,80.8,44.6 ,-18.9 ,-62.6
479870 ,97.2 ,97 ,89.1 ,97.6 ,80.8,44.7 ,-18.9 ,-62.6
479960 ,97.2 ,96 ,89.1 ,97.6 ,79.4,44.7 ,-19.0 ,-62.5
480050 ,96.2 ,97 ,89.1 ,97.6 ,80.8,44.8 ,-19.1 ,-62.6
480170 ,97.2 ,97 ,89.1 ,97.6 ,80.8,44.7 ,-19.1 ,-62.6
480260 ,98.1 ,97 ,90.0 ,97.6 ,79.4,44.7 ,-19.0 ,-62.7
480350 ,97.2 ,97 ,89.1 ,96.5 ,79.4,44.7 ,-19.0 ,-62.6
480470 ,98.1 ,97 ,88.1 ,95.3 ,79.4,44.8 ,-19.0 ,-62.5
480560 ,97.2 ,97 ,90.0 ,97.6 ,79.4,44.8 ,-19.0 ,-62.5
480650 ,97.2 ,97 ,89.1 ,96.5 ,79.4,44.8 ,-19.0 ,-62.5
480770 ,98.1 ,97 ,88.1 ,95.3 ,80.8,44.8 ,-18.9 ,-62.6
480860 ,97.2 ,98 ,89.1 ,95.3 ,80.8,44.8 ,-19.0 ,-62.6
