TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAW
72000 ,94.7 ,91 ,88.2 ,94.9 ,90.6,-64.4 ,14.0 ,-31.6
72120 ,94.7 ,92 ,86.1 ,94.9 ,89.0,-64.3 ,13.9 ,-31.6
72210 ,93.7 ,92 ,86.1 ,93.6 ,90.6,-64.4 ,13.8 ,-31.6
72300 ,92.7 ,91 ,86.1 ,94.9 ,92.1,-64.3 ,13.8 ,-31.7
72420 ,92.7 ,91 ,86.1 ,94.9 ,92.1,-64.4 ,13.9 ,-31.7
72510 ,92.7 ,91 ,87.2 ,94.9 ,92.1,-64.5 ,13.8 ,-31.8
72600 ,92.7 ,91 ,86.1 ,94.9 ,93.7,-64.5 ,13.8 ,-31.9
72720 ,94.7 ,91 ,88.2 ,94.9 ,89.0,-64.5 ,13.7 ,-31.9
72810 ,92.7 ,91 ,88.2 ,94.9 ,90.6,-64.5 ,13.7 ,-31.9
72900 ,92.7 ,91 ,87.2 ,94.9 ,92.1,-64.5 ,13.7 ,-31.8
73020 ,93.7 ,91 ,87.2 ,94.9 ,89.0,-64.4 ,13.7 ,-31.7
73110 ,93.7 ,91 ,87.2 ,92.4 ,90.6,-64.4 ,13.8 ,-31.7
73200 ,93.7 ,92 ,87.2 ,93.6 ,92.1,-64.4 ,13.7 ,-31.7
73320 ,93.7 ,92 ,87.2 ,96.2 ,90.6,-64.5 ,13.7 ,-31.7
73410 ,92.7 ,91 ,88.2 ,96.2 ,90.6,-64.6 ,13.6 ,-31.8
73500 ,93.7 ,91 ,86.1 ,93.6 ,90.6,-64.7 ,13.6 ,-31.8
73620 ,92.7 ,91 ,86.1 ,93.6 ,92.1,-64.8 ,13.6 ,-31.9
73710 ,94.7 ,92 ,87.2 ,94.9 ,89.0,-64.9 ,13.6 ,-32.0
73830 ,93.7 ,91 ,87.2 ,96.2 ,89.0,-65.1 ,13.5 ,-32.2
73920 ,93.7 ,91 ,86.1 ,94.9 ,92.1,-65.2 ,13.5 ,-32.2
74010 ,93.7 ,91 ,88.2 ,94.9 ,89.0,-65.2 ,13.5 ,-32.3
74130 ,93.7 ,91 ,86.1 ,93.6 ,90.6,-65.2 ,13.4 ,-32.3
74220 ,94.7 ,91 ,86.1 ,93.6 ,89.0,-65.2 ,13.5 ,-32.3
74310 ,91.6 ,91 ,88.2 ,94.9 ,90.6,-65.3 ,13.5 ,-32.2
74430 ,94.7 ,92 ,86.1 ,94.9 ,89.0,-65.3 ,13.4 ,-32.2
74520 ,93.7 ,91 ,87.2 ,94.9 ,92.1,-65.2 ,13.4 ,-32.2
74610 ,93.7 ,91 ,86.1 ,94.9 ,90.6,-65.2 ,13.4 ,-32.1
74730 ,93.7 ,92 ,86.1 ,93.6 ,90.6,-65.4 ,13.3 ,-32.1
74820 ,94.7 ,91 ,87.2 ,93.6 ,90.6,-65.4 ,13.3 ,-32.1
74910 ,93.7 ,92 ,87.2 ,93.6 ,90.6,-65.4 ,13.3 ,-32.2
75030 ,93.7 ,91 ,87.2 ,92.4 ,90.6,-65.3 ,13.3 ,-32.1
75120 ,93.7 ,91 ,87.2 ,92.4 ,92.1,-65.3 ,13.2 ,-31.9
75210 ,93.7 ,91 ,87.2 ,92.4 ,90.6,-65.2 ,13.3 ,-31.8
75330 ,93.7 ,91 ,88.2 ,96.2 ,90.6,-65.1 ,13.3 ,-31.7
75420 ,94.7 ,92 ,87.2 ,93.6 ,87.5,-65.0 ,13.3 ,-31.6
75510 ,93.7 ,91 ,88.2 ,94.9 ,90.6,-65.0 ,13.3 ,-31.6
75630 ,92.7 ,91 ,88.2 ,94.9 ,90.6,-64.9 ,13.3 ,-31.5
75720 ,94.7 ,91 ,86.1 ,93.6 ,89.0,-64.8 ,13.3 ,-31.4
75810 ,93.7 ,90 ,87.2 ,94.9 ,92.1,-64.8 ,13.3 ,-31.4
75930 ,93.7 ,91 ,87.2 ,96.2 ,89.0,-64.8 ,13.1 ,-31.4
76020 ,93.7 ,91 ,87.2 ,96.2 ,89.0,-64.9 ,13.1 ,-31.5
76110 ,93.7 ,91 ,86.1 ,94.9 ,92.1,-64.9 ,13.1 ,-31.4
76230 ,93.7 ,91 ,87.2 ,94.9 ,87.5,-65.0 ,13.1 ,-31.4
76320 ,93.7 ,91 ,87.2 ,93.6 ,90.6,-65.1 ,13.0 ,-31.4
76410 ,92.7 ,91 ,87.2 ,93.6 ,90.6,-65.1 ,13.1 ,-31.4
76530 ,92.7 ,91 ,86.1 ,94.9 ,92.1,-65.2 ,13.1 ,-31.4
76620 ,92.7 ,90 ,88.2 ,94.9 ,92.1,-65.2 ,13.1 ,-31.5
76710 ,93.7 ,91 ,87.2 ,92.4 ,89.0,-65.2 ,13.1 ,-31.5
76830 ,92.7 ,91 ,86.1 ,92.4 ,92.1,-65.2 ,13.1 ,-31.4
76900 ,94.7 ,91 ,86.1 ,94.9 ,89.0,-65.2 ,13.1 ,-31.4
77010 ,92.7 ,91 ,87.2 ,94.9 ,90.6,-65.2 ,13.0 ,-31.3
77130 ,92.7 ,90 ,88.2 ,94.9 ,90.6,-65.2 ,13.1 ,-31.2
77220 ,93.7 ,91 ,86.1 ,93.6 ,90.6,-65.2 ,13.1 ,-31.2
77340 ,93.7 ,92 ,86.1 ,93.6 ,89.0,-65.3 ,13.1 ,-31.1
77430 ,94.7 ,92 ,87.2 ,93.6 ,89.0,-65.4 ,13.2 ,-31.1
77520 ,92.7 ,90 ,87.2 ,92.4 ,90.6,-65.4 ,13.1 ,-31.0
77640 ,94.7 ,91 ,87.2 ,93.6 ,89.0,-65.4 ,13.2 ,-31.0
77730 ,93.7 ,91 ,88.2 ,94.9 ,89.0,-65.4 ,13.2 ,-30.9
77820 ,93.7 ,91 ,87.2 ,96.2 ,89.0,-65.4 ,13.1 ,-30.8
77940 ,93.7 ,91 ,86.1 ,92.4 ,90.6,-65.4 ,13.1 ,-30.8
78030 ,93.7 ,91 ,86.1 ,93.6 ,90.6,-65.4 ,13.1 ,-30.7
78120 ,92.7 ,91 ,87.2 ,96.2 ,90.6,-65.4 ,13.1 ,-30.7
78240 ,92.7 ,91 ,87.2 ,96.2 ,90.6,-65.4 ,13.1 ,-30.7
78330 ,92.7 ,91 ,86.1 ,93.6 ,90.6,-65.4 ,13.1 ,-30.7
78420 ,92.7 ,91 ,87.2 ,92.4 ,90.6,-65.4 ,13.1 ,-30.7
78540 ,94.7 ,91 ,87.2 ,93.6 ,89.0,-65.3 ,13.1 ,-30.6
78630 ,94.7 ,91 ,87.2 ,94.9 ,89.0,-65.2 ,13.1 ,-30.6
78720 ,92.7 ,91 ,87.2 ,94.9 ,92.1,-65.1 ,13.1 ,-30.5
78840 ,92.7 ,91 ,87.2 ,93.6 ,90.6,-65.0 ,13.1 ,-30.5
78930 ,93.7 ,91 ,86.1 ,92.4 ,90.6,-64.9 ,13.1 ,-30.4
79020 ,93.7 ,91 ,87.2 ,93.6 ,92.1,-64.7 ,13.0 ,-30.3
79140 ,93.7 ,91 ,86.1 ,93.6 ,90.6,-64.6 ,12.9 ,-30.3
79230 ,92.7 ,91 ,86.1 ,93.6 ,92.1,-64.6 ,12.9 ,-30.3
79320 ,93.7 ,91 ,86.1 ,93.6 ,90.6,-64.6 ,12.8 ,-30.4
79440 ,92.7 ,90 ,87.2 ,94.9 ,90.6,-64.6 ,12.9 ,-30.4
79530 ,93.7 ,91 ,86.1 ,93.6 ,90.6,-64.6 ,12.9 ,-30.3
79620 ,92.7 ,90 ,87.2 ,93.6 ,92.1,-64.7 ,12.8 ,-30.3
79740 ,93.7 ,91 ,87.2 ,93.6 ,87.5,-64.8 ,12.8 ,-30.4
79830 ,93.7 ,91 ,87.2 ,94.9 ,90.6,-64.8 ,12.8 ,-30.4
79920 ,92.7 ,90 ,87.2 ,93.6 ,90.6,-64.8 ,12.8 ,-30.4
80040 ,91.6 ,91 ,87.2 ,94.9 ,90.6,-64.9 ,12.9 ,-30.4
80130 ,92.7 ,90 ,88.2 ,94.9 ,89.0,-64.9 ,12.9 ,-30.4
80250 ,93.7 ,91 ,86.1 ,92.4 ,90.6,-64.9 ,12.9 ,-30.4
80340 ,93.7 ,91 ,88.2 ,94.9 ,89.0,-64.9 ,12.8 ,-30.4
80430 ,92.7 ,90 ,87.2 ,94.9 ,90.6,-65.0 ,12.8 ,-30.3
80550 ,91.6 ,91 ,87.2 ,93.6 ,90.6,-65.0 ,12.8 ,-30.3
80640 ,92.7 ,91 ,87.2 ,93.6 ,90.6,-64.9 ,12.8 ,-30.4
80730 ,93.7 ,91 ,86.1 ,92.4 ,89.0,-65.0 ,12.8 ,-30.5
80850 ,92.7 ,90 ,87.2 ,93.6 ,90.6,-65.0 ,12.8 ,-30.4
80940 ,92.7 ,91 ,88.2 ,94.9 ,92.1,-65.0 ,12.8 ,-30.3
81030 ,92.7 ,91 ,87.2 ,93.6 ,92.1,-65.0 ,12.7 ,-30.2
81150 ,92.7 ,91 ,87.2 ,93.6 ,90.6,-64.9 ,12.8 ,-30.2
81240 ,93.7 ,91 ,87.2 ,93.6 ,89.0,-64.9 ,12.8 ,-30.2
81330 ,93.7 ,91 ,87.2 ,94.9 ,89.0,-64.9 ,12.8 ,-30.2
81450 ,93.7 ,91 ,86.1 ,93.6 ,90.6,-64.9 ,12.8 ,-30.2
81540 ,92.7 ,90 ,88.2 ,93.6 ,90.6,-64.9 ,12.8 ,-30.3
81630 ,92.7 ,91 ,88.2 ,94.9 ,89.0,-64.9 ,12.8 ,-30.3
81750 ,93.7 ,91 ,86.1 ,93.6 ,89.0,-64.9 ,12.7 ,-30.3
