TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAW
503350 ,95.3 ,94 ,17.8 ,95.3 ,82.1,56.2 ,-10.0 ,-70.0
503470 ,96.2 ,94 ,16.8 ,94.1 ,82.1,56.3 ,-9.8 ,-70.1
503560 ,96.2 ,94 ,16.8 ,95.3 ,82.1,56.3 ,-9.9 ,-70.2
503650 ,96.2 ,94 ,16.8 ,95.3 ,80.8,56.3 ,-10.0 ,-70.4
503770 ,95.3 ,93 ,16.8 ,94.1 ,82.1,56.3 ,-10.2 ,-70.6
503860 ,97.2 ,94 ,16.8 ,94.1 ,82.1,56.4 ,-10.2 ,-70.7
503950 ,94.4 ,93 ,15.8 ,95.3 ,83.5,56.4 ,-10.2 ,-70.8
504070 ,96.2 ,94 ,16.8 ,95.3 ,80.8,56.5 ,-10.1 ,-71.0
504160 ,95.3 ,93 ,17.8 ,96.5 ,83.5,56.5 ,-10.2 ,-71.1
504250 ,96.2 ,94 ,16.8 ,95.3 ,82.1,56.4 ,-10.2 ,-71.1
504370 ,94.4 ,93 ,17.8 ,95.3 ,82.1,56.4 ,-10.3 ,-71.1
504460 ,95.3 ,92 ,16.8 ,95.3 ,82.1,56.5 ,-10.4 ,-71.3
504580 ,95.3 ,93 ,14.8 ,95.3 ,82.1,56.4 ,-10.5 ,-71.2
504670 ,95.3 ,93 ,16.8 ,95.3 ,83.5,56.4 ,-10.6 ,-71.2
504760 ,96.2 ,93 ,15.8 ,95.3 ,80.8,56.4 ,-10.6 ,-71.2
504880 ,96.2 ,93 ,16.8 ,93.0 ,82.1,56.4 ,-10.5 ,-71.3
504970 ,95.3 ,94 ,15.8 ,94.1 ,83.5,56.4 ,-10.4 ,-71.5
505060 ,95.3 ,93 ,16.8 ,95.3 ,82.1,56.5 ,-10.3 ,-71.7
505180 ,97.2 ,94 ,14.8 ,94.1 ,80.8,56.6 ,-10.4 ,-71.8
505270 ,95.3 ,92 ,16.8 ,96.5 ,82.1,56.6 ,-10.4 ,-71.8
505360 ,95.3 ,93 ,15.8 ,94.1 ,82.1,56.6 ,-10.3 ,-71.7
505480 ,96.2 ,94 ,15.8 ,95.3 ,80.8,56.8 ,-10.2 ,-71.4
505570 ,96.2 ,94 ,15.8 ,94.1 ,82.1,56.8 ,-10.0 ,-71.3
505660 ,95.3 ,93 ,17.8 ,95.3 ,80.8,56.8 ,-9.8 ,-71.3
505780 ,96.2 ,93 ,16.8 ,94.1 ,82.1,56.7 ,-9.7 ,-71.4
505870 ,95.3 ,93 ,15.8 ,94.1 ,82.1,56.8 ,-9.7 ,-71.4
505960 ,95.3 ,93 ,17.8 ,95.3 ,82.1,56.7 ,-9.6 ,-71.3
506080 ,97.2 ,94 ,16.8 ,95.3 ,80.8,56.6 ,-9.5 ,-71.3
506170 ,95.3 ,93 ,15.8 ,95.3 ,82.1,56.5 ,-9.4 ,-71.4
506260 ,97.2 ,93 ,14.8 ,95.3 ,80.8,56.5 ,-9.4 ,-71.5
506380 ,96.2 ,94 ,14.8 ,94.1 ,82.1,56.5 ,-9.3 ,-71.4
506470 ,95.3 ,93 ,14.8 ,95.3 ,83.5,56.5 ,-9.2 ,-71.4
