TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAW
105620 ,82.2 ,76 ,0.0 ,91.1 ,87.5,-73.0 ,19.2 ,-66.0
105740 ,83.3 ,76 ,3.1 ,92.4 ,84.3,-73.1 ,19.2 ,-66.1
105830 ,82.2 ,76 ,1.0 ,92.4 ,85.9,-73.1 ,19.1 ,-66.2
105920 ,83.3 ,77 ,1.0 ,89.8 ,85.9,-73.1 ,19.1 ,-66.2
106040 ,83.3 ,77 ,0.0 ,92.4 ,87.5,-73.0 ,19.0 ,-66.1
106130 ,83.3 ,78 ,2.1 ,91.1 ,84.3,-73.0 ,18.9 ,-66.0
106220 ,82.2 ,76 ,3.1 ,92.4 ,84.3,-73.0 ,18.9 ,-66.0
106340 ,83.3 ,77 ,2.1 ,92.4 ,84.3,-73.1 ,18.8 ,-66.0
106430 ,83.3 ,75 ,2.1 ,91.1 ,85.9,-73.1 ,18.7 ,-66.1
106520 ,83.3 ,77 ,2.1 ,92.4 ,84.3,-73.1 ,18.6 ,-66.1
106640 ,84.3 ,76 ,0.0 ,89.8 ,84.3,-73.0 ,18.6 ,-66.0
106730 ,83.3 ,77 ,2.1 ,91.1 ,82.8,-73.0 ,18.6 ,-65.9
106820 ,84.3 ,77 ,2.1 ,91.1 ,84.3,-73.1 ,18.6 ,-65.9
106940 ,83.3 ,78 ,1.0 ,89.8 ,84.3,-73.1 ,18.5 ,-65.8
107030 ,83.3 ,78 ,1.0 ,89.8 ,85.9,-73.1 ,18.5 ,-65.8
107120 ,83.3 ,75 ,1.0 ,89.8 ,84.3,-73.1 ,18.5 ,-65.8
107240 ,83.3 ,75 ,2.1 ,89.8 ,85.9,-73.2 ,18.6 ,-65.7
107330 ,83.3 ,77 ,1.0 ,89.8 ,84.3,-73.2 ,18.5 ,-65.8
107420 ,82.2 ,75 ,2.1 ,89.8 ,85.9,-73.1 ,18.4 ,-65.8
107540 ,83.3 ,77 ,1.0 ,89.8 ,85.9,-73.2 ,18.4 ,-65.9
107630 ,83.3 ,76 ,1.0 ,91.1 ,84.3,-73.2 ,18.3 ,-65.9
107720 ,84.3 ,78 ,1.0 ,91.1 ,82.8,-73.2 ,18.3 ,-65.9
107840 ,83.3 ,75 ,2.1 ,92.4 ,84.3,-73.2 ,18.1 ,-65.8
107930 ,82.2 ,75 ,2.1 ,91.1 ,84.3,-73.1 ,18.0 ,-65.8
108020 ,83.3 ,76 ,3.1 ,91.1 ,82.8,-73.0 ,17.9 ,-65.6
108140 ,83.3 ,75 ,3.1 ,92.4 ,84.3,-73.0 ,17.9 ,-65.6
108230 ,82.2 ,75 ,2.1 ,92.4 ,85.9,-72.9 ,17.9 ,-65.6
108320 ,82.2 ,76 ,3.1 ,91.1 ,84.3,-72.9 ,17.8 ,-65.5
108440 ,83.3 ,77 ,1.0 ,89.8 ,84.3,-72.8 ,17.7 ,-65.4
108530 ,84.3 ,76 ,2.1 ,89.8 ,84.3,-72.8 ,17.6 ,-65.4
108620 ,84.3 ,77 ,1.0 ,89.8 ,84.3,-72.7 ,17.5 ,-65.2
108740 ,82.2 ,75 ,3.1 ,89.8 ,84.3,-72.7 ,17.4 ,-65.2
108830 ,82.2 ,75 ,2.1 ,89.8 ,85.9,-72.6 ,17.3 ,-65.2
108950 ,83.3 ,75 ,2.1 ,91.1 ,85.9,-72.7 ,17.2 ,-65.2
109040 ,83.3 ,78 ,0.0 ,89.8 ,84.3,-72.6 ,17.2 ,-65.1
109130 ,83.3 ,76 ,1.0 ,88.6 ,85.9,-72.6 ,17.2 ,-65.1
109250 ,82.2 ,76 ,1.0 ,91.1 ,85.9,-72.6 ,17.3 ,-65.1
109340 ,83.3 ,75 ,2.1 ,91.1 ,85.9,-72.6 ,17.2 ,-65.2
109430 ,82.2 ,76 ,2.1 ,91.1 ,85.9,-72.6 ,17.2 ,-65.2
109550 ,83.3 ,77 ,2.1 ,88.6 ,82.8,-72.4 ,17.4 ,-65.1
109640 ,82.2 ,76 ,1.0 ,89.8 ,85.9,-72.4 ,17.6 ,-65.1
109730 ,83.3 ,76 ,3.1 ,91.1 ,82.8,-72.4 ,17.7 ,-65.1
109850 ,84.3 ,77 ,1.0 ,91.1 ,82.8,-72.3 ,17.7 ,-65.2
