TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAW
539120 ,25.9 ,96 ,89.1 ,96.5 ,76.7,57.0 ,-10.3 ,-81.2
539240 ,27.7 ,96 ,90.0 ,97.6 ,73.9,56.8 ,-10.3 ,-81.2
539330 ,26.8 ,95 ,90.0 ,97.6 ,75.3,56.7 ,-10.3 ,-81.2
539420 ,25.9 ,95 ,89.1 ,96.5 ,76.7,56.6 ,-10.3 ,-81.2
539540 ,26.8 ,95 ,90.0 ,97.6 ,75.3,56.5 ,-10.4 ,-81.3
539630 ,27.7 ,96 ,90.0 ,97.6 ,73.9,56.5 ,-10.4 ,-81.4
539720 ,26.8 ,95 ,90.0 ,97.6 ,75.3,56.4 ,-10.5 ,-81.6
539840 ,27.7 ,96 ,88.1 ,97.6 ,75.3,56.3 ,-10.5 ,-81.8
539930 ,26.8 ,97 ,88.1 ,96.5 ,75.3,56.3 ,-10.6 ,-81.9
540020 ,26.8 ,96 ,89.1 ,97.6 ,75.3,56.3 ,-10.7 ,-82.1
540140 ,27.7 ,96 ,87.1 ,96.5 ,75.3,56.3 ,-10.8 ,-82.2
540230 ,27.7 ,95 ,88.1 ,96.5 ,75.3,56.3 ,-10.8 ,-82.3
540320 ,26.8 ,96 ,89.1 ,97.6 ,75.3,56.1 ,-10.8 ,-82.3
540440 ,27.7 ,95 ,89.1 ,97.6 ,73.9,56.0 ,-10.8 ,-82.3
540530 ,27.7 ,96 ,89.1 ,97.6 ,73.9,56.0 ,-10.8 ,-82.3
540650 ,26.8 ,97 ,88.1 ,96.5 ,75.3,56.0 ,-11.1 ,-82.5
540740 ,25.9 ,95 ,88.1 ,97.6 ,76.7,56.0 ,-11.1 ,-82.6
540830 ,27.7 ,96 ,88.1 ,97.6 ,75.3,56.1 ,-11.0 ,-82.7
540950 ,27.7 ,95 ,89.1 ,96.5 ,75.3,56.1 ,-10.8 ,-82.8
541040 ,26.8 ,96 ,88.1 ,97.6 ,75.3,56.2 ,-10.6 ,-82.7
541130 ,27.7 ,96 ,89.1 ,96.5 ,75.3,56.2 ,-10.4 ,-82.6
541250 ,27.7 ,96 ,88.1 ,95.3 ,73.9,56.1 ,-10.1 ,-82.6
541340 ,25.9 ,95 ,89.1 ,97.6 ,76.7,56.0 ,-9.9 ,-82.6
541430 ,26.8 ,96 ,89.1 ,96.5 ,73.9,56.0 ,-9.8 ,-82.7
541550 ,27.7 ,96 ,88.1 ,96.5 ,75.3,56.0 ,-9.8 ,-82.8
541640 ,25.9 ,96 ,88.1 ,97.6 ,76.7,56.0 ,-9.8 ,-82.9
541730 ,25.9 ,95 ,88.1 ,96.5 ,76.7,56.0 ,-9.7 ,-82.9
541850 ,26.8 ,96 ,89.1 ,96.5 ,75.3,55.9 ,-9.6 ,-82.8
541940 ,27.7 ,95 ,88.1 ,96.5 ,75.3,55.9 ,-9.5 ,-82.7
542030 ,25.9 ,95 ,89.1 ,96.5 ,75.3,55.8 ,-9.3 ,-82.6
542150 ,27.7 ,97 ,88.1 ,96.5 ,73.9,55.7 ,-9.3 ,-82.4
542240 ,25.9 ,95 ,89.1 ,96.5 ,75.3,55.6 ,-9.3 ,-82.3
542330 ,25.9 ,95 ,89.1 ,96.5 ,75.3,55.7 ,-9.2 ,-82.3
542450 ,25.9 ,95 ,88.1 ,97.6 ,76.7,55.9 ,-9.3 ,-82.3
