TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAW
134070 ,26.0 ,82 ,79.7 ,91.1 ,84.3,-64.4 ,19.3 ,-48.2
134190 ,25.0 ,81 ,81.9 ,91.1 ,82.8,-64.5 ,19.3 ,-48.2
134280 ,26.0 ,81 ,79.7 ,89.8 ,84.3,-64.5 ,19.3 ,-48.2
134370 ,26.0 ,82 ,80.8 ,89.8 ,84.3,-64.5 ,19.3 ,-48.2
134490 ,22.9 ,80 ,80.8 ,91.1 ,84.3,-64.5 ,19.2 ,-48.2
134580 ,22.9 ,81 ,80.8 ,91.1 ,84.3,-64.5 ,19.2 ,-48.2
134670 ,25.0 ,82 ,79.7 ,91.1 ,84.3,-64.5 ,19.2 ,-48.1
134790 ,25.0 ,82 ,79.7 ,89.8 ,82.8,-64.4 ,19.2 ,-48.0
134880 ,23.9 ,79 ,80.8 ,91.1 ,85.9,-64.4 ,19.2 ,-47.9
134970 ,23.9 ,80 ,81.9 ,91.1 ,82.8,-64.4 ,19.1 ,-47.9
135090 ,23.9 ,80 ,80.8 ,91.1 ,82.8,-64.4 ,19.2 ,-47.9
135180 ,25.0 ,81 ,79.7 ,89.8 ,84.3,-64.4 ,19.1 ,-47.9
135270 ,23.9 ,80 ,79.7 ,89.8 ,84.3,-64.5 ,19.1 ,-47.8
135390 ,23.9 ,81 ,79.7 ,89.8 ,84.3,-64.5 ,19.0 ,-47.7
135480 ,22.9 ,80 ,80.8 ,89.8 ,85.9,-64.5 ,19.0 ,-47.7
135570 ,25.0 ,81 ,79.7 ,89.8 ,84.3,-64.5 ,19.0 ,-47.6
135690 ,22.9 ,80 ,80.8 ,91.1 ,82.8,-64.6 ,19.0 ,-47.4
135780 ,22.9 ,80 ,81.9 ,91.1 ,84.3,-64.5 ,19.0 ,-47.4
135870 ,22.9 ,80 ,79.7 ,91.1 ,85.9,-64.5 ,19.0 ,-47.3
135990 ,25.0 ,81 ,79.7 ,89.8 ,84.3,-64.6 ,19.0 ,-47.3
136080 ,21.8 ,80 ,79.7 ,91.1 ,84.3,-64.5 ,19.0 ,-47.3
