TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAW
559920 ,94.4 ,95 ,88.1 ,25.5 ,57.5,47.8 ,-8.0 ,-84.4
560040 ,94.4 ,95 ,87.1 ,24.4 ,57.5,47.8 ,-8.1 ,-84.4
560130 ,93.5 ,94 ,89.1 ,26.7 ,57.5,47.8 ,-8.3 ,-84.4
560220 ,93.5 ,95 ,87.1 ,24.4 ,58.9,47.9 ,-8.4 ,-84.4
560340 ,92.5 ,94 ,89.1 ,24.4 ,58.9,47.9 ,-8.4 ,-84.5
560430 ,93.5 ,93 ,89.1 ,26.7 ,57.5,48.0 ,-8.4 ,-84.6
560520 ,93.5 ,93 ,89.1 ,25.5 ,58.9,48.0 ,-8.6 ,-84.6
560640 ,92.5 ,94 ,88.1 ,25.5 ,58.9,48.0 ,-8.7 ,-84.5
560730 ,95.3 ,95 ,88.1 ,25.5 ,58.9,48.0 ,-8.7 ,-84.5
560820 ,92.5 ,94 ,88.1 ,25.5 ,57.5,48.1 ,-8.7 ,-84.6
560940 ,93.5 ,93 ,89.1 ,26.7 ,57.5,48.2 ,-8.9 ,-84.6
561030 ,94.4 ,94 ,89.1 ,25.5 ,57.5,48.4 ,-8.8 ,-84.7
561120 ,94.4 ,94 ,87.1 ,24.4 ,57.5,48.5 ,-8.7 ,-84.8
561240 ,94.4 ,95 ,88.1 ,24.4 ,56.1,48.5 ,-8.6 ,-84.8
561330 ,93.5 ,94 ,88.1 ,25.5 ,56.1,48.4 ,-8.5 ,-84.8
561420 ,94.4 ,93 ,88.1 ,24.4 ,57.5,48.4 ,-8.3 ,-84.9
561540 ,92.5 ,93 ,89.1 ,24.4 ,58.9,48.4 ,-8.2 ,-84.9
561630 ,94.4 ,95 ,88.1 ,23.2 ,57.5,48.4 ,-8.2 ,-85.0
561750 ,92.5 ,94 ,88.1 ,24.4 ,58.9,48.5 ,-8.2 ,-85.1
561840 ,93.5 ,95 ,89.1 ,25.5 ,57.5,48.5 ,-8.2 ,-85.3
561930 ,93.5 ,95 ,87.1 ,24.4 ,57.5,48.5 ,-8.3 ,-85.3
562050 ,94.4 ,95 ,87.1 ,24.4 ,57.5,48.4 ,-8.2 ,-85.2
562140 ,92.5 ,93 ,88.1 ,25.5 ,58.9,48.4 ,-8.2 ,-85.1
562230 ,94.4 ,94 ,88.1 ,24.4 ,57.5,48.4 ,-8.2 ,-85.1
562350 ,93.5 ,93 ,88.1 ,24.4 ,60.2,48.4 ,-8.2 ,-85.1
562440 ,92.5 ,94 ,89.1 ,25.5 ,56.1,48.4 ,-8.2 ,-85.1
