TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAW
164670 ,87.5 ,81 ,81.9 ,16.4 ,84.3,-79.3 ,11.4 ,-44.1
164790 ,88.5 ,83 ,80.8 ,15.1 ,82.8,-79.3 ,11.5 ,-44.0
164880 ,87.5 ,82 ,81.9 ,17.7 ,84.3,-79.3 ,11.7 ,-43.9
164970 ,88.5 ,82 ,81.9 ,16.4 ,82.8,-79.3 ,11.8 ,-43.9
165090 ,88.5 ,83 ,81.9 ,17.7 ,81.2,-79.4 ,11.8 ,-43.8
165180 ,88.5 ,81 ,80.8 ,15.1 ,84.3,-79.4 ,11.8 ,-43.9
165270 ,87.5 ,82 ,81.9 ,16.4 ,82.8,-79.4 ,11.8 ,-43.9
165390 ,88.5 ,82 ,79.7 ,16.4 ,84.3,-79.4 ,11.8 ,-43.9
165480 ,87.5 ,82 ,80.8 ,16.4 ,82.8,-79.3 ,11.9 ,-43.8
165570 ,88.5 ,83 ,79.7 ,16.4 ,82.8,-79.3 ,11.9 ,-43.8
165690 ,89.5 ,82 ,79.7 ,15.1 ,82.8,-79.2 ,12.0 ,-43.9
165780 ,88.5 ,82 ,81.9 ,16.4 ,81.2,-79.2 ,12.0 ,-43.8
165870 ,87.5 ,81 ,81.9 ,16.4 ,81.2,-79.1 ,12.0 ,-43.8
165990 ,88.5 ,81 ,80.8 ,15.1 ,82.8,-79.1 ,12.0 ,-43.7
166080 ,87.5 ,82 ,80.8 ,16.4 ,82.8,-79.2 ,12.0 ,-43.7
166170 ,88.5 ,83 ,80.8 ,13.9 ,81.2,-79.2 ,11.9 ,-43.7
166290 ,87.5 ,80 ,81.9 ,15.1 ,84.3,-79.2 ,11.9 ,-43.6
166380 ,87.5 ,81 ,80.8 ,13.9 ,84.3,-79.2 ,11.8 ,-43.6
166500 ,87.5 ,82 ,80.8 ,16.4 ,82.8,-79.3 ,11.8 ,-43.8
166590 ,88.5 ,82 ,80.8 ,13.9 ,82.8,-79.3 ,11.8 ,-43.9
166680 ,88.5 ,81 ,80.8 ,16.4 ,82.8,-79.4 ,11.7 ,-44.0
166800 ,87.5 ,81 ,80.8 ,15.1 ,84.3,-79.6 ,11.6 ,-44.2
166890 ,89.5 ,81 ,81.9 ,15.1 ,81.2,-79.6 ,11.6 ,-44.3
166980 ,86.4 ,81 ,80.8 ,15.1 ,82.8,-79.8 ,11.6 ,-44.6
167100 ,89.5 ,83 ,80.8 ,15.1 ,79.6,-79.9 ,11.6 ,-44.7
167190 ,88.5 ,82 ,80.8 ,15.1 ,81.2,-79.9 ,11.5 ,-44.8
167280 ,87.5 ,82 ,81.9 ,16.4 ,82.8,-80.0 ,11.5 ,-44.9
167400 ,88.5 ,83 ,79.7 ,13.9 ,82.8,-80.0 ,11.4 ,-44.9
167490 ,88.5 ,81 ,80.8 ,12.6 ,82.8,-80.0 ,11.4 ,-44.9
167580 ,88.5 ,82 ,80.8 ,13.9 ,82.8,-80.0 ,11.4 ,-44.9
167700 ,86.4 ,81 ,80.8 ,15.1 ,82.8,-80.0 ,11.4 ,-44.9
167790 ,88.5 ,82 ,79.7 ,13.9 ,81.2,-80.0 ,11.4 ,-44.9
167880 ,88.5 ,81 ,80.8 ,15.1 ,82.8,-80.0 ,11.5 ,-44.9
168000 ,88.5 ,81 ,80.8 ,15.1 ,84.3,-80.0 ,11.4 ,-44.9
168090 ,88.5 ,82 ,79.7 ,13.9 ,82.8,-80.1 ,11.4 ,-45.0
168180 ,87.5 ,81 ,80.8 ,15.1 ,84.3,-80.1 ,11.4 ,-45.0
168300 ,87.5 ,81 ,80.8 ,16.4 ,82.8,-80.1 ,11.4 ,-45.0
168390 ,87.5 ,81 ,80.8 ,15.1 ,82.8,-80.1 ,11.4 ,-45.0
168480 ,88.5 ,82 ,80.8 ,13.9 ,82.8,-80.1 ,11.4 ,-45.0
168600 ,88.5 ,81 ,81.9 ,15.1 ,81.2,-80.0 ,11.4 ,-45.0
168690 ,88.5 ,82 ,80.8 ,12.6 ,81.2,-80.1 ,11.5 ,-44.9
168780 ,87.5 ,82 ,79.7 ,13.9 ,82.8,-80.1 ,11.4 ,-44.9
168900 ,87.5 ,81 ,81.9 ,15.1 ,82.8,-80.1 ,11.4 ,-44.9
168990 ,88.5 ,81 ,81.9 ,15.1 ,81.2,-80.1 ,11.4 ,-44.9
169080 ,89.5 ,83 ,79.7 ,13.9 ,81.2,-80.1 ,11.4 ,-44.9
169200 ,87.5 ,81 ,80.8 ,13.9 ,82.8,-80.1 ,11.3 ,-44.8
169290 ,87.5 ,80 ,80.8 ,13.9 ,82.8,-80.1 ,11.3 ,-44.7
169380 ,87.5 ,81 ,80.8 ,13.9 ,84.3,-80.1 ,11.3 ,-44.7
169500 ,88.5 ,82 ,79.7 ,13.9 ,81.2,-80.1 ,11.3 ,-44.8
169590 ,88.5 ,82 ,79.7 ,12.6 ,81.2,-80.1 ,11.3 ,-44.8
169680 ,87.5 ,80 ,80.8 ,12.6 ,82.8,-80.2 ,11.3 ,-44.8
169800 ,88.5 ,82 ,80.8 ,13.9 ,82.8,-80.1 ,11.3 ,-44.8
169890 ,87.5 ,81 ,80.8 ,16.4 ,82.8,-80.1 ,11.3 ,-44.9
169980 ,89.5 ,81 ,80.8 ,12.6 ,81.2,-80.2 ,11.2 ,-44.9
170100 ,88.5 ,82 ,79.7 ,12.6 ,81.2,-80.2 ,11.2 ,-44.9
170190 ,87.5 ,81 ,80.8 ,13.9 ,84.3,-80.2 ,11.2 ,-44.9
170280 ,88.5 ,82 ,79.7 ,13.9 ,81.2,-80.2 ,11.3 ,-44.9
170400 ,89.5 ,82 ,78.7 ,13.9 ,81.2,-80.2 ,11.3 ,-44.9
170490 ,89.5 ,81 ,80.8 ,13.9 ,82.8,-80.2 ,11.3 ,-44.9
170610 ,88.5 ,82 ,80.8 ,13.9 ,81.2,-80.2 ,11.3 ,-44.9
170700 ,87.5 ,82 ,79.7 ,12.6 ,82.8,-80.2 ,11.3 ,-44.9
170790 ,87.5 ,81 ,78.7 ,13.9 ,84.3,-80.2 ,11.3 ,-44.9
170900 ,88.5 ,81 ,80.8 ,15.1 ,81.2,-80.2 ,11.2 ,-44.8
171000 ,86.4 ,81 ,81.9 ,15.1 ,82.8,-80.2 ,11.1 ,-44.9
171090 ,87.5 ,81 ,79.7 ,13.9 ,84.3,-80.2 ,11.1 ,-44.9
171210 ,88.5 ,82 ,79.7 ,12.6 ,81.2,-80.2 ,11.2 ,-44.9
171300 ,88.5 ,82 ,79.7 ,12.6 ,82.8,-80.1 ,11.2 ,-44.8
171390 ,86.4 ,81 ,80.8 ,15.1 ,82.8,-80.1 ,11.2 ,-44.8
171510 ,88.5 ,81 ,79.7 ,12.6 ,82.8,-80.2 ,11.2 ,-44.9
171600 ,88.5 ,81 ,79.7 ,12.6 ,81.2,-80.1 ,11.3 ,-44.9
