TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAW
620670 ,1.8 ,3 ,5.9 ,12.7 ,94.5,39.5 ,-33.1 ,-74.6
620790 ,2.7 ,5 ,5.9 ,12.7 ,91.7,39.5 ,-33.0 ,-74.6
620880 ,1.8 ,4 ,6.9 ,13.9 ,93.1,39.5 ,-32.9 ,-74.6
620970 ,3.7 ,5 ,4.9 ,12.7 ,93.1,39.5 ,-32.9 ,-74.6
621090 ,1.8 ,5 ,6.9 ,13.9 ,91.7,39.3 ,-32.9 ,-74.5
621180 ,1.8 ,4 ,5.9 ,13.9 ,93.1,39.3 ,-33.0 ,-74.5
621270 ,2.7 ,5 ,4.9 ,12.7 ,93.1,39.4 ,-33.0 ,-74.4
621390 ,1.8 ,4 ,5.9 ,11.6 ,94.5,39.4 ,-33.1 ,-74.4
621480 ,1.8 ,4 ,6.9 ,12.7 ,91.7,39.4 ,-33.2 ,-74.5
621570 ,2.7 ,5 ,4.9 ,12.7 ,91.7,39.4 ,-33.1 ,-74.5
621690 ,2.7 ,3 ,6.9 ,13.9 ,93.1,39.4 ,-33.0 ,-74.3
621780 ,1.8 ,3 ,5.9 ,12.7 ,94.5,39.3 ,-32.9 ,-74.1
621870 ,2.7 ,5 ,4.9 ,13.9 ,93.1,39.4 ,-32.9 ,-74.0
621990 ,2.7 ,3 ,5.9 ,13.9 ,91.7,39.4 ,-32.8 ,-74.1
622080 ,2.7 ,5 ,4.9 ,12.7 ,93.1,39.4 ,-32.8 ,-74.2
622170 ,0.9 ,4 ,5.9 ,12.7 ,93.1,39.3 ,-32.8 ,-74.2
622290 ,0.9 ,4 ,4.9 ,12.7 ,94.5,39.4 ,-32.8 ,-74.2
622380 ,2.7 ,4 ,4.9 ,12.7 ,94.5,39.4 ,-32.7 ,-74.2
622470 ,1.8 ,4 ,5.9 ,12.7 ,93.1,39.5 ,-32.7 ,-74.2
622590 ,2.7 ,4 ,4.9 ,11.6 ,93.1,39.7 ,-32.6 ,-74.3
622680 ,3.7 ,4 ,3.9 ,12.7 ,93.1,39.7 ,-32.6 ,-74.3
622780 ,2.7 ,4 ,5.9 ,12.7 ,93.1,39.7 ,-32.6 ,-74.3
622890 ,1.8 ,5 ,4.9 ,12.7 ,93.1,39.7 ,-32.5 ,-74.3
622980 ,0.9 ,4 ,4.9 ,12.7 ,94.5,39.7 ,-32.5 ,-74.4
623100 ,1.8 ,4 ,5.9 ,12.7 ,93.1,39.6 ,-32.4 ,-74.3
623190 ,2.7 ,4 ,5.9 ,13.9 ,93.1,39.7 ,-32.5 ,-74.3
623280 ,1.8 ,3 ,6.9 ,13.9 ,93.1,39.7 ,-32.5 ,-74.3
623400 ,1.8 ,3 ,6.9 ,13.9 ,93.1,39.7 ,-32.5 ,-74.3
623490 ,1.8 ,3 ,5.9 ,12.7 ,94.5,39.6 ,-32.4 ,-74.3
623580 ,1.8 ,3 ,5.9 ,12.7 ,94.5,39.6 ,-32.4 ,-74.3
623700 ,2.7 ,5 ,4.9 ,13.9 ,91.7,39.6 ,-32.3 ,-74.5
623790 ,0.9 ,3 ,5.9 ,12.7 ,94.5,39.7 ,-32.3 ,-74.6
623880 ,1.8 ,4 ,4.9 ,11.6 ,91.7,39.6 ,-32.4 ,-74.6
624000 ,2.7 ,4 ,4.9 ,12.7 ,94.5,39.7 ,-32.5 ,-74.7
624090 ,1.8 ,3 ,5.9 ,12.7 ,94.5,39.7 ,-32.6 ,-74.7
624180 ,1.8 ,4 ,6.9 ,12.7 ,90.4,39.7 ,-32.7 ,-74.6
624300 ,1.8 ,4 ,4.9 ,12.7 ,93.1,39.8 ,-32.7 ,-74.7
624390 ,1.8 ,3 ,4.9 ,13.9 ,94.5,40.0 ,-32.9 ,-74.7
624480 ,2.7 ,3 ,6.9 ,12.7 ,91.7,40.1 ,-32.9 ,-74.7
624600 ,3.7 ,4 ,5.9 ,11.6 ,91.7,40.1 ,-33.2 ,-74.4
624690 ,1.8 ,5 ,5.9 ,11.6 ,93.1,39.8 ,-33.3 ,-74.1
624780 ,1.8 ,3 ,5.9 ,15.1 ,94.5,39.9 ,-33.4 ,-74.2
624900 ,2.7 ,4 ,6.9 ,12.7 ,94.5,40.1 ,-33.4 ,-74.5
624990 ,0.9 ,3 ,6.9 ,12.7 ,93.1,40.1 ,-33.3 ,-74.6
625080 ,2.7 ,4 ,6.9 ,13.9 ,93.1,40.1 ,-33.4 ,-74.5
625200 ,1.8 ,4 ,6.9 ,13.9 ,93.1,40.1 ,-33.5 ,-74.1
625290 ,3.7 ,4 ,5.9 ,12.7 ,93.1,40.3 ,-33.5 ,-74.0
625380 ,3.7 ,4 ,4.9 ,12.7 ,93.1,40.3 ,-33.4 ,-74.0
625500 ,1.8 ,3 ,5.9 ,12.7 ,93.1,40.2 ,-33.5 ,-73.9
