TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAW
227250 ,1.9 ,1 ,2.0 ,5.0 ,93.7,-91.5 ,2.6 ,-61.5
227370 ,0.0 ,1 ,5.2 ,6.3 ,93.7,-91.5 ,2.7 ,-61.5
227460 ,1.9 ,1 ,3.1 ,6.3 ,95.3,-91.5 ,2.6 ,-61.5
227550 ,2.8 ,2 ,3.1 ,5.0 ,92.1,-91.6 ,2.6 ,-61.4
227670 ,0.0 ,1 ,5.2 ,6.3 ,93.7,-91.5 ,2.6 ,-61.4
227760 ,1.9 ,1 ,5.2 ,6.3 ,92.1,-91.6 ,2.5 ,-61.4
227850 ,1.9 ,2 ,2.0 ,5.0 ,93.7,-91.6 ,2.4 ,-61.3
227970 ,2.8 ,1 ,3.1 ,5.0 ,93.7,-91.7 ,2.3 ,-61.3
228060 ,1.9 ,0 ,4.1 ,6.3 ,92.1,-91.7 ,2.3 ,-61.3
228150 ,2.8 ,2 ,2.0 ,5.0 ,93.7,-91.7 ,2.3 ,-61.3
228270 ,0.9 ,0 ,3.1 ,7.5 ,95.3,-91.7 ,2.3 ,-61.3
228360 ,1.9 ,2 ,3.1 ,7.5 ,92.1,-91.7 ,2.2 ,-61.3
228450 ,1.9 ,2 ,2.0 ,5.0 ,95.3,-91.7 ,2.2 ,-61.3
228570 ,1.9 ,3 ,3.1 ,6.3 ,90.6,-91.7 ,2.2 ,-61.3
228660 ,2.8 ,2 ,3.1 ,5.0 ,93.7,-91.8 ,2.2 ,-61.3
228750 ,0.9 ,0 ,3.1 ,6.3 ,95.3,-91.8 ,2.2 ,-61.3
228870 ,0.9 ,0 ,3.1 ,6.3 ,93.7,-91.8 ,2.1 ,-61.2
228960 ,0.9 ,0 ,3.1 ,7.5 ,93.7,-91.8 ,2.1 ,-61.2
229050 ,2.8 ,2 ,1.0 ,6.3 ,92.1,-91.8 ,2.1 ,-61.1
229170 ,1.9 ,0 ,3.1 ,7.5 ,92.1,-91.8 ,2.2 ,-61.1
229260 ,1.9 ,2 ,3.1 ,6.3 ,90.6,-91.8 ,2.2 ,-61.2
229350 ,0.9 ,1 ,2.0 ,6.3 ,93.7,-91.8 ,2.1 ,-61.3
229470 ,0.0 ,1 ,3.1 ,6.3 ,93.7,-91.9 ,2.2 ,-61.3
229560 ,0.9 ,2 ,2.0 ,6.3 ,93.7,-91.9 ,2.2 ,-61.3
229650 ,1.9 ,1 ,4.1 ,5.0 ,90.6,-91.8 ,2.3 ,-61.3
229770 ,1.9 ,2 ,3.1 ,5.0 ,92.1,-91.8 ,2.2 ,-61.3
229860 ,0.9 ,1 ,4.1 ,6.3 ,93.7,-91.7 ,2.2 ,-61.3
229950 ,1.9 ,2 ,7.2 ,5.0 ,93.7,-91.7 ,2.2 ,-61.4
230070 ,1.9 ,2 ,7.2 ,5.0 ,92.1,-91.8 ,2.2 ,-61.2
230160 ,0.9 ,0 ,7.2 ,6.3 ,93.7,-91.8 ,2.2 ,-61.2
230250 ,0.0 ,0 ,8.3 ,6.3 ,92.1,-91.8 ,2.3 ,-61.1
230370 ,1.9 ,1 ,7.2 ,6.3 ,92.1,-91.8 ,2.3 ,-61.1
230460 ,0.9 ,1 ,7.2 ,5.0 ,93.7,-92.0 ,2.2 ,-61.0
230550 ,1.9 ,3 ,7.2 ,5.0 ,93.7,-92.1 ,2.1 ,-60.9
230670 ,2.8 ,3 ,6.2 ,6.3 ,92.1,-92.3 ,2.0 ,-60.8
230760 ,0.9 ,0 ,8.3 ,6.3 ,92.1,-92.3 ,2.0 ,-60.9
