TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAW
647410 ,91.6 ,92 ,88.1 ,29.0 ,46.5,55.7 ,-52.1 ,-86.7
647530 ,91.6 ,91 ,88.1 ,29.0 ,47.9,55.7 ,-52.4 ,-86.7
647620 ,91.6 ,91 ,87.1 ,27.9 ,46.5,55.9 ,-52.6 ,-86.9
647710 ,91.6 ,91 ,87.1 ,29.0 ,47.9,56.5 ,-52.7 ,-87.4
647830 ,91.6 ,92 ,88.1 ,29.0 ,45.2,57.3 ,-53.0 ,-87.9
647920 ,90.7 ,91 ,87.1 ,29.0 ,47.9,57.7 ,-53.3 ,-88.1
648010 ,91.6 ,92 ,88.1 ,29.0 ,45.2,58.1 ,-53.6 ,-88.4
648130 ,92.5 ,92 ,86.1 ,26.7 ,45.2,58.3 ,-54.0 ,-88.6
648220 ,92.5 ,92 ,87.1 ,27.9 ,45.2,58.4 ,-54.3 ,-88.8
648310 ,91.6 ,91 ,88.1 ,27.9 ,46.5,58.6 ,-54.6 ,-89.1
648430 ,91.6 ,91 ,88.1 ,29.0 ,45.2,58.8 ,-54.8 ,-89.5
648520 ,91.6 ,91 ,88.1 ,27.9 ,47.9,58.7 ,-54.8 ,-89.7
648610 ,91.6 ,91 ,88.1 ,29.0 ,46.5,58.9 ,-55.0 ,-89.9
648730 ,91.6 ,92 ,88.1 ,29.0 ,45.2,59.5 ,-55.3 ,-90.3
648820 ,91.6 ,92 ,87.1 ,26.7 ,46.5,59.7 ,-55.6 ,-90.6
648910 ,92.5 ,92 ,88.1 ,27.9 ,43.8,58.9 ,-55.9 ,-90.0
649030 ,92.5 ,92 ,87.1 ,27.9 ,45.2,59.8 ,-56.2 ,-90.7
649120 ,92.5 ,92 ,86.1 ,29.0 ,45.2,60.0 ,-56.4 ,-90.9
649210 ,92.5 ,91 ,88.1 ,27.9 ,45.2,60.4 ,-56.7 ,-91.1
649330 ,92.5 ,92 ,86.1 ,27.9 ,46.5,61.2 ,-57.0 ,-91.8
649420 ,91.6 ,91 ,87.1 ,29.0 ,45.2,61.6 ,-57.2 ,-92.1
649540 ,91.6 ,91 ,88.1 ,29.0 ,45.2,62.2 ,-57.6 ,-92.6
649630 ,91.6 ,92 ,88.1 ,29.0 ,45.2,62.6 ,-57.9 ,-93.0
649720 ,91.6 ,91 ,88.1 ,29.0 ,45.2,63.1 ,-58.0 ,-93.4
649840 ,91.6 ,91 ,89.1 ,27.9 ,45.2,63.6 ,-58.1 ,-94.1
649930 ,90.7 ,91 ,88.1 ,27.9 ,46.5,63.7 ,-58.4 ,-94.1
650020 ,92.5 ,92 ,86.1 ,26.7 ,45.2,64.3 ,-58.7 ,-94.4
650140 ,91.6 ,91 ,87.1 ,29.0 ,45.2,64.7 ,-59.0 ,-94.8
650230 ,91.6 ,91 ,87.1 ,27.9 ,45.2,64.9 ,-59.3 ,-94.8
650320 ,91.6 ,91 ,88.1 ,27.9 ,46.5,65.2 ,-59.6 ,-94.9
650440 ,91.6 ,92 ,87.1 ,27.9 ,45.2,65.6 ,-59.9 ,-95.3
650530 ,90.7 ,91 ,88.1 ,29.0 ,45.2,65.8 ,-60.3 ,-95.4
650620 ,91.6 ,91 ,87.1 ,26.7 ,45.2,66.4 ,-60.6 ,-95.9
650740 ,92.5 ,91 ,86.1 ,26.7 ,46.5,66.8 ,-61.1 ,-96.2
650830 ,92.5 ,92 ,86.1 ,26.7 ,45.2,67.1 ,-61.4 ,-96.5
650920 ,92.5 ,91 ,87.1 ,27.9 ,43.8,67.6 ,-61.7 ,-97.0
651040 ,91.6 ,92 ,86.1 ,26.7 ,45.2,68.1 ,-62.0 ,-97.5
651130 ,91.6 ,91 ,88.1 ,27.9 ,45.2,68.8 ,-62.3 ,-98.1
