TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAW
257110 ,85.8 ,78 ,83.3 ,17.7 ,18.7,-89.9 ,0.2 ,-59.5
257230 ,84.9 ,76 ,83.3 ,20.2 ,20.3,-89.8 ,0.2 ,-59.4
257320 ,85.8 ,77 ,83.3 ,17.7 ,20.3,-89.7 ,0.3 ,-59.4
257410 ,85.8 ,77 ,83.3 ,18.9 ,18.7,-89.6 ,0.5 ,-59.6
257530 ,85.8 ,77 ,84.3 ,18.9 ,18.7,-89.6 ,0.5 ,-59.6
257620 ,84.9 ,78 ,83.3 ,20.2 ,20.3,-89.4 ,0.5 ,-59.6
257710 ,85.8 ,78 ,83.3 ,18.9 ,18.7,-89.4 ,0.7 ,-59.7
257830 ,84.9 ,76 ,83.3 ,18.9 ,20.3,-89.4 ,0.8 ,-59.8
257920 ,85.8 ,78 ,82.2 ,17.7 ,20.3,-89.3 ,0.8 ,-59.8
258010 ,84.9 ,76 ,84.3 ,18.9 ,21.8,-89.4 ,0.9 ,-60.0
258130 ,85.8 ,78 ,83.3 ,18.9 ,20.3,-89.4 ,1.0 ,-60.2
258220 ,83.9 ,76 ,83.3 ,18.9 ,20.3,-89.3 ,1.1 ,-60.2
258310 ,84.9 ,77 ,82.2 ,18.9 ,21.8,-89.3 ,1.3 ,-60.3
258430 ,84.9 ,76 ,84.3 ,17.7 ,21.8,-89.4 ,1.2 ,-60.3
258520 ,84.9 ,77 ,83.3 ,18.9 ,20.3,-89.4 ,1.2 ,-60.3
258610 ,83.9 ,76 ,83.3 ,18.9 ,20.3,-89.4 ,1.3 ,-60.2
258730 ,85.8 ,78 ,81.2 ,17.7 ,18.7,-89.2 ,1.4 ,-60.2
258820 ,84.9 ,77 ,82.2 ,17.7 ,20.3,-89.3 ,1.3 ,-60.3
258910 ,84.9 ,77 ,84.3 ,18.9 ,18.7,-89.2 ,1.2 ,-60.2
259030 ,85.8 ,77 ,82.2 ,17.7 ,18.7,-89.0 ,1.2 ,-60.3
259120 ,84.9 ,76 ,82.2 ,17.7 ,20.3,-88.7 ,1.4 ,-60.5
259210 ,84.9 ,77 ,82.2 ,17.7 ,20.3,-88.6 ,1.5 ,-60.8
259330 ,84.9 ,76 ,82.2 ,18.9 ,20.3,-88.6 ,1.6 ,-60.8
259420 ,85.8 ,77 ,81.2 ,17.7 ,20.3,-88.3 ,1.6 ,-60.8
259540 ,84.9 ,76 ,84.3 ,18.9 ,17.1,-88.0 ,1.6 ,-61.0
259630 ,85.8 ,76 ,83.3 ,17.7 ,20.3,-87.9 ,1.7 ,-61.2
259720 ,84.9 ,76 ,83.3 ,18.9 ,18.7,-87.8 ,1.9 ,-61.3
259840 ,84.9 ,77 ,82.2 ,18.9 ,18.7,-87.7 ,2.1 ,-61.6
259930 ,84.9 ,77 ,82.2 ,17.7 ,18.7,-87.7 ,2.0 ,-61.7
260020 ,83.9 ,76 ,83.3 ,20.2 ,18.7,-87.6 ,2.0 ,-61.5
260140 ,84.9 ,76 ,83.3 ,18.9 ,18.7,-87.4 ,2.4 ,-61.7
260230 ,83.9 ,75 ,83.3 ,17.7 ,20.3,-87.3 ,2.4 ,-61.7
260320 ,83.9 ,75 ,82.2 ,17.7 ,20.3,-87.2 ,2.6 ,-61.6
