TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAW
674230 ,90.7 ,91 ,7.9 ,26.7 ,80.8,-8.6 ,-51.4 ,14.1
674350 ,93.5 ,91 ,7.9 ,25.5 ,79.4,-8.9 ,-51.6 ,14.4
674440 ,92.5 ,92 ,6.9 ,25.5 ,78.0,-9.1 ,-51.6 ,14.7
674530 ,92.5 ,92 ,6.9 ,25.5 ,80.8,-9.1 ,-51.7 ,14.8
674650 ,92.5 ,91 ,8.9 ,26.7 ,79.4,-9.2 ,-51.8 ,14.9
674740 ,92.5 ,91 ,6.9 ,25.5 ,82.1,-9.4 ,-51.7 ,15.0
674830 ,93.5 ,91 ,6.9 ,24.4 ,80.8,-9.5 ,-51.8 ,15.1
674950 ,91.6 ,91 ,8.9 ,26.7 ,79.4,-9.6 ,-51.7 ,15.3
675040 ,92.5 ,91 ,7.9 ,24.4 ,80.8,-9.6 ,-51.7 ,15.3
675130 ,91.6 ,91 ,8.9 ,26.7 ,80.8,-9.7 ,-51.7 ,15.3
675250 ,92.5 ,91 ,7.9 ,24.4 ,79.4,-9.7 ,-51.6 ,15.3
675340 ,91.6 ,91 ,6.9 ,25.5 ,82.1,-9.6 ,-51.5 ,15.1
675430 ,92.5 ,91 ,7.9 ,24.4 ,79.4,-9.6 ,-51.5 ,15.1
675550 ,93.5 ,91 ,5.9 ,25.5 ,79.4,-9.8 ,-51.5 ,15.2
675640 ,91.6 ,90 ,7.9 ,25.5 ,82.1,-9.9 ,-51.6 ,15.2
675730 ,92.5 ,91 ,7.9 ,25.5 ,79.4,-9.7 ,-51.6 ,15.0
675850 ,92.5 ,91 ,6.9 ,24.4 ,79.4,-9.7 ,-51.6 ,14.8
675940 ,92.5 ,91 ,7.9 ,26.7 ,80.8,-9.8 ,-51.5 ,14.8
676060 ,92.5 ,91 ,8.9 ,25.5 ,79.4,-9.9 ,-51.5 ,14.9
676150 ,93.5 ,91 ,6.9 ,25.5 ,79.4,-10.0 ,-51.6 ,14.9
676240 ,93.5 ,92 ,6.9 ,24.4 ,79.4,-10.0 ,-51.6 ,14.9
676360 ,91.6 ,91 ,5.9 ,24.4 ,80.8,-10.1 ,-51.6 ,14.9
676450 ,93.5 ,91 ,6.9 ,24.4 ,80.8,-10.1 ,-51.5 ,14.9
676540 ,91.6 ,91 ,6.9 ,25.5 ,80.8,-10.3 ,-51.5 ,15.1
676660 ,92.5 ,91 ,7.9 ,24.4 ,79.4,-10.4 ,-51.5 ,15.2
