TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAW
302270 ,87.7 ,79 ,8.3 ,5.0 ,82.8,-87.6 ,-2.9 ,-74.9
302390 ,89.6 ,79 ,9.3 ,6.3 ,81.2,-87.5 ,-3.1 ,-74.9
302480 ,89.6 ,79 ,8.3 ,6.3 ,81.2,-87.4 ,-3.1 ,-75.0
302570 ,88.6 ,78 ,11.4 ,7.5 ,81.2,-87.4 ,-3.1 ,-74.8
302690 ,87.7 ,77 ,9.3 ,6.3 ,84.3,-87.4 ,-3.2 ,-74.7
302780 ,88.6 ,79 ,10.4 ,7.5 ,81.2,-87.4 ,-3.2 ,-74.7
302870 ,87.7 ,79 ,10.4 ,7.5 ,81.2,-87.4 ,-3.1 ,-74.6
302990 ,86.7 ,78 ,10.4 ,7.5 ,82.8,-87.4 ,-3.1 ,-74.7
303080 ,87.7 ,78 ,9.3 ,6.3 ,84.3,-87.4 ,-3.1 ,-74.8
303170 ,87.7 ,79 ,8.3 ,6.3 ,82.8,-87.4 ,-3.2 ,-74.8
303290 ,87.7 ,78 ,9.3 ,6.3 ,84.3,-87.5 ,-3.3 ,-74.7
303380 ,88.6 ,77 ,10.4 ,6.3 ,82.8,-87.5 ,-3.3 ,-74.7
303470 ,88.6 ,79 ,9.3 ,6.3 ,81.2,-87.5 ,-3.3 ,-74.7
303590 ,87.7 ,78 ,9.3 ,6.3 ,84.3,-87.5 ,-3.4 ,-74.7
303680 ,87.7 ,78 ,9.3 ,6.3 ,82.8,-87.5 ,-3.4 ,-74.7
303770 ,87.7 ,78 ,9.3 ,7.5 ,82.8,-87.5 ,-3.4 ,-74.6
303890 ,88.6 ,78 ,10.4 ,7.5 ,79.6,-87.5 ,-3.4 ,-74.5
303980 ,87.7 ,79 ,10.4 ,7.5 ,81.2,-87.5 ,-3.4 ,-74.5
304070 ,89.6 ,79 ,8.3 ,6.3 ,81.2,-87.4 ,-3.3 ,-74.6
304190 ,87.7 ,79 ,10.4 ,7.5 ,82.8,-87.4 ,-3.4 ,-74.5
304280 ,87.7 ,78 ,10.4 ,7.5 ,81.2,-87.5 ,-3.4 ,-74.4
304370 ,89.6 ,79 ,9.3 ,6.3 ,82.8,-87.5 ,-3.5 ,-74.3
304490 ,88.6 ,78 ,8.3 ,6.3 ,82.8,-87.5 ,-3.5 ,-74.3
304580 ,86.7 ,78 ,9.3 ,6.3 ,82.8,-87.5 ,-3.6 ,-74.3
304680 ,86.7 ,79 ,9.3 ,6.3 ,82.8,-87.5 ,-3.6 ,-74.4
304790 ,86.7 ,77 ,9.3 ,6.3 ,84.3,-87.5 ,-3.6 ,-74.3
304880 ,88.6 ,79 ,9.3 ,6.3 ,81.2,-87.5 ,-3.6 ,-74.1
304970 ,88.6 ,79 ,8.3 ,6.3 ,81.2,-87.5 ,-3.7 ,-74.0
305090 ,88.6 ,79 ,8.3 ,6.3 ,82.8,-87.5 ,-3.8 ,-73.9
305180 ,89.6 ,79 ,8.3 ,6.3 ,82.8,-87.5 ,-3.8 ,-73.8
305270 ,87.7 ,78 ,9.3 ,5.0 ,82.8,-87.5 ,-3.8 ,-73.6
305390 ,87.7 ,78 ,10.4 ,7.5 ,81.2,-87.6 ,-3.8 ,-73.5
305480 ,86.7 ,78 ,8.3 ,7.5 ,84.3,-87.7 ,-3.9 ,-73.6
305600 ,87.7 ,78 ,9.3 ,6.3 ,84.3,-87.7 ,-4.0 ,-73.6
305690 ,87.7 ,77 ,10.4 ,6.3 ,84.3,-87.8 ,-4.1 ,-73.6
305780 ,86.7 ,78 ,10.4 ,6.3 ,82.8,-87.8 ,-4.2 ,-73.5
305900 ,88.6 ,79 ,8.3 ,5.0 ,79.6,-87.9 ,-4.2 ,-73.4
305990 ,86.7 ,78 ,10.4 ,6.3 ,84.3,-87.9 ,-4.2 ,-73.3
306080 ,86.7 ,78 ,10.4 ,6.3 ,82.8,-87.9 ,-4.2 ,-73.2
306200 ,87.7 ,77 ,10.4 ,7.5 ,82.8,-88.0 ,-4.3 ,-73.1
306290 ,88.6 ,79 ,8.3 ,6.3 ,81.2,-88.1 ,-4.4 ,-72.9
306380 ,88.6 ,79 ,8.3 ,5.0 ,81.2,-88.1 ,-4.4 ,-72.8
306500 ,88.6 ,79 ,9.3 ,6.3 ,81.2,-88.2 ,-4.5 ,-72.8
306590 ,87.7 ,79 ,10.4 ,7.5 ,81.2,-88.2 ,-4.6 ,-72.7
306680 ,87.7 ,78 ,9.3 ,5.0 ,82.8,-88.3 ,-4.7 ,-72.7
306800 ,87.7 ,78 ,10.4 ,7.5 ,81.2,-88.4 ,-4.8 ,-72.6
306890 ,87.7 ,79 ,9.3 ,6.3 ,82.8,-88.5 ,-4.9 ,-72.5
306980 ,86.7 ,78 ,10.4 ,7.5 ,81.2,-88.5 ,-4.9 ,-72.5
307100 ,88.6 ,79 ,9.3 ,6.3 ,81.2,-88.6 ,-5.0 ,-72.5
307170 ,88.6 ,78 ,10.4 ,6.3 ,79.6,-88.6 ,-5.0 ,-72.5
307280 ,88.6 ,79 ,9.3 ,6.3 ,81.2,-88.7 ,-5.1 ,-72.4
307400 ,87.7 ,79 ,9.3 ,7.5 ,81.2,-88.9 ,-5.1 ,-72.3
307490 ,89.6 ,79 ,9.3 ,5.0 ,81.2,-88.9 ,-5.2 ,-72.3
307580 ,87.7 ,77 ,10.4 ,6.3 ,84.3,-88.9 ,-5.3 ,-72.3
307700 ,88.6 ,79 ,9.3 ,6.3 ,81.2,-88.9 ,-5.4 ,-72.2
307790 ,88.6 ,79 ,10.4 ,6.3 ,81.2,-89.0 ,-5.4 ,-72.1
307880 ,88.6 ,79 ,9.3 ,6.3 ,82.8,-89.0 ,-5.4 ,-72.1
308000 ,88.6 ,78 ,8.3 ,5.0 ,81.2,-89.0 ,-5.4 ,-72.1
308090 ,87.7 ,78 ,9.3 ,6.3 ,81.2,-88.9 ,-5.4 ,-72.2
308180 ,88.6 ,79 ,9.3 ,7.5 ,79.6,-88.9 ,-5.3 ,-72.2
308300 ,87.7 ,79 ,8.3 ,5.0 ,81.2,-88.9 ,-5.3 ,-72.1
308390 ,88.6 ,78 ,8.3 ,6.3 ,82.8,-89.0 ,-5.4 ,-72.1
308480 ,87.7 ,77 ,10.4 ,6.3 ,81.2,-89.0 ,-5.5 ,-72.1
308600 ,87.7 ,78 ,9.3 ,7.5 ,81.2,-89.1 ,-5.6 ,-72.0
308690 ,87.7 ,78 ,9.3 ,6.3 ,81.2,-89.1 ,-5.6 ,-72.0
308780 ,86.7 ,78 ,10.4 ,6.3 ,82.8,-89.1 ,-5.6 ,-72.0
308900 ,87.7 ,78 ,10.4 ,7.5 ,81.2,-89.1 ,-5.6 ,-72.0
308990 ,86.7 ,77 ,9.3 ,6.3 ,81.2,-89.2 ,-5.5 ,-72.0
309110 ,87.7 ,78 ,10.4 ,7.5 ,79.6,-89.2 ,-5.5 ,-72.0
309200 ,87.7 ,79 ,10.4 ,7.5 ,81.2,-89.2 ,-5.4 ,-72.0
309290 ,88.6 ,77 ,10.4 ,7.5 ,79.6,-89.3 ,-5.4 ,-72.0
309410 ,87.7 ,78 ,9.3 ,5.0 ,81.2,-89.3 ,-5.4 ,-71.9
309500 ,87.7 ,78 ,9.3 ,7.5 ,81.2,-89.3 ,-5.4 ,-71.8
309590 ,88.6 ,79 ,9.3 ,6.3 ,79.6,-89.4 ,-5.4 ,-71.8
309710 ,87.7 ,78 ,9.3 ,6.3 ,81.2,-89.4 ,-5.3 ,-71.8
309800 ,87.7 ,79 ,9.3 ,6.3 ,79.6,-89.4 ,-5.3 ,-71.8
309890 ,88.6 ,79 ,9.3 ,6.3 ,81.2,-89.4 ,-5.3 ,-71.8
310010 ,86.7 ,78 ,10.4 ,6.3 ,84.3,-89.5 ,-5.2 ,-71.8
310100 ,87.7 ,78 ,8.3 ,6.3 ,84.3,-89.4 ,-5.2 ,-71.7
310190 ,86.7 ,78 ,10.4 ,7.5 ,82.8,-89.4 ,-5.2 ,-71.7
310310 ,87.7 ,78 ,10.4 ,7.5 ,82.8,-89.4 ,-5.2 ,-71.6
310400 ,86.7 ,78 ,9.3 ,6.3 ,84.3,-89.4 ,-5.2 ,-71.6
310490 ,86.7 ,78 ,10.4 ,6.3 ,82.8,-89.3 ,-5.3 ,-71.6
310610 ,87.7 ,79 ,9.3 ,5.0 ,81.2,-89.4 ,-5.2 ,-71.6
310700 ,86.7 ,78 ,9.3 ,6.3 ,81.2,-89.4 ,-5.2 ,-71.6
310790 ,88.6 ,79 ,9.3 ,6.3 ,79.6,-89.4 ,-5.1 ,-71.6
