TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAW
706240 ,98.1 ,4 ,2.9 ,20.9 ,69.8,-22.8 ,-46.7 ,32.2
706360 ,97.2 ,3 ,4.9 ,22.0 ,69.8,-22.8 ,-46.7 ,32.0
706450 ,97.2 ,3 ,3.9 ,22.0 ,71.2,-22.8 ,-46.7 ,32.0
706540 ,96.2 ,3 ,3.9 ,22.0 ,71.2,-22.9 ,-46.6 ,32.1
706660 ,96.2 ,3 ,4.9 ,20.9 ,71.2,-22.9 ,-46.5 ,31.9
706750 ,98.1 ,4 ,4.9 ,20.9 ,68.4,-22.7 ,-46.4 ,31.7
706840 ,97.2 ,3 ,4.9 ,22.0 ,71.2,-22.5 ,-46.3 ,31.5
706960 ,98.1 ,3 ,3.9 ,19.7 ,69.8,-22.5 ,-46.1 ,31.1
707050 ,98.1 ,4 ,2.9 ,19.7 ,71.2,-22.6 ,-46.0 ,31.1
707140 ,97.2 ,4 ,3.9 ,22.0 ,69.8,-22.6 ,-45.9 ,31.0
707260 ,97.2 ,4 ,2.9 ,19.7 ,71.2,-22.8 ,-46.0 ,31.2
707350 ,97.2 ,3 ,4.9 ,20.9 ,72.6,-23.0 ,-45.9 ,31.5
707440 ,98.1 ,4 ,2.9 ,20.9 ,68.4,-23.3 ,-45.9 ,31.9
707560 ,98.1 ,4 ,2.9 ,19.7 ,71.2,-23.3 ,-46.0 ,31.8
707650 ,97.2 ,3 ,4.9 ,22.0 ,69.8,-23.2 ,-45.9 ,31.8
707770 ,98.1 ,4 ,2.9 ,19.7 ,68.4,-23.2 ,-45.8 ,31.8
707860 ,97.2 ,3 ,4.9 ,22.0 ,69.8,-23.3 ,-45.8 ,31.7
707950 ,96.2 ,3 ,3.9 ,22.0 ,71.2,-23.4 ,-45.8 ,31.7
708070 ,98.1 ,4 ,2.9 ,19.7 ,68.4,-23.5 ,-45.8 ,31.7
708160 ,96.2 ,3 ,3.9 ,20.9 ,71.2,-23.7 ,-46.0 ,31.7
708250 ,98.1 ,3 ,2.9 ,19.7 ,69.8,-23.6 ,-46.0 ,31.3
708370 ,97.2 ,3 ,3.9 ,20.9 ,72.6,-23.6 ,-46.0 ,31.1
708460 ,98.1 ,3 ,4.9 ,22.0 ,69.8,-23.6 ,-46.0 ,30.9
708550 ,96.2 ,4 ,2.9 ,20.9 ,71.2,-23.5 ,-45.9 ,30.8
708670 ,97.2 ,5 ,2.9 ,19.7 ,71.2,-23.6 ,-45.9 ,30.8
708760 ,96.2 ,3 ,3.9 ,22.0 ,71.2,-23.7 ,-45.9 ,30.9
708850 ,97.2 ,4 ,1.9 ,19.7 ,71.2,-23.6 ,-45.9 ,30.7
708970 ,97.2 ,3 ,3.9 ,20.9 ,71.2,-23.6 ,-46.0 ,30.4
709060 ,98.1 ,3 ,1.9 ,20.9 ,71.2,-23.6 ,-46.2 ,30.5
709150 ,97.2 ,4 ,3.9 ,19.7 ,71.2,-23.7 ,-46.3 ,30.6
709270 ,98.1 ,4 ,3.9 ,20.9 ,69.8,-23.8 ,-46.3 ,30.7
709360 ,96.2 ,3 ,4.9 ,20.9 ,69.8,-23.7 ,-46.3 ,30.8
709450 ,96.2 ,3 ,2.9 ,20.9 ,72.6,-23.6 ,-46.3 ,30.8
709570 ,96.2 ,3 ,2.9 ,20.9 ,72.6,-23.6 ,-46.3 ,30.6
