TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAW
337590 ,97.1 ,11 ,5.2 ,7.5 ,79.6,-103.6 ,-5.8 ,-71.8
337710 ,97.1 ,11 ,5.2 ,7.5 ,79.6,-103.6 ,-5.9 ,-71.8
337800 ,98.1 ,10 ,5.2 ,6.3 ,81.2,-103.6 ,-6.1 ,-71.9
337890 ,98.1 ,12 ,4.1 ,6.3 ,79.6,-103.7 ,-6.2 ,-71.9
338010 ,99.0 ,12 ,3.1 ,6.3 ,79.6,-103.7 ,-6.2 ,-71.8
338100 ,97.1 ,10 ,5.2 ,6.3 ,79.6,-103.9 ,-6.3 ,-71.9
338190 ,98.1 ,11 ,4.1 ,6.3 ,81.2,-103.9 ,-6.4 ,-71.9
338310 ,98.1 ,10 ,5.2 ,5.0 ,79.6,-103.9 ,-6.5 ,-71.8
338400 ,99.0 ,11 ,5.2 ,6.3 ,79.6,-104.0 ,-6.6 ,-71.8
338490 ,98.1 ,10 ,5.2 ,7.5 ,79.6,-104.0 ,-6.6 ,-71.8
338610 ,99.0 ,12 ,4.1 ,6.3 ,78.1,-104.1 ,-6.8 ,-71.7
338700 ,98.1 ,11 ,5.2 ,6.3 ,76.5,-104.2 ,-6.8 ,-71.7
338790 ,97.1 ,11 ,5.2 ,7.5 ,79.6,-104.1 ,-6.8 ,-71.7
338910 ,98.1 ,11 ,5.2 ,5.0 ,79.6,-104.2 ,-6.8 ,-71.7
339000 ,97.1 ,10 ,5.2 ,6.3 ,81.2,-104.2 ,-6.8 ,-71.7
339090 ,97.1 ,10 ,5.2 ,6.3 ,81.2,-104.2 ,-6.8 ,-71.8
339210 ,97.1 ,11 ,4.1 ,6.3 ,81.2,-104.1 ,-6.8 ,-71.8
339300 ,98.1 ,11 ,5.2 ,7.5 ,79.6,-104.1 ,-6.7 ,-71.9
339390 ,98.1 ,12 ,4.1 ,7.5 ,78.1,-104.0 ,-6.6 ,-71.9
339510 ,98.1 ,10 ,6.2 ,7.5 ,79.6,-104.0 ,-6.6 ,-71.9
339600 ,97.1 ,11 ,5.2 ,5.0 ,79.6,-104.0 ,-6.6 ,-71.9
339690 ,99.0 ,12 ,5.2 ,6.3 ,78.1,-103.9 ,-6.5 ,-71.8
339810 ,98.1 ,12 ,4.1 ,6.3 ,79.6,-103.9 ,-6.5 ,-71.9
339900 ,97.1 ,11 ,5.2 ,6.3 ,81.2,-104.0 ,-6.6 ,-71.9
339990 ,98.1 ,12 ,5.2 ,3.7 ,79.6,-104.0 ,-6.6 ,-71.8
340110 ,97.1 ,12 ,4.1 ,6.3 ,81.2,-104.0 ,-6.6 ,-71.8
340200 ,98.1 ,11 ,5.2 ,7.5 ,79.6,-104.0 ,-6.6 ,-71.7
340290 ,98.1 ,10 ,5.2 ,6.3 ,81.2,-103.9 ,-6.7 ,-71.7
340410 ,98.1 ,11 ,4.1 ,7.5 ,78.1,-104.0 ,-6.8 ,-71.7
340500 ,97.1 ,10 ,4.1 ,6.3 ,79.6,-103.9 ,-6.9 ,-71.8
340590 ,99.0 ,12 ,4.1 ,5.0 ,79.6,-104.0 ,-6.9 ,-71.8
340710 ,98.1 ,10 ,6.2 ,7.5 ,78.1,-104.0 ,-6.9 ,-71.9
340800 ,98.1 ,12 ,4.1 ,5.0 ,79.6,-104.0 ,-7.0 ,-72.0
340890 ,96.2 ,11 ,5.2 ,6.3 ,79.6,-104.0 ,-7.0 ,-72.1
341010 ,98.1 ,12 ,4.1 ,5.0 ,79.6,-103.9 ,-7.1 ,-72.1
341100 ,98.1 ,12 ,4.1 ,5.0 ,79.6,-103.9 ,-7.1 ,-72.2
341190 ,97.1 ,11 ,6.2 ,7.5 ,79.6,-104.0 ,-7.1 ,-72.2
341310 ,97.1 ,11 ,6.2 ,7.5 ,79.6,-104.0 ,-7.1 ,-72.1
341400 ,98.1 ,12 ,4.1 ,7.5 ,79.6,-104.0 ,-7.1 ,-72.1
341490 ,98.1 ,11 ,4.1 ,5.0 ,81.2,-104.0 ,-7.0 ,-72.2
341610 ,97.1 ,10 ,4.1 ,5.0 ,79.6,-104.0 ,-6.9 ,-72.3
341700 ,98.1 ,10 ,5.2 ,7.5 ,78.1,-104.1 ,-6.9 ,-72.3
341790 ,98.1 ,12 ,5.2 ,3.7 ,81.2,-104.2 ,-6.9 ,-72.3
341910 ,97.1 ,11 ,5.2 ,6.3 ,79.6,-104.2 ,-6.8 ,-72.3
