TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAW
735310 ,38.8 ,90 ,85.1 ,87.2 ,52.0,-51.6 ,-69.7 ,45.8
735430 ,37.9 ,88 ,84.1 ,89.5 ,53.4,-51.1 ,-69.7 ,45.2
735520 ,37.0 ,88 ,85.1 ,89.5 ,52.0,-50.8 ,-69.9 ,44.8
735610 ,37.9 ,87 ,85.1 ,88.3 ,53.4,-50.6 ,-70.0 ,44.7
735730 ,37.9 ,88 ,85.1 ,89.5 ,52.0,-50.6 ,-70.0 ,44.6
735820 ,37.9 ,87 ,85.1 ,89.5 ,52.0,-50.6 ,-69.9 ,44.6
735910 ,37.0 ,87 ,85.1 ,88.3 ,53.4,-50.6 ,-69.9 ,44.7
736030 ,38.8 ,88 ,85.1 ,88.3 ,52.0,-50.6 ,-70.0 ,44.6
736120 ,38.8 ,88 ,85.1 ,90.6 ,52.0,-50.4 ,-70.1 ,44.5
736210 ,37.9 ,87 ,85.1 ,88.3 ,50.6,-50.2 ,-70.2 ,44.3
736330 ,37.9 ,88 ,84.1 ,87.2 ,53.4,-50.2 ,-70.4 ,44.3
736420 ,37.9 ,90 ,84.1 ,87.2 ,52.0,-50.3 ,-70.4 ,44.4
736540 ,37.9 ,88 ,85.1 ,87.2 ,52.0,-50.6 ,-70.4 ,44.6
736630 ,37.9 ,87 ,85.1 ,88.3 ,53.4,-50.9 ,-70.4 ,44.8
736720 ,37.9 ,88 ,85.1 ,89.5 ,52.0,-51.1 ,-70.4 ,45.0
736840 ,37.9 ,88 ,86.1 ,89.5 ,52.0,-51.2 ,-70.5 ,45.2
736930 ,39.8 ,89 ,84.1 ,88.3 ,52.0,-51.3 ,-70.5 ,45.3
737020 ,37.9 ,89 ,84.1 ,87.2 ,52.0,-51.3 ,-70.4 ,45.2
737140 ,39.8 ,88 ,84.1 ,88.3 ,52.0,-51.3 ,-70.4 ,45.2
737230 ,38.8 ,89 ,84.1 ,88.3 ,50.6,-51.2 ,-70.4 ,45.2
737320 ,38.8 ,88 ,83.1 ,88.3 ,52.0,-51.3 ,-70.3 ,45.1
737440 ,37.9 ,87 ,85.1 ,88.3 ,53.4,-51.4 ,-70.1 ,45.1
737530 ,37.9 ,89 ,83.1 ,88.3 ,53.4,-51.3 ,-70.0 ,45.0
737620 ,38.8 ,88 ,84.1 ,87.2 ,52.0,-51.1 ,-70.1 ,44.9
737740 ,37.0 ,88 ,85.1 ,88.3 ,52.0,-51.2 ,-70.4 ,45.0
737830 ,38.8 ,89 ,84.1 ,88.3 ,50.6,-51.4 ,-70.5 ,45.2
737920 ,38.8 ,88 ,84.1 ,88.3 ,52.0,-51.7 ,-70.5 ,45.5
738040 ,37.0 ,88 ,84.1 ,89.5 ,54.7,-52.1 ,-70.5 ,45.9
738130 ,38.8 ,89 ,84.1 ,87.2 ,52.0,-52.0 ,-70.6 ,45.7
738220 ,39.8 ,89 ,83.1 ,88.3 ,52.0,-51.7 ,-70.7 ,45.2
738340 ,39.8 ,89 ,84.1 ,87.2 ,50.6,-51.3 ,-71.1 ,44.6
738430 ,37.9 ,89 ,84.1 ,87.2 ,52.0,-51.0 ,-71.2 ,44.0
738520 ,37.0 ,88 ,85.1 ,88.3 ,52.0,-50.5 ,-71.3 ,43.5
738640 ,37.0 ,88 ,85.1 ,89.5 ,52.0,-50.1 ,-71.4 ,43.1
738730 ,38.8 ,89 ,84.1 ,88.3 ,52.0,-50.0 ,-71.5 ,43.0
738820 ,37.9 ,88 ,84.1 ,88.3 ,53.4,-49.7 ,-71.5 ,42.7
738940 ,37.0 ,88 ,85.1 ,88.3 ,52.0,-49.5 ,-71.4 ,42.4
739030 ,37.9 ,89 ,84.1 ,88.3 ,52.0,-49.3 ,-71.5 ,42.1
739120 ,37.9 ,88 ,83.1 ,88.3 ,52.0,-49.0 ,-71.6 ,41.9
739240 ,37.9 ,88 ,84.1 ,88.3 ,53.4,-49.2 ,-71.5 ,42.0
739330 ,37.9 ,87 ,84.1 ,88.3 ,52.0,-49.5 ,-71.5 ,42.3
739420 ,38.8 ,87 ,85.1 ,87.2 ,52.0,-49.8 ,-71.5 ,42.5
739540 ,39.8 ,89 ,84.1 ,88.3 ,50.6,-50.0 ,-71.6 ,42.7
739630 ,39.8 ,87 ,84.1 ,88.3 ,52.0,-50.2 ,-71.6 ,42.9
739750 ,39.8 ,88 ,84.1 ,87.2 ,52.0,-50.3 ,-71.8 ,43.0
739840 ,39.8 ,88 ,85.1 ,89.5 ,50.6,-50.4 ,-71.9 ,43.1
739930 ,38.8 ,88 ,85.1 ,88.3 ,50.6,-50.8 ,-71.9 ,43.3
740050 ,38.8 ,89 ,83.1 ,87.2 ,52.0,-50.8 ,-71.8 ,43.2
740140 ,38.8 ,89 ,84.1 ,89.5 ,52.0,-50.7 ,-71.7 ,43.0
740210 ,38.8 ,89 ,84.1 ,88.3 ,49.3,-50.6 ,-71.7 ,42.9
740350 ,37.9 ,87 ,84.1 ,87.2 ,52.0,-50.6 ,-71.6 ,42.8
740440 ,37.9 ,87 ,84.1 ,88.3 ,52.0,-50.3 ,-71.5 ,42.7
740530 ,37.0 ,87 ,84.1 ,88.3 ,53.4,-50.9 ,-71.5 ,43.3
740650 ,37.9 ,88 ,84.1 ,88.3 ,50.6,-51.7 ,-71.4 ,44.1
740740 ,38.8 ,88 ,84.1 ,87.2 ,50.6,-52.0 ,-71.5 ,44.4
740830 ,38.8 ,88 ,84.1 ,87.2 ,52.0,-51.8 ,-71.3 ,44.1
740950 ,38.8 ,88 ,83.1 ,88.3 ,50.6,-51.7 ,-71.2 ,44.1
741040 ,38.8 ,88 ,84.1 ,87.2 ,50.6,-51.7 ,-71.3 ,44.1
741130 ,37.9 ,89 ,84.1 ,88.3 ,52.0,-51.9 ,-71.3 ,44.4
741250 ,37.0 ,88 ,84.1 ,88.3 ,53.4,-52.2 ,-71.2 ,44.7
741340 ,37.9 ,87 ,85.1 ,88.3 ,50.6,-52.5 ,-71.0 ,45.1
741430 ,37.9 ,87 ,84.1 ,88.3 ,52.0,-52.8 ,-71.0 ,45.5
741550 ,37.0 ,88 ,84.1 ,87.2 ,52.0,-53.0 ,-71.0 ,46.0
741640 ,37.9 ,88 ,85.1 ,89.5 ,49.3,-53.3 ,-71.2 ,46.4
741730 ,37.9 ,87 ,84.1 ,88.3 ,50.6,-54.0 ,-71.4 ,47.3
741850 ,37.9 ,87 ,84.1 ,88.3 ,52.0,-54.6 ,-71.4 ,48.0
741940 ,38.8 ,88 ,83.1 ,88.3 ,52.0,-55.0 ,-71.4 ,48.3
742030 ,37.9 ,88 ,84.1 ,88.3 ,50.6,-55.3 ,-71.4 ,48.5
742150 ,37.9 ,88 ,84.1 ,88.3 ,52.0,-55.9 ,-71.6 ,49.1
742240 ,37.9 ,88 ,84.1 ,88.3 ,52.0,-56.1 ,-71.4 ,49.3
742330 ,37.9 ,88 ,84.1 ,87.2 ,50.6,-56.3 ,-71.3 ,49.6
742450 ,38.8 ,88 ,83.1 ,88.3 ,49.3,-56.5 ,-71.3 ,49.9
742540 ,37.9 ,88 ,84.1 ,88.3 ,52.0,-56.8 ,-71.3 ,50.2
742630 ,37.0 ,87 ,84.1 ,87.2 ,52.0,-56.9 ,-71.3 ,50.3
742750 ,37.9 ,88 ,85.1 ,89.5 ,50.6,-57.3 ,-71.7 ,50.7
742840 ,37.9 ,88 ,85.1 ,88.3 ,49.3,-57.4 ,-71.9 ,50.7
742930 ,37.9 ,88 ,84.1 ,87.2 ,52.0,-57.8 ,-72.0 ,50.9
743050 ,37.0 ,88 ,84.1 ,88.3 ,52.0,-57.6 ,-72.9 ,50.2
743140 ,37.0 ,87 ,85.1 ,88.3 ,52.0,-58.0 ,-73.1 ,50.5
743260 ,37.0 ,88 ,85.1 ,89.5 ,50.6,-57.7 ,-73.0 ,49.8
743350 ,36.1 ,88 ,84.1 ,88.3 ,50.6,-58.1 ,-72.9 ,50.0
743440 ,37.0 ,87 ,84.1 ,88.3 ,50.6,-58.3 ,-72.8 ,50.0
743560 ,37.9 ,87 ,84.1 ,89.5 ,50.6,-57.8 ,-73.2 ,49.5
743650 ,37.0 ,89 ,84.1 ,88.3 ,49.3,-57.9 ,-73.3 ,49.4
743740 ,37.9 ,88 ,84.1 ,87.2 ,50.6,-58.6 ,-73.5 ,50.0
743860 ,37.0 ,87 ,85.1 ,87.2 ,52.0,-58.7 ,-73.0 ,50.1
743950 ,37.0 ,87 ,84.1 ,88.3 ,50.6,-57.7 ,-73.1 ,49.2
744040 ,37.0 ,87 ,84.1 ,89.5 ,50.6,-56.9 ,-73.1 ,48.4
744160 ,37.9 ,88 ,85.1 ,89.5 ,50.6,-56.9 ,-73.4 ,48.3
744250 ,37.9 ,88 ,84.1 ,87.2 ,50.6,-57.6 ,-73.4 ,48.9
744340 ,37.0 ,87 ,83.1 ,88.3 ,53.4,-57.7 ,-73.3 ,48.9
744460 ,36.1 ,87 ,84.1 ,88.3 ,52.0,-57.7 ,-73.1 ,48.7
744550 ,37.0 ,87 ,85.1 ,88.3 ,50.6,-57.5 ,-73.0 ,48.4
744640 ,37.0 ,87 ,83.1 ,88.3 ,53.4,-57.0 ,-72.9 ,47.7
744760 ,37.0 ,88 ,84.1 ,88.3 ,49.3,-57.1 ,-72.9 ,47.9
744850 ,38.8 ,88 ,83.1 ,87.2 ,50.6,-57.6 ,-73.0 ,48.5
744940 ,37.0 ,87 ,84.1 ,88.3 ,52.0,-57.8 ,-72.9 ,48.8
745060 ,36.1 ,87 ,84.1 ,87.2 ,52.0,-57.9 ,-72.9 ,49.1
