TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAW
367190 ,46.7 ,80 ,82.2 ,89.8 ,39.0,-96.4 ,-10.9 ,-58.2
367310 ,48.5 ,80 ,83.3 ,89.8 ,39.0,-96.3 ,-10.9 ,-58.2
367400 ,48.5 ,80 ,82.2 ,89.8 ,37.5,-96.2 ,-10.8 ,-58.2
367490 ,47.6 ,81 ,82.2 ,89.8 ,39.0,-96.2 ,-10.7 ,-58.4
367610 ,47.6 ,79 ,83.3 ,92.4 ,37.5,-96.4 ,-10.4 ,-58.6
367700 ,48.5 ,80 ,81.2 ,89.8 ,37.5,-96.7 ,-10.2 ,-58.6
367790 ,47.6 ,79 ,83.3 ,89.8 ,40.6,-96.9 ,-9.8 ,-58.4
367910 ,45.7 ,80 ,82.2 ,89.8 ,39.0,-97.2 ,-9.3 ,-58.2
368000 ,46.7 ,79 ,83.3 ,91.1 ,39.0,-97.5 ,-8.7 ,-58.2
368090 ,46.7 ,80 ,83.3 ,91.1 ,37.5,-97.6 ,-8.5 ,-58.4
368210 ,47.6 ,79 ,84.3 ,89.8 ,35.9,-97.7 ,-8.6 ,-58.6
368300 ,46.7 ,79 ,83.3 ,91.1 ,40.6,-97.7 ,-8.4 ,-58.7
368390 ,46.7 ,80 ,81.2 ,89.8 ,39.0,-97.9 ,-8.2 ,-58.7
368510 ,48.5 ,80 ,84.3 ,89.8 ,35.9,-98.3 ,-8.1 ,-58.2
368600 ,46.7 ,79 ,84.3 ,92.4 ,39.0,-98.4 ,-8.2 ,-57.9
368690 ,48.5 ,80 ,82.2 ,88.6 ,39.0,-98.2 ,-8.4 ,-57.9
368810 ,46.7 ,79 ,84.3 ,91.1 ,39.0,-98.3 ,-8.4 ,-58.1
368900 ,47.6 ,79 ,84.3 ,92.4 ,39.0,-98.3 ,-8.4 ,-58.2
368990 ,47.6 ,79 ,82.2 ,91.1 ,39.0,-98.3 ,-8.6 ,-58.3
369110 ,48.5 ,79 ,82.2 ,89.8 ,39.0,-98.3 ,-8.5 ,-58.3
369200 ,47.6 ,80 ,82.2 ,89.8 ,39.0,-98.4 ,-8.3 ,-58.4
369290 ,47.6 ,80 ,83.3 ,91.1 ,37.5,-98.4 ,-8.4 ,-58.3
369410 ,48.5 ,80 ,82.2 ,88.6 ,39.0,-99.4 ,-8.3 ,-57.7
369500 ,49.5 ,80 ,81.2 ,89.8 ,37.5,-99.1 ,-8.3 ,-57.7
369590 ,47.6 ,79 ,83.3 ,91.1 ,40.6,-99.9 ,-8.9 ,-57.4
369710 ,47.6 ,79 ,82.2 ,89.8 ,40.6,-100.5 ,-9.4 ,-57.2
369800 ,47.6 ,80 ,82.2 ,89.8 ,37.5,-100.2 ,-9.3 ,-57.6
369900 ,48.5 ,80 ,82.2 ,89.8 ,35.9,-99.6 ,-9.0 ,-57.8
370010 ,47.6 ,79 ,82.2 ,89.8 ,39.0,-99.2 ,-8.8 ,-57.5
370100 ,47.6 ,79 ,82.2 ,89.8 ,39.0,-99.3 ,-8.6 ,-57.1
370220 ,48.5 ,80 ,83.3 ,91.1 ,37.5,-99.4 ,-8.5 ,-57.1
370310 ,48.5 ,79 ,83.3 ,89.8 ,34.3,-99.4 ,-8.6 ,-57.2
370400 ,47.6 ,79 ,83.3 ,91.1 ,37.5,-99.2 ,-8.6 ,-57.1
370520 ,47.6 ,80 ,81.2 ,89.8 ,39.0,-99.2 ,-8.6 ,-57.2
370610 ,46.7 ,79 ,83.3 ,91.1 ,39.0,-99.3 ,-8.7 ,-57.2
370700 ,47.6 ,79 ,83.3 ,89.8 ,39.0,-99.3 ,-8.8 ,-57.2
370820 ,47.6 ,79 ,82.2 ,88.6 ,39.0,-99.1 ,-8.7 ,-57.4
370910 ,48.5 ,80 ,82.2 ,89.8 ,37.5,-99.0 ,-8.6 ,-57.4
371000 ,48.5 ,79 ,84.3 ,91.1 ,35.9,-99.0 ,-8.7 ,-57.6
371120 ,46.7 ,79 ,82.2 ,89.8 ,39.0,-99.0 ,-8.8 ,-57.8
371210 ,47.6 ,79 ,82.2 ,88.6 ,35.9,-99.1 ,-8.9 ,-57.9
