TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAW
583320 ,96.2 ,89 ,86.1 ,89.5 ,46.5,54.0 ,-15.3 ,-99.5
583440 ,97.2 ,90 ,87.1 ,88.3 ,46.5,53.9 ,-15.3 ,-99.3
583530 ,98.1 ,90 ,86.1 ,88.3 ,45.2,54.0 ,-15.3 ,-99.3
583620 ,97.2 ,89 ,86.1 ,89.5 ,45.2,53.8 ,-15.3 ,-99.3
583740 ,97.2 ,88 ,88.1 ,90.6 ,45.2,53.8 ,-15.3 ,-99.5
583830 ,97.2 ,89 ,88.1 ,89.5 ,43.8,53.6 ,-15.3 ,-99.5
583920 ,97.2 ,90 ,87.1 ,88.3 ,46.5,53.5 ,-15.4 ,-99.6
584040 ,97.2 ,89 ,86.1 ,88.3 ,47.9,53.5 ,-15.6 ,-99.7
584130 ,97.2 ,90 ,87.1 ,89.5 ,46.5,53.5 ,-15.6 ,-99.8
584220 ,97.2 ,89 ,88.1 ,88.3 ,46.5,53.6 ,-15.7 ,-100.0
584340 ,96.2 ,88 ,87.1 ,89.5 ,49.3,53.6 ,-15.7 ,-100.1
584430 ,97.2 ,89 ,88.1 ,90.6 ,49.3,53.6 ,-15.7 ,-100.2
584520 ,97.2 ,89 ,88.1 ,89.5 ,47.9,53.5 ,-15.7 ,-100.2
584640 ,96.2 ,89 ,87.1 ,88.3 ,49.3,53.4 ,-16.0 ,-100.3
584730 ,96.2 ,89 ,88.1 ,90.6 ,49.3,53.5 ,-16.4 ,-100.3
584820 ,97.2 ,90 ,87.1 ,89.5 ,47.9,53.6 ,-16.5 ,-100.4
584940 ,97.2 ,89 ,87.1 ,89.5 ,47.9,53.7 ,-16.4 ,-100.6
585030 ,96.2 ,89 ,87.1 ,90.6 ,49.3,53.7 ,-16.6 ,-100.7
585120 ,96.2 ,88 ,87.1 ,90.6 ,47.9,53.8 ,-16.6 ,-100.8
585240 ,97.2 ,89 ,86.1 ,88.3 ,47.9,54.1 ,-16.6 ,-101.0
585330 ,96.2 ,89 ,86.1 ,88.3 ,49.3,54.2 ,-16.7 ,-101.2
585420 ,97.2 ,90 ,87.1 ,89.5 ,47.9,54.5 ,-16.6 ,-101.3
585540 ,96.2 ,89 ,87.1 ,89.5 ,47.9,54.6 ,-16.6 ,-101.3
585630 ,95.3 ,89 ,87.1 ,89.5 ,47.9,54.7 ,-16.6 ,-101.4
585720 ,96.2 ,90 ,87.1 ,89.5 ,49.3,54.9 ,-16.6 ,-101.5
585840 ,97.2 ,90 ,86.1 ,88.3 ,47.9,55.0 ,-16.7 ,-101.6
585930 ,96.2 ,89 ,88.1 ,89.5 ,49.3,55.1 ,-16.8 ,-101.8
586050 ,97.2 ,89 ,85.1 ,88.3 ,47.9,55.1 ,-16.7 ,-102.0
586140 ,96.2 ,89 ,87.1 ,89.5 ,47.9,55.1 ,-16.6 ,-102.1
586230 ,97.2 ,89 ,87.1 ,88.3 ,47.9,55.1 ,-16.5 ,-102.1
586350 ,96.2 ,88 ,88.1 ,89.5 ,46.5,54.9 ,-16.4 ,-101.9
586440 ,97.2 ,90 ,86.1 ,88.3 ,47.9,54.8 ,-16.4 ,-101.8
