TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAW
193940 ,87.5 ,80 ,84.0 ,94.9 ,18.7,-72.0 ,0.4 ,-45.3
194060 ,87.5 ,79 ,84.0 ,94.9 ,20.3,-71.9 ,0.1 ,-45.2
194150 ,89.5 ,80 ,82.9 ,93.6 ,18.7,-71.7 ,-0.0 ,-45.2
194240 ,87.5 ,79 ,82.9 ,93.6 ,20.3,-71.6 ,-0.2 ,-45.2
194360 ,88.5 ,79 ,85.1 ,94.9 ,17.1,-71.4 ,-0.4 ,-45.1
194450 ,88.5 ,79 ,84.0 ,93.6 ,17.1,-71.4 ,-0.6 ,-45.1
194540 ,87.5 ,78 ,84.0 ,94.9 ,20.3,-71.3 ,-0.8 ,-45.1
194660 ,88.5 ,80 ,82.9 ,94.9 ,17.1,-71.2 ,-1.0 ,-45.2
194750 ,89.5 ,79 ,81.9 ,93.6 ,18.7,-71.3 ,-1.3 ,-45.3
194840 ,88.5 ,80 ,84.0 ,94.9 ,17.1,-71.2 ,-1.4 ,-45.1
194960 ,87.5 ,80 ,84.0 ,96.2 ,18.7,-71.2 ,-1.6 ,-45.2
195050 ,87.5 ,78 ,84.0 ,93.6 ,20.3,-71.2 ,-1.6 ,-45.3
195140 ,88.5 ,80 ,82.9 ,93.6 ,18.7,-71.2 ,-1.7 ,-45.4
195260 ,87.5 ,79 ,85.1 ,96.2 ,18.7,-71.2 ,-1.8 ,-45.6
195350 ,87.5 ,78 ,84.0 ,93.6 ,21.8,-71.2 ,-1.8 ,-45.7
195440 ,87.5 ,80 ,82.9 ,93.6 ,18.7,-71.2 ,-1.7 ,-45.6
195560 ,88.5 ,80 ,82.9 ,93.6 ,17.1,-71.2 ,-1.6 ,-45.5
195650 ,88.5 ,80 ,84.0 ,93.6 ,17.1,-71.1 ,-1.5 ,-45.4
195740 ,87.5 ,80 ,82.9 ,94.9 ,17.1,-71.2 ,-1.5 ,-45.3
195860 ,87.5 ,78 ,82.9 ,92.4 ,18.7,-71.2 ,-1.5 ,-45.3
195950 ,88.5 ,78 ,84.0 ,94.9 ,17.1,-71.2 ,-1.5 ,-45.2
196040 ,89.5 ,79 ,84.0 ,93.6 ,18.7,-71.2 ,-1.5 ,-45.2
196160 ,86.4 ,79 ,82.9 ,94.9 ,18.7,-71.1 ,-1.5 ,-45.2
196250 ,88.5 ,79 ,81.9 ,93.6 ,18.7,-71.2 ,-1.5 ,-45.2
196340 ,87.5 ,79 ,84.0 ,94.9 ,18.7,-71.2 ,-1.4 ,-45.1
