TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
120490 ,98.9 ,98 ,97.7 ,86.2 ,89.8,-62.2 ,-9.8 ,25.6
120610 ,98.9 ,98 ,97.7 ,85.0 ,89.8,-60.8 ,-8.1 ,24.9
120700 ,98.9 ,97 ,97.7 ,86.2 ,89.8,-59.9 ,-6.9 ,24.2
120790 ,98.9 ,97 ,97.7 ,86.2 ,89.8,-60.3 ,-5.8 ,24.6
120910 ,98.9 ,97 ,97.7 ,85.0 ,91.1,-60.2 ,-5.0 ,24.8
121000 ,98.9 ,97 ,97.7 ,85.0 ,91.1,-60.4 ,-4.8 ,24.8
121090 ,98.9 ,98 ,96.6 ,86.2 ,89.8,-60.5 ,-5.1 ,25.2
121210 ,98.9 ,98 ,97.7 ,85.0 ,91.1,-60.6 ,-5.5 ,25.5
121300 ,98.9 ,97 ,97.7 ,85.0 ,89.8,-60.1 ,-5.9 ,26.0
121390 ,98.9 ,97 ,97.7 ,85.0 ,89.8,-59.9 ,-5.7 ,26.1
121510 ,98.9 ,98 ,97.7 ,85.0 ,89.8,-59.6 ,-5.3 ,26.7
121600 ,98.9 ,97 ,97.7 ,85.0 ,89.8,-59.3 ,-5.0 ,27.0
121690 ,100.0 ,98 ,97.7 ,85.0 ,89.8,-58.9 ,-4.7 ,27.5
121810 ,98.9 ,98 ,97.7 ,85.0 ,89.8,-58.2 ,-4.3 ,27.8
121900 ,97.8 ,97 ,97.7 ,86.2 ,89.8,-57.5 ,-4.3 ,28.2
121990 ,97.8 ,97 ,97.7 ,86.2 ,89.8,-56.8 ,-4.3 ,28.6
122110 ,98.9 ,97 ,97.7 ,86.2 ,89.8,-56.2 ,-4.1 ,28.8
122200 ,98.9 ,98 ,97.7 ,83.7 ,89.8,-56.2 ,-3.7 ,29.0
122290 ,98.9 ,97 ,97.7 ,85.0 ,89.8,-56.3 ,-3.2 ,29.1
122410 ,98.9 ,97 ,97.7 ,86.2 ,89.8,-56.0 ,-3.2 ,29.5
122500 ,97.8 ,97 ,97.7 ,86.2 ,91.1,-55.6 ,-3.2 ,29.8
122590 ,98.9 ,97 ,97.7 ,85.0 ,89.8,-55.3 ,-3.6 ,30.1
122710 ,98.9 ,97 ,97.7 ,85.0 ,89.8,-55.5 ,-3.0 ,30.6
122800 ,98.9 ,98 ,96.6 ,85.0 ,89.8,-55.4 ,-2.7 ,31.1
