TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
106940 ,97.2 ,97 ,1.8 ,90.2 ,96.2,-39.8 ,-16.7 ,96.0
107060 ,96.3 ,97 ,1.8 ,89.3 ,97.5,-39.9 ,-16.8 ,95.9
107150 ,97.2 ,97 ,1.8 ,90.2 ,97.5,-39.6 ,-16.8 ,95.9
107240 ,97.2 ,97 ,0.9 ,90.2 ,97.5,-39.7 ,-16.7 ,96.1
107360 ,97.2 ,97 ,0.9 ,90.2 ,97.5,-39.6 ,-16.7 ,96.4
107450 ,97.2 ,97 ,1.8 ,90.2 ,96.2,-39.6 ,-17.8 ,96.9
107540 ,96.3 ,97 ,0.9 ,89.3 ,96.2,-39.8 ,-17.5 ,96.9
107660 ,97.2 ,96 ,1.8 ,90.2 ,97.5,-39.8 ,-16.9 ,96.9
107750 ,96.3 ,97 ,0.9 ,89.3 ,96.2,-39.6 ,-16.7 ,97.1
107840 ,96.3 ,97 ,1.8 ,89.3 ,96.2,-39.6 ,-16.6 ,97.4
107960 ,97.2 ,96 ,1.8 ,90.2 ,96.2,-39.6 ,-16.4 ,97.6
108050 ,97.2 ,96 ,0.9 ,89.3 ,97.5,-39.5 ,-16.4 ,97.7
108140 ,97.2 ,97 ,1.8 ,89.3 ,96.2,-39.5 ,-16.7 ,98.2
108260 ,97.2 ,96 ,0.9 ,89.3 ,97.5,-39.5 ,-16.7 ,98.5
108350 ,97.2 ,96 ,0.9 ,89.3 ,96.2,-39.4 ,-16.8 ,98.5
108440 ,97.2 ,97 ,1.8 ,89.3 ,97.5,-39.4 ,-16.9 ,98.7
108560 ,96.3 ,97 ,1.8 ,89.3 ,96.2,-39.5 ,-16.8 ,98.9
108650 ,97.2 ,96 ,0.9 ,89.3 ,97.5,-39.4 ,-16.9 ,99.2
108740 ,97.2 ,96 ,0.9 ,90.2 ,96.2,-39.3 ,-16.9 ,99.3
108860 ,97.2 ,97 ,0.9 ,89.3 ,96.2,-39.1 ,-17.3 ,99.6
108950 ,97.2 ,96 ,1.8 ,90.2 ,96.2,-39.1 ,-17.6 ,99.7
109040 ,97.2 ,96 ,0.9 ,88.4 ,96.2,-38.9 ,-17.8 ,99.9
109160 ,96.3 ,96 ,0.9 ,89.3 ,97.5,-38.9 ,-17.7 ,100.3
109250 ,97.2 ,96 ,0.9 ,90.2 ,97.5,-38.9 ,-17.8 ,100.6
109340 ,97.2 ,96 ,0.9 ,89.3 ,96.2,-38.9 ,-17.8 ,100.8
109460 ,97.2 ,97 ,1.8 ,89.3 ,95.0,-38.7 ,-17.9 ,100.9
109550 ,97.2 ,97 ,0.9 ,89.3 ,96.2,-38.7 ,-17.9 ,101.1
109640 ,97.2 ,97 ,0.9 ,89.3 ,95.0,-38.7 ,-18.0 ,101.3
109760 ,97.2 ,97 ,0.9 ,90.2 ,96.2,-38.7 ,-18.1 ,101.6
109850 ,97.2 ,97 ,0.9 ,90.2 ,96.2,-38.7 ,-18.3 ,102.0
109940 ,97.2 ,96 ,0.9 ,90.2 ,96.2,-38.8 ,-18.3 ,102.2
110060 ,97.2 ,96 ,1.8 ,90.2 ,96.2,-39.0 ,-18.4 ,102.4
110150 ,96.3 ,97 ,0.9 ,89.3 ,96.2,-38.8 ,-18.5 ,102.2
110270 ,97.2 ,96 ,0.9 ,90.2 ,96.2,-39.1 ,-17.9 ,102.7
110360 ,97.2 ,97 ,0.9 ,90.2 ,96.2,-38.7 ,-17.5 ,102.8
110450 ,97.2 ,96 ,0.9 ,89.3 ,95.0,-38.4 ,-17.2 ,103.1
110570 ,97.2 ,96 ,0.9 ,89.3 ,96.2,-38.0 ,-15.8 ,103.0
110660 ,97.2 ,96 ,0.9 ,89.3 ,96.2,-37.4 ,-15.8 ,102.5
110750 ,97.2 ,97 ,0.9 ,89.3 ,96.2,-37.1 ,-16.0 ,102.4
110870 ,97.2 ,97 ,0.9 ,90.2 ,95.0,-37.2 ,-16.3 ,103.0
110960 ,96.3 ,96 ,0.9 ,89.3 ,96.2,-36.9 ,-16.3 ,102.9
111050 ,97.2 ,96 ,0.9 ,89.3 ,96.2,-36.6 ,-16.2 ,102.6
111170 ,96.3 ,96 ,0.9 ,89.3 ,96.2,-36.5 ,-16.3 ,103.0
111260 ,96.3 ,96 ,0.9 ,90.2 ,96.2,-36.2 ,-16.6 ,103.1
111350 ,96.3 ,97 ,0.9 ,90.2 ,96.2,-35.1 ,-16.8 ,103.1
111470 ,97.2 ,96 ,0.9 ,89.3 ,95.0,-35.2 ,-15.9 ,103.5
111560 ,96.3 ,96 ,0.9 ,90.2 ,97.5,-35.2 ,-15.5 ,103.8
111650 ,97.2 ,97 ,0.9 ,89.3 ,95.0,-35.2 ,-15.7 ,104.0
111770 ,97.2 ,96 ,0.9 ,89.3 ,96.2,-35.2 ,-15.7 ,104.0
111860 ,97.2 ,97 ,0.9 ,89.3 ,96.2,-35.1 ,-15.6 ,104.1
111950 ,96.3 ,96 ,0.9 ,89.3 ,95.0,-34.9 ,-15.6 ,104.4
112070 ,97.2 ,97 ,0.9 ,89.3 ,96.2,-34.9 ,-15.8 ,104.7
112160 ,97.2 ,97 ,0.9 ,89.3 ,96.2,-34.9 ,-16.3 ,105.0
112250 ,96.3 ,96 ,0.9 ,89.3 ,96.2,-34.8 ,-16.4 ,105.2
112370 ,96.3 ,96 ,0.9 ,89.3 ,96.2,-34.5 ,-16.9 ,105.5
112460 ,97.2 ,96 ,0.0 ,89.3 ,96.2,-34.6 ,-16.9 ,105.7
