TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
347470 ,30.3 ,92 ,79.8 ,80.8 ,86.6,-95.0 ,-16.3 ,80.3
347590 ,29.4 ,92 ,79.8 ,78.6 ,85.5,-95.0 ,-16.2 ,80.3
347680 ,33.0 ,92 ,79.8 ,82.0 ,86.6,-95.0 ,-16.2 ,80.1
347770 ,33.0 ,92 ,78.8 ,79.7 ,85.5,-95.0 ,-16.2 ,80.1
347890 ,32.1 ,92 ,80.7 ,80.8 ,84.4,-94.9 ,-16.2 ,80.1
347980 ,32.1 ,92 ,80.7 ,80.8 ,86.6,-94.9 ,-16.2 ,80.1
348070 ,33.0 ,92 ,80.7 ,82.0 ,85.5,-94.9 ,-16.2 ,80.3
348190 ,32.1 ,92 ,79.8 ,79.7 ,85.5,-95.0 ,-16.1 ,80.2
348280 ,31.2 ,92 ,79.8 ,83.1 ,86.6,-95.0 ,-16.1 ,80.2
348370 ,31.2 ,91 ,78.8 ,82.0 ,86.6,-95.0 ,-16.1 ,80.3
348490 ,33.0 ,92 ,78.8 ,79.7 ,85.5,-95.1 ,-16.0 ,80.3
348580 ,32.1 ,92 ,78.8 ,79.7 ,85.5,-95.2 ,-16.0 ,80.3
348670 ,32.1 ,91 ,80.7 ,82.0 ,84.4,-95.1 ,-15.9 ,80.4
348790 ,31.2 ,92 ,80.7 ,82.0 ,86.6,-95.1 ,-15.9 ,80.6
348880 ,32.1 ,91 ,79.8 ,78.6 ,86.6,-95.0 ,-16.0 ,80.6
348970 ,33.0 ,91 ,79.8 ,80.8 ,86.6,-95.0 ,-16.0 ,80.6
349090 ,33.9 ,92 ,78.8 ,79.7 ,86.6,-95.0 ,-16.0 ,80.7
349180 ,27.6 ,91 ,79.8 ,79.7 ,86.6,-95.0 ,-16.0 ,80.8
349270 ,27.6 ,92 ,78.8 ,80.8 ,87.7,-95.0 ,-16.0 ,80.8
349390 ,28.5 ,93 ,78.8 ,79.7 ,85.5,-95.1 ,-15.9 ,80.9
349480 ,29.4 ,92 ,78.8 ,80.8 ,84.4,-95.1 ,-15.9 ,80.9
349570 ,26.7 ,92 ,80.7 ,82.0 ,85.5,-95.1 ,-15.9 ,80.9
349690 ,29.4 ,92 ,77.9 ,80.8 ,85.5,-95.0 ,-15.9 ,81.0
349780 ,29.4 ,92 ,78.8 ,79.7 ,85.5,-95.0 ,-15.9 ,81.1
349870 ,26.7 ,92 ,80.7 ,82.0 ,86.6,-95.0 ,-15.8 ,81.0
349990 ,25.8 ,91 ,79.8 ,79.7 ,85.5,-95.1 ,-15.8 ,81.1
350080 ,26.7 ,91 ,79.8 ,80.8 ,87.7,-95.1 ,-15.8 ,81.1
350170 ,26.7 ,92 ,78.8 ,80.8 ,86.6,-95.1 ,-15.8 ,81.2
350290 ,26.7 ,92 ,80.7 ,80.8 ,85.5,-95.1 ,-15.8 ,81.3
350380 ,27.6 ,92 ,80.7 ,82.0 ,85.5,-95.1 ,-15.8 ,81.4
350470 ,27.6 ,92 ,79.8 ,80.8 ,84.4,-95.1 ,-15.8 ,81.4
350590 ,28.5 ,93 ,79.8 ,78.6 ,85.5,-95.1 ,-15.9 ,81.5
350680 ,32.1 ,92 ,78.8 ,82.0 ,87.7,-95.0 ,-16.1 ,81.8
350770 ,30.3 ,91 ,79.8 ,82.0 ,84.4,-95.0 ,-16.0 ,81.8
350890 ,29.4 ,92 ,78.8 ,80.8 ,85.5,-95.0 ,-15.8 ,81.4
350980 ,28.5 ,91 ,79.8 ,80.8 ,86.6,-95.0 ,-15.7 ,81.3
351070 ,33.9 ,92 ,79.8 ,80.8 ,85.5,-95.0 ,-15.7 ,81.4
351190 ,31.2 ,92 ,78.8 ,80.8 ,85.5,-95.1 ,-15.7 ,81.5
351280 ,31.2 ,91 ,79.8 ,80.8 ,86.6,-95.0 ,-15.7 ,81.5
351370 ,31.2 ,92 ,80.7 ,82.0 ,84.4,-95.0 ,-15.7 ,81.6
351490 ,32.1 ,92 ,80.7 ,82.0 ,85.5,-95.0 ,-15.8 ,81.6
