TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
532650 ,11.4 ,94 ,86.5 ,75.2 ,60.9,179.6 ,5.0 ,35.3
532770 ,12.3 ,93 ,85.5 ,76.1 ,62.5,179.7 ,5.1 ,35.3
532860 ,12.3 ,94 ,86.5 ,76.1 ,60.9,179.7 ,5.1 ,35.3
532950 ,12.3 ,94 ,86.5 ,75.2 ,60.9,179.6 ,5.3 ,35.3
533070 ,12.3 ,95 ,86.5 ,75.2 ,60.9,179.4 ,5.4 ,35.5
533160 ,11.4 ,94 ,86.5 ,76.1 ,62.5,179.1 ,5.5 ,35.4
533250 ,12.3 ,94 ,86.5 ,75.2 ,62.5,179.0 ,5.6 ,35.4
533370 ,11.4 ,93 ,86.5 ,76.1 ,62.5,179.0 ,5.7 ,35.3
533460 ,12.3 ,94 ,86.5 ,76.1 ,62.5,179.0 ,5.6 ,35.3
533550 ,11.4 ,94 ,86.5 ,76.1 ,62.5,178.9 ,5.5 ,35.3
533670 ,12.3 ,94 ,86.5 ,76.1 ,60.9,178.9 ,5.3 ,35.3
533760 ,12.3 ,94 ,85.5 ,75.2 ,60.9,178.8 ,5.2 ,35.3
533850 ,12.3 ,93 ,86.5 ,76.1 ,62.5,178.8 ,5.1 ,35.2
533970 ,11.4 ,93 ,86.5 ,76.1 ,62.5,178.7 ,5.1 ,35.2
534060 ,12.3 ,93 ,85.5 ,76.1 ,62.5,178.7 ,5.1 ,35.1
534150 ,12.3 ,93 ,85.5 ,76.9 ,62.5,178.7 ,5.0 ,35.1
534270 ,12.3 ,94 ,85.5 ,76.1 ,60.9,178.8 ,4.8 ,35.1
534360 ,11.4 ,93 ,85.5 ,76.1 ,62.5,178.8 ,4.8 ,35.2
534450 ,11.4 ,94 ,85.5 ,76.1 ,60.9,178.7 ,4.8 ,35.3
534570 ,11.4 ,93 ,86.5 ,75.2 ,60.9,178.5 ,4.9 ,35.3
534660 ,12.3 ,93 ,86.5 ,76.1 ,60.9,178.6 ,5.2 ,35.3
534750 ,11.4 ,94 ,85.5 ,76.1 ,60.9,178.6 ,5.1 ,35.2
534870 ,11.4 ,94 ,85.5 ,75.2 ,59.3,178.8 ,5.1 ,35.2
534960 ,11.4 ,93 ,85.5 ,76.1 ,62.5,178.8 ,5.1 ,35.1
535050 ,11.4 ,93 ,85.5 ,75.2 ,60.9,178.8 ,5.2 ,35.1
535170 ,11.4 ,93 ,85.5 ,75.2 ,60.9,178.7 ,5.4 ,35.1
535260 ,11.4 ,94 ,85.5 ,76.1 ,62.5,178.7 ,5.4 ,35.1
535350 ,11.4 ,93 ,85.5 ,75.2 ,60.9,178.7 ,5.4 ,35.2
535470 ,12.3 ,93 ,84.6 ,75.2 ,60.9,178.8 ,5.4 ,35.3
535560 ,11.4 ,93 ,86.5 ,75.2 ,60.9,178.8 ,5.5 ,35.2
535650 ,11.4 ,93 ,85.5 ,76.1 ,60.9,178.8 ,5.4 ,35.2
535770 ,11.4 ,93 ,85.5 ,75.2 ,62.5,178.6 ,5.4 ,35.2
535860 ,11.4 ,93 ,85.5 ,75.2 ,60.9,178.6 ,5.4 ,35.2
535950 ,12.3 ,93 ,85.5 ,76.1 ,60.9,178.5 ,5.4 ,35.2
536070 ,11.4 ,93 ,86.5 ,76.1 ,60.9,178.5 ,5.3 ,35.1
536160 ,11.4 ,93 ,85.5 ,75.2 ,60.9,178.4 ,5.3 ,35.1
536250 ,11.4 ,93 ,85.5 ,75.2 ,60.9,178.5 ,5.3 ,35.1
536370 ,11.4 ,93 ,85.5 ,76.1 ,62.5,178.4 ,5.6 ,35.1
536460 ,10.4 ,93 ,85.5 ,75.2 ,60.9,178.3 ,5.7 ,35.1
