TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
372520 ,95.0 ,93 ,92.7 ,43.2 ,86.6,100.5 ,-32.4 ,110.1
372640 ,93.1 ,93 ,92.7 ,42.2 ,86.6,100.2 ,-32.5 ,110.4
372730 ,94.1 ,93 ,91.7 ,42.2 ,87.7,99.9 ,-32.5 ,110.5
372820 ,95.0 ,93 ,92.7 ,41.2 ,86.6,99.8 ,-32.6 ,110.6
372940 ,94.1 ,93 ,93.8 ,42.2 ,86.6,99.5 ,-32.6 ,110.6
373030 ,95.0 ,93 ,92.7 ,43.2 ,86.6,99.5 ,-32.6 ,110.4
373120 ,94.1 ,93 ,91.7 ,43.2 ,86.6,99.5 ,-32.7 ,110.3
373240 ,95.0 ,93 ,91.7 ,42.2 ,85.5,99.6 ,-32.7 ,110.2
373330 ,95.0 ,94 ,91.7 ,41.2 ,85.5,99.5 ,-32.7 ,110.2
373420 ,94.1 ,94 ,91.7 ,41.2 ,86.6,99.3 ,-32.7 ,110.3
373540 ,95.0 ,93 ,90.7 ,42.2 ,86.6,99.2 ,-32.7 ,110.5
373630 ,94.1 ,93 ,92.7 ,42.2 ,85.5,99.2 ,-32.9 ,110.3
373720 ,95.0 ,94 ,91.7 ,41.2 ,86.6,99.2 ,-32.7 ,110.4
373840 ,95.0 ,93 ,92.7 ,42.2 ,86.6,99.5 ,-32.4 ,110.2
373930 ,94.1 ,93 ,91.7 ,41.2 ,86.6,99.5 ,-32.3 ,110.2
374020 ,94.1 ,93 ,91.7 ,41.2 ,86.6,99.5 ,-32.2 ,110.1
374140 ,95.0 ,93 ,92.7 ,43.2 ,87.7,99.3 ,-32.2 ,110.1
374230 ,94.1 ,93 ,92.7 ,42.2 ,86.6,99.1 ,-32.2 ,110.1
374320 ,95.0 ,93 ,92.7 ,43.2 ,87.7,99.0 ,-32.3 ,110.1
374440 ,94.1 ,93 ,91.7 ,42.2 ,85.5,99.0 ,-32.3 ,110.1
374530 ,95.0 ,93 ,92.7 ,42.2 ,85.5,99.0 ,-32.3 ,110.1
374620 ,95.0 ,93 ,92.7 ,42.2 ,86.6,98.9 ,-32.3 ,110.2
374740 ,94.1 ,93 ,92.7 ,41.2 ,86.6,98.8 ,-32.4 ,110.4
374830 ,93.1 ,93 ,92.7 ,42.2 ,86.6,98.7 ,-32.5 ,110.4
374920 ,94.1 ,93 ,91.7 ,41.2 ,86.6,98.8 ,-32.4 ,110.4
375040 ,95.0 ,93 ,91.7 ,42.2 ,86.6,98.7 ,-32.3 ,110.3
375130 ,94.1 ,93 ,92.7 ,41.2 ,86.6,98.7 ,-32.4 ,110.2
375220 ,94.1 ,93 ,91.7 ,41.2 ,86.6,98.7 ,-32.4 ,110.2
375340 ,95.0 ,93 ,92.7 ,42.2 ,85.5,98.6 ,-32.6 ,110.3
375430 ,95.0 ,93 ,91.7 ,41.2 ,86.6,98.6 ,-32.7 ,110.4
375520 ,94.1 ,93 ,91.7 ,41.2 ,86.6,98.5 ,-32.7 ,110.4
375640 ,95.0 ,93 ,91.7 ,42.2 ,86.6,98.7 ,-32.7 ,110.3
375730 ,95.0 ,93 ,91.7 ,42.2 ,87.7,98.6 ,-32.6 ,110.3
375850 ,94.1 ,93 ,91.7 ,41.2 ,87.7,98.6 ,-32.5 ,110.3
375940 ,95.0 ,93 ,91.7 ,42.2 ,87.7,98.6 ,-32.5 ,110.2
376030 ,95.0 ,93 ,90.7 ,41.2 ,86.6,98.4 ,-32.3 ,110.3
376120 ,94.1 ,93 ,92.7 ,42.2 ,86.6,98.3 ,-32.4 ,110.2
376240 ,95.0 ,93 ,91.7 ,42.2 ,86.6,98.3 ,-32.3 ,110.2
376330 ,94.1 ,93 ,91.7 ,42.2 ,87.7,98.3 ,-32.3 ,110.2
376420 ,94.1 ,93 ,92.7 ,42.2 ,86.6,98.2 ,-32.3 ,110.2
376540 ,94.1 ,93 ,91.7 ,42.2 ,86.6,98.1 ,-32.3 ,110.2
376630 ,95.0 ,93 ,90.7 ,42.2 ,86.6,98.1 ,-32.2 ,110.2
376720 ,95.0 ,94 ,91.7 ,41.2 ,86.6,98.0 ,-32.3 ,110.2
376840 ,95.0 ,93 ,91.7 ,42.2 ,86.6,98.0 ,-32.3 ,110.3
376930 ,95.0 ,94 ,91.7 ,42.2 ,87.7,98.0 ,-32.3 ,110.3
377020 ,94.1 ,93 ,90.7 ,42.2 ,87.7,97.9 ,-32.3 ,110.3
377140 ,94.1 ,93 ,92.7 ,41.2 ,86.6,97.8 ,-32.3 ,110.3
377230 ,95.0 ,93 ,91.7 ,41.2 ,87.7,97.7 ,-32.3 ,110.4
377320 ,94.1 ,94 ,91.7 ,40.2 ,86.6,97.8 ,-32.3 ,110.3
377440 ,95.0 ,93 ,91.7 ,41.2 ,86.6,97.7 ,-32.3 ,110.3
377530 ,95.0 ,93 ,90.7 ,42.2 ,86.6,97.6 ,-32.3 ,110.4
377620 ,94.1 ,93 ,92.7 ,42.2 ,86.6,97.7 ,-32.3 ,110.3
377740 ,95.0 ,93 ,91.7 ,42.2 ,85.5,97.7 ,-32.3 ,110.3
377830 ,94.1 ,93 ,92.7 ,41.2 ,87.7,97.7 ,-32.3 ,110.2
377920 ,95.0 ,93 ,92.7 ,41.2 ,86.6,97.8 ,-32.2 ,110.1
378040 ,93.1 ,93 ,92.7 ,42.2 ,86.6,97.8 ,-32.2 ,110.1
378130 ,95.0 ,93 ,90.7 ,41.2 ,86.6,97.8 ,-32.2 ,110.1
378220 ,94.1 ,93 ,92.7 ,41.2 ,86.6,97.8 ,-32.2 ,110.1
378340 ,95.0 ,93 ,91.7 ,41.2 ,86.6,97.7 ,-32.3 ,110.1
378430 ,95.0 ,93 ,92.7 ,42.2 ,85.5,97.8 ,-32.3 ,110.1
378520 ,95.0 ,93 ,91.7 ,41.2 ,86.6,97.8 ,-32.3 ,110.0
378640 ,95.0 ,93 ,92.7 ,41.2 ,86.6,97.8 ,-32.3 ,110.0
378730 ,95.0 ,93 ,90.7 ,41.2 ,86.6,97.8 ,-32.3 ,110.0
378820 ,95.0 ,93 ,91.7 ,41.2 ,85.5,97.7 ,-32.3 ,110.0
378940 ,95.0 ,93 ,91.7 ,41.2 ,85.5,97.6 ,-32.5 ,110.1
379030 ,94.1 ,93 ,91.7 ,42.2 ,86.6,97.7 ,-32.5 ,110.1
379120 ,95.0 ,93 ,90.7 ,42.2 ,86.6,97.8 ,-32.3 ,110.0
379240 ,94.1 ,93 ,91.7 ,42.2 ,87.7,97.8 ,-32.3 ,109.9
379330 ,95.0 ,93 ,91.7 ,41.2 ,87.7,97.9 ,-32.3 ,109.8
379420 ,94.1 ,93 ,92.7 ,41.2 ,86.6,97.9 ,-32.4 ,109.7
379540 ,94.1 ,93 ,91.7 ,41.2 ,86.6,97.8 ,-32.3 ,109.7
379630 ,95.0 ,93 ,91.7 ,42.2 ,86.6,97.8 ,-32.4 ,109.6
379720 ,94.1 ,93 ,90.7 ,41.2 ,87.7,97.8 ,-32.4 ,109.7
379840 ,95.0 ,93 ,91.7 ,42.2 ,86.6,97.8 ,-32.4 ,109.6
379930 ,95.0 ,93 ,91.7 ,42.2 ,87.7,97.8 ,-32.4 ,109.6
380020 ,94.1 ,93 ,91.7 ,41.2 ,86.6,97.8 ,-32.3 ,109.6
380110 ,95.0 ,93 ,91.7 ,41.2 ,86.6,97.8 ,-32.3 ,109.7
380230 ,94.1 ,93 ,91.7 ,41.2 ,85.5,97.8 ,-32.3 ,109.6
380320 ,94.1 ,93 ,91.7 ,41.2 ,86.6,97.8 ,-32.4 ,109.6
380410 ,95.0 ,93 ,91.7 ,42.2 ,86.6,97.9 ,-32.3 ,109.6
380530 ,95.0 ,93 ,91.7 ,41.2 ,86.6,97.9 ,-32.3 ,109.6
380620 ,95.0 ,93 ,91.7 ,42.2 ,86.6,97.8 ,-32.4 ,109.7
380710 ,94.1 ,93 ,91.7 ,42.2 ,86.6,97.7 ,-32.4 ,109.7
380830 ,93.1 ,93 ,91.7 ,41.2 ,86.6,97.7 ,-32.4 ,109.8
380920 ,94.1 ,93 ,92.7 ,41.2 ,87.7,97.7 ,-32.3 ,109.8
381010 ,94.1 ,93 ,91.7 ,41.2 ,86.6,97.7 ,-32.3 ,109.7
381130 ,95.0 ,93 ,91.7 ,41.2 ,85.5,97.7 ,-32.3 ,109.7
381220 ,94.1 ,93 ,91.7 ,42.2 ,85.5,97.8 ,-32.3 ,109.7
381310 ,94.1 ,93 ,91.7 ,41.2 ,87.7,97.9 ,-32.2 ,109.5
381430 ,94.1 ,93 ,91.7 ,41.2 ,86.6,98.1 ,-32.2 ,109.5
381520 ,95.0 ,93 ,91.7 ,41.2 ,86.6,98.1 ,-32.1 ,109.6
381610 ,95.0 ,93 ,91.7 ,41.2 ,87.7,98.2 ,-31.9 ,109.6
381730 ,94.1 ,93 ,92.7 ,42.2 ,85.5,98.5 ,-31.7 ,109.2
381820 ,94.1 ,93 ,92.7 ,41.2 ,85.5,98.7 ,-31.5 ,109.2
381910 ,95.0 ,93 ,91.7 ,41.2 ,86.6,98.8 ,-31.4 ,109.1
382030 ,95.0 ,93 ,91.7 ,41.2 ,86.6,99.2 ,-31.2 ,108.9
382120 ,94.1 ,93 ,91.7 ,40.2 ,86.6,99.4 ,-31.0 ,108.8
382210 ,95.0 ,93 ,91.7 ,42.2 ,86.6,99.5 ,-30.9 ,108.8
